Match_Id,Stadium,Toss,POTM,Match_days,Batting.Team,Chasing.Team,Season
335982,M Chinnaswamy Stadium,"Royal Challengers Bangalore, Bowl",Brendon McCullum,"18 April 2008, Night","Sourav Ganguly, Brendon McCullum, Ricky Ponting, David Hussey, Mohammad Hafeez, Laxmi Shukla, Wriddhiman Saha, Ajit Agarkar, Ashok Dinda, Murali Kartik, Ishant Sharma","Rahul Dravid, Wasim Jaffer, Virat Kohli, Jacques Kallis, Cameron White, Mark Boucher, Balachandra Akhil, Ashley Noffke, Praveen Kumar, Zaheer Khan, Sunil Joshi",2008
335983,Punjab Cricket Association Stadium,"Chennai Super Kings, Bat",Michael Hussey,"19 April 2008, Daynight","Parthiv Patel, Matthew Hayden, Michael Hussey, MS Dhoni, Suresh Raina, Jacob Oram, S Badrinath, Joginder Sharma, Palani Amarnath, Manpreet Gony, Muthiah Muralidaran","Karan Goel, James Hopes, Kumar Sangakkara, Yuvraj Singh, Simon Katich, Irfan Pathan, Pankaj Dharmani, Brett Lee, Piyush Chawla, Wilkin Mota, Sreesanth",2008
335984,Feroz Shah Kotla,"Rajasthan Royals, Bat",Farveez Maharoof,"19 April 2008, Night","Taruwar Kohli, Yusuf Pathan, Shane Watson, Mohammad Kaif, Darren Lehmann, Ravindra Jadeja, Mahesh Rawat, Dinesh Salunkhe, Shane Warne, Siddharth Trivedi, Munaf Patel","Gautam Gambhir, Virender Sehwag, Shikhar Dhawan, Manoj Tiwary, Dinesh Karthik, †, Rajat Bhatia, Mithun Manhas, Daniel Vettori, Farveez Maharoof, Brett Geeves, Glenn McGrath",2008
335986,Eden Gardens,"Deccan Chargers, Bat",David Hussey,"20 April 2008, Daynight","Adam Gilchrist, Venugopal Rao, VVS Laxman, Andrew Symonds, Rohit Sharma, Scott Styris, Arjun Yadav, Sanjay Bangar, Chaminda Vaas, RP Singh, Pragyan Ojha","Wriddhiman Saha, Brendon McCullum, Ricky Ponting, Sourav Ganguly, David Hussey, Mohammad Hafeez, Laxmi Shukla, Ajit Agarkar, Ashok Dinda, Murali Kartik, Ishant Sharma",2008
335985,Wankhede Stadium,"Mumbai Indians, Bat",Mark Boucher,"20 April 2008, Night","Luke Ronchi, Sanath Jayasuriya, Dominic Thornely, Robin Uthappa, Pinal Shah, Abhishek Nayar, Shaun Pollock, Harbhajan Singh, Musavir Khote, Ashish Nehra, Dhawal Kulkarni","Shivnarine Chanderpaul, Rahul Dravid, Ross Taylor, Jacques Kallis, Virat Kohli, Mark Boucher, Balachandra Akhil, Praveen Kumar, Zaheer Khan, Sunil Joshi, Vinay Kumar",2008
335987,Sawai Mansingh Stadium,"Punjab Kings, Bat",Shane Watson,"21 April 2008, Night","Karan Goel, James Hopes, Kumar Sangakkara, Mahela Jayawardene, Yuvraj Singh, Irfan Pathan, Sunny Sohal, Brett Lee, Piyush Chawla, Wilkin Mota, Sreesanth","Mohammad Kaif, Kamran Akmal, Yusuf Pathan, Shane Watson, Darren Lehmann, Ravindra Jadeja, Pankaj Singh, Dinesh Salunkhe, Shane Warne, (c), Siddharth Trivedi, Munaf Patel",2008
335988,Rajiv Gandhi International Stadium,"Deccan Chargers, Bat",Virender Sehwag,"22 April 2008, Night","Adam Gilchrist, Venugopal Rao, VVS Laxman, Andrew Symonds, Rohit Sharma, Shahid Afridi, Sanjay Bangar, Arjun Yadav, Chaminda Vaas, RP Singh, Pragyan Ojha","Gautam Gambhir, Virender Sehwag, Shikhar Dhawan, Shoaib Malik, Dinesh Karthik, †, Manoj Tiwary, Rajat Bhatia, Farveez Maharoof, Mohammad Asif, Yo Mahesh, Glenn McGrath",2008
335989,MA Chidambaram Stadium,"Mumbai Indians, Bowl",Matthew Hayden,"23 April 2008, Night","Parthiv Patel, Matthew Hayden, Michael Hussey, Suresh Raina, MS Dhoni, Jacob Oram, S Badrinath, Joginder Sharma, Palani Amarnath, Manpreet Gony, Muthiah Muralidaran","Luke Ronchi, Sanath Jayasuriya, Robin Uthappa, Shaun Pollock, Dwayne Bravo, Abhishek Nayar, Musavir Khote, Harbhajan Singh, Ashish Nehra, Vikrant Yeligati, Dhawal Kulkarni",2008
335990,Rajiv Gandhi International Stadium,"Rajasthan Royals, Bowl",Yusuf Pathan,"24 April 2008, Night","Adam Gilchrist, VVS Laxman, Shahid Afridi, Andrew Symonds, Rohit Sharma, Arjun Yadav, Sanjay Bangar, Chaminda Vaas, RP Singh, Pragyan Ojha, Doddapaneni Kalyankrishna","Kamran Akmal, Graeme Smith, Yusuf Pathan, Shane Watson, Mohammad Kaif, Ravindra Jadeja, Shane Warne, Dinesh Salunkhe, Pankaj Singh, Siddharth Trivedi, Munaf Patel",2008
335991,Punjab Cricket Association Stadium,"Mumbai Indians, Bowl",Kumar Sangakkara,"25 April 2008, Night","Karan Goel, Irfan Pathan, Kumar Sangakkara, Yuvraj Singh, Ramnaresh Sarwan, Mahela Jayawardene, Sunny Sohal, Brett Lee, Piyush Chawla, Sreesanth, Vikram Singh","Luke Ronchi, Sanath Jayasuriya, Robin Uthappa, Dwayne Bravo, Saurabh Tiwary, Shaun Pollock, Abhishek Nayar, Harbhajan Singh, Musavir Khote, Dhawal Kulkarni, Ashish Nehra",2008
335993,MA Chidambaram Stadium,"Kolkata Knight Riders, Bat",Jacob Oram,"26 April 2008, Daynight","Sourav Ganguly, Brendon McCullum, Ricky Ponting, Wriddhiman Saha, David Hussey, Mohammad Hafeez, Laxmi Shukla, Ajit Agarkar, Murali Kartik, Ishant Sharma, Ashok Dinda","Parthiv Patel, Matthew Hayden, MS Dhoni, Michael Hussey, S Badrinath, Suresh Raina, Jacob Oram, Joginder Sharma, Palani Amarnath, Manpreet Gony, Muthiah Muralidaran",2008
