"Striker","Season","Bowler","Runs","Dismissed","Balls","Run_Out","Stadium","Bowling_Team","Batting_Team","Average","Strike_Rate"
"AB de Villiers",2008,"Albie Morkel",3,1,3,0,"All","All","All",3,100
"AB de Villiers",2008,"Anil Kumble",9,0,11,0,"All","All","All",Inf,81.8181818181818
"AB de Villiers",2008,"Ashish Nehra",11,0,3,0,"All","All","All",Inf,366.666666666667
"AB de Villiers",2008,"Ashok Dinda",1,0,1,0,"All","All","All",Inf,100
"AB de Villiers",2008,"Balachandra Akhil",9,0,9,0,"All","All","All",Inf,100
"AB de Villiers",2008,"Dale Steyn",0,1,2,0,"All","All","All",0,0
"AB de Villiers",2008,"Dimitri Mascarenhas",2,1,4,0,"All","All","All",2,50
"AB de Villiers",2008,"Dwayne Bravo",7,0,5,0,"All","All","All",Inf,140
"AB de Villiers",2008,"Ishant Sharma",2,0,2,0,"All","All","All",Inf,100
"AB de Villiers",2008,"Jacques Kallis",3,0,3,0,"All","All","All",Inf,100
"AB de Villiers",2008,"Joginder Sharma",4,0,5,0,"All","All","All",Inf,80
"AB de Villiers",2008,"Makhaya Ntini",3,0,3,0,"All","All","All",Inf,100
"AB de Villiers",2008,"Manpreet Gony",8,0,6,0,"All","All","All",Inf,133.333333333333
"AB de Villiers",2008,"Muthiah Muralidaran",8,0,5,0,"All","All","All",Inf,160
"AB de Villiers",2008,"Shane Warne",10,0,10,0,"All","All","All",Inf,100
"AB de Villiers",2008,"Shaun Pollock",3,0,9,0,"All","All","All",Inf,33.3333333333333
"AB de Villiers",2008,"Shoaib Akhtar",4,1,9,0,"All","All","All",4,44.4444444444444
"AB de Villiers",2008,"Siddharth Trivedi",8,0,8,0,"All","All","All",Inf,100
"AB de Villiers",2009,"Abhishek Raut",10,0,5,0,"All","All","All",Inf,200
"AB de Villiers",2009,"Ajit Agarkar",6,0,5,0,"All","All","All",Inf,120
"AB de Villiers",2009,"Albie Morkel",21,0,10,0,"All","All","All",Inf,210
"AB de Villiers",2009,"Amit Singh",11,0,7,0,"All","All","All",Inf,157.142857142857
"AB de Villiers",2009,"Andrew Flintoff",34,0,12,0,"All","All","All",Inf,283.333333333333
"AB de Villiers",2009,"Andrew Symonds",8,0,7,0,"All","All","All",Inf,114.285714285714
"AB de Villiers",2009,"Anil Kumble",14,0,18,0,"All","All","All",Inf,77.7777777777778
"AB de Villiers",2009,"Balachandra Akhil",7,0,5,0,"All","All","All",Inf,140
"AB de Villiers",2009,"Chaminda Vaas",3,0,4,0,"All","All","All",Inf,75
"AB de Villiers",2009,"Dimitri Mascarenhas",3,0,4,0,"All","All","All",Inf,75
"AB de Villiers",2009,"Dwayne Smith",14,1,11,0,"All","All","All",14,127.272727272727
"AB de Villiers",2009,"Harbhajan Singh",18,1,15,0,"All","All","All",18,120
"AB de Villiers",2009,"Harmeet Singh",4,0,7,0,"All","All","All",Inf,57.1428571428571
"AB de Villiers",2009,"Irfan Pathan",2,0,3,0,"All","All","All",Inf,66.6666666666667
"AB de Villiers",2009,"Ishant Sharma",3,0,3,0,"All","All","All",Inf,100
"AB de Villiers",2009,"Jacques Kallis",11,0,13,0,"All","All","All",Inf,84.6153846153846
"AB de Villiers",2009,"Jean-Paul Duminy",7,0,12,0,"All","All","All",Inf,58.3333333333333
"AB de Villiers",2009,"Joginder Sharma",2,0,2,0,"All","All","All",Inf,100
"AB de Villiers",2009,"Johan Botha",10,0,8,0,"All","All","All",Inf,125
"AB de Villiers",2009,"KP Appanna",9,1,8,0,"All","All","All",9,112.5
"AB de Villiers",2009,"Kamran Khan",4,0,5,0,"All","All","All",Inf,80
"AB de Villiers",2009,"Lakshmipathy Balaji",10,0,8,0,"All","All","All",Inf,125
"AB de Villiers",2009,"Lasith Malinga",3,0,4,0,"All","All","All",Inf,75
"AB de Villiers",2009,"Manpreet Gony",26,0,12,0,"All","All","All",Inf,216.666666666667
"AB de Villiers",2009,"Moises Henriques",15,0,9,0,"All","All","All",Inf,166.666666666667
"AB de Villiers",2009,"Munaf Patel",29,0,17,0,"All","All","All",Inf,170.588235294118
"AB de Villiers",2009,"Murali Kartik",12,0,14,0,"All","All","All",Inf,85.7142857142857
"AB de Villiers",2009,"Muthiah Muralidaran",12,0,10,0,"All","All","All",Inf,120
"AB de Villiers",2009,"Pankaj Singh",1,0,2,0,"All","All","All",Inf,50
"AB de Villiers",2009,"Piyush Chawla",0,0,1,0,"All","All","All",NA,0
"AB de Villiers",2009,"Pragyan Ojha",18,0,14,0,"All","All","All",Inf,128.571428571429
"AB de Villiers",2009,"Praveen Kumar",0,0,1,0,"All","All","All",NA,0
"AB de Villiers",2009,"RP Singh",10,1,9,0,"All","All","All",10,111.111111111111
"AB de Villiers",2009,"Ramesh Powar",5,0,3,0,"All","All","All",Inf,166.666666666667
"AB de Villiers",2009,"Ravindra Jadeja",19,0,16,0,"All","All","All",Inf,118.75
"AB de Villiers",2009,"Roelof van der Merwe",7,1,5,0,"All","All","All",7,140
"AB de Villiers",2009,"Rohan Raje",9,0,7,0,"All","All","All",Inf,128.571428571429
"AB de Villiers",2009,"Rohit Sharma",14,0,8,0,"All","All","All",Inf,175
"AB de Villiers",2009,"Sachin Tendulkar",19,0,6,0,"All","All","All",Inf,316.666666666667
"AB de Villiers",2009,"Shane Warne",27,1,22,0,"All","All","All",27,122.727272727273
"AB de Villiers",2009,"Shoaib Ahmed",4,1,6,0,"All","All","All",4,66.6666666666667
"AB de Villiers",2009,"Siddharth Trivedi",4,0,4,0,"All","All","All",Inf,100
"AB de Villiers",2009,"Sourav Sarkar",4,0,1,0,"All","All","All",Inf,400
"AB de Villiers",2009,"Sreesanth",4,1,4,0,"All","All","All",4,100
"AB de Villiers",2009,"Sudeep Tyagi",0,1,1,0,"All","All","All",0,0
"AB de Villiers",2009,"Yusuf Pathan",12,0,7,0,"All","All","All",Inf,171.428571428571
