"Bowling_Team","Bowler","Season","Stadium","Runs","Wickets","Balls","Batting_Team","Average","Economy"
"Chennai Super Kings","Adam Milne",2022,"Wankhede Stadium",19,0,15,"All",Inf,7.6
"Chennai Super Kings","Albie Morkel",2008,"Dr DY Patil Sports Academy",25,2,24,"All",12.5,6.25
"Chennai Super Kings","Albie Morkel",2008,"Eden Gardens",25,0,24,"All",Inf,6.25
"Chennai Super Kings","Albie Morkel",2008,"Feroz Shah Kotla",35,2,24,"All",17.5,8.75
"Chennai Super Kings","Albie Morkel",2008,"M Chinnaswamy Stadium",38,1,24,"All",38,9.5
"Chennai Super Kings","Albie Morkel",2008,"MA Chidambaram Stadium",158,8,120,"All",19.75,7.9
"Chennai Super Kings","Albie Morkel",2008,"Rajiv Gandhi International Stadium",37,2,24,"All",18.5,9.25
"Chennai Super Kings","Albie Morkel",2008,"Sawai Mansingh Stadium",10,0,6,"All",Inf,10
"Chennai Super Kings","Albie Morkel",2008,"Wankhede Stadium",71,2,42,"All",35.5,10.1428571428571
"Chennai Super Kings","Albie Morkel",2009,"Buffalo Park",24,2,18,"All",12,8
"Chennai Super Kings","Albie Morkel",2009,"De Beers Diamond Oval",24,1,18,"All",24,8
"Chennai Super Kings","Albie Morkel",2009,"Kingsmead",79,3,66,"All",26.3333333333333,7.18181818181818
"Chennai Super Kings","Albie Morkel",2009,"New Wanderers Stadium",58,2,42,"All",29,8.28571428571428
"Chennai Super Kings","Albie Morkel",2009,"St George's Park",43,2,36,"All",21.5,7.16666666666667
"Chennai Super Kings","Albie Morkel",2009,"SuperSport Park",96,3,60,"All",32,9.6
"Chennai Super Kings","Albie Morkel",2010,"Brabourne Stadium",26,0,24,"All",Inf,6.5
"Chennai Super Kings","Albie Morkel",2010,"Dr DY Patil Sports Academy",35,2,36,"All",17.5,5.83333333333333
"Chennai Super Kings","Albie Morkel",2010,"Eden Gardens",6,1,12,"All",6,3
"Chennai Super Kings","Albie Morkel",2010,"Feroz Shah Kotla",26,0,18,"All",Inf,8.66666666666667
"Chennai Super Kings","Albie Morkel",2010,"Himachal Pradesh Cricket Association Stadium",48,1,24,"All",48,12
"Chennai Super Kings","Albie Morkel",2010,"M Chinnaswamy Stadium",28,1,24,"All",28,7
"Chennai Super Kings","Albie Morkel",2010,"MA Chidambaram Stadium",190,4,124,"All",47.5,9.19354838709677
"Chennai Super Kings","Albie Morkel",2010,"Sardar Patel Stadium",46,2,24,"All",23,11.5
"Chennai Super Kings","Albie Morkel",2011,"Eden Gardens",14,0,12,"All",Inf,7
"Chennai Super Kings","Albie Morkel",2011,"M Chinnaswamy Stadium",16,1,12,"All",16,8
"Chennai Super Kings","Albie Morkel",2011,"MA Chidambaram Stadium",216,11,150,"All",19.6363636363636,8.64
"Chennai Super Kings","Albie Morkel",2011,"Nehru Stadium",17,0,12,"All",Inf,8.5
"Chennai Super Kings","Albie Morkel",2011,"Punjab Cricket Association Stadium",38,1,18,"All",38,12.6666666666667
"Chennai Super Kings","Albie Morkel",2011,"Sawai Mansingh Stadium",21,1,18,"All",21,7
"Chennai Super Kings","Albie Morkel",2011,"Wankhede Stadium",59,1,48,"All",59,7.375
"Chennai Super Kings","Albie Morkel",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",20,0,12,"All",Inf,10
"Chennai Super Kings","Albie Morkel",2012,"Feroz Shah Kotla",24,0,12,"All",Inf,12
"Chennai Super Kings","Albie Morkel",2012,"Himachal Pradesh Cricket Association Stadium",28,1,21,"All",28,8
"Chennai Super Kings","Albie Morkel",2012,"M Chinnaswamy Stadium",31,2,24,"All",15.5,7.75
"Chennai Super Kings","Albie Morkel",2012,"MA Chidambaram Stadium",207,10,180,"All",20.7,6.9
"Chennai Super Kings","Albie Morkel",2012,"Sawai Mansingh Stadium",19,0,18,"All",Inf,6.33333333333333
"Chennai Super Kings","Albie Morkel",2012,"Subrata Roy Sahara Stadium",22,0,12,"All",Inf,11
"Chennai Super Kings","Albie Morkel",2012,"Wankhede Stadium",34,0,18,"All",Inf,11.3333333333333
