"Bowler","Season","Striker","Bowling_Team","Runs","Wickets","Balls","Stadium","Batting_Team","Average","Economy"
"Aaron Finch",2010,"Cheteshwar Pujara","Rajasthan Royals",4,0,5,"All","All",Inf,4.8
"Aaron Finch",2010,"Sourav Ganguly","Rajasthan Royals",1,0,2,"All","All",Inf,3
"Aaron Finch",2011,"Rohit Sharma","Delhi Capitals",4,0,4,"All","All",Inf,6
"Aaron Finch",2011,"Sachin Tendulkar","Delhi Capitals",9,0,8,"All","All",Inf,6.75
"Aaron Finch",2013,"Chris Gayle","Pune Warriors",28,0,5,"All","All",Inf,33.6
"Aaron Finch",2013,"Dinesh Karthik","Pune Warriors",2,0,2,"All","All",Inf,6
"Aaron Finch",2013,"Ravindra Jadeja","Pune Warriors",2,0,2,"All","All",Inf,6
"Aaron Finch",2013,"Ricky Ponting","Pune Warriors",1,0,1,"All","All",Inf,6
"Aaron Finch",2013,"Rohit Sharma","Pune Warriors",2,0,2,"All","All",Inf,6
"Aaron Finch",2013,"S Badrinath","Pune Warriors",7,0,4,"All","All",Inf,10.5
"Aaron Finch",2013,"Sachin Tendulkar","Pune Warriors",6,1,7,"All","All",6,5.14285714285714
"Aaron Finch",2013,"Tillakaratne Dilshan","Pune Warriors",1,0,1,"All","All",Inf,6
"Aavishkar Salvi",2009,"Abhishek Nayar","Delhi Capitals",0,1,1,"All","All",0,0
"Aavishkar Salvi",2009,"Ajinkya Rahane","Delhi Capitals",11,0,5,"All","All",Inf,13.2
"Aavishkar Salvi",2009,"Albie Morkel","Delhi Capitals",2,0,3,"All","All",Inf,4
"Aavishkar Salvi",2009,"Irfan Pathan","Delhi Capitals",6,1,6,"All","All",6,6
"Aavishkar Salvi",2009,"Jacques Kallis","Delhi Capitals",13,0,15,"All","All",Inf,5.2
"Aavishkar Salvi",2009,"Johan Botha","Delhi Capitals",10,0,8,"All","All",Inf,7.5
"Aavishkar Salvi",2009,"Karan Goel","Delhi Capitals",10,0,4,"All","All",Inf,15
"Aavishkar Salvi",2009,"Matthew Hayden","Delhi Capitals",33,0,9,"All","All",Inf,22
"Aavishkar Salvi",2009,"Mohammad Ashraful","Delhi Capitals",2,0,4,"All","All",Inf,3
"Aavishkar Salvi",2009,"Naman Ojha","Delhi Capitals",1,1,6,"All","All",1,1
"Aavishkar Salvi",2009,"Parthiv Patel","Delhi Capitals",2,0,2,"All","All",Inf,6
"Aavishkar Salvi",2009,"Pinal Shah","Delhi Capitals",4,0,6,"All","All",Inf,4
"Aavishkar Salvi",2009,"Rahul Dravid","Delhi Capitals",6,0,4,"All","All",Inf,9
"Aavishkar Salvi",2009,"Ravi Bopara","Delhi Capitals",1,0,2,"All","All",Inf,3
"Aavishkar Salvi",2009,"Ravindra Jadeja","Delhi Capitals",7,1,6,"All","All",7,7
"Aavishkar Salvi",2009,"Ross Taylor","Delhi Capitals",11,0,5,"All","All",Inf,13.2
"Aavishkar Salvi",2009,"S Badrinath","Delhi Capitals",3,0,3,"All","All",Inf,6
"Aavishkar Salvi",2009,"Sachin Tendulkar","Delhi Capitals",10,0,8,"All","All",Inf,7.5
"Aavishkar Salvi",2009,"Suresh Raina","Delhi Capitals",1,0,1,"All","All",Inf,6
"Aavishkar Salvi",2009,"Yusuf Pathan","Delhi Capitals",1,0,4,"All","All",Inf,1.5
"Aavishkar Salvi",2011,"Dan Christian","Delhi Capitals",8,0,7,"All","All",Inf,6.85714285714286
"Aavishkar Salvi",2011,"David Hussey","Delhi Capitals",1,1,2,"All","All",1,3
"Aavishkar Salvi",2011,"Dinesh Karthik","Delhi Capitals",15,1,7,"All","All",15,12.8571428571429
"Aavishkar Salvi",2011,"Dwaraka Ravi Teja","Delhi Capitals",0,1,3,"All","All",0,0
"Aavishkar Salvi",2011,"Ishan Malhotra","Delhi Capitals",6,0,3,"All","All",Inf,12
"Aavishkar Salvi",2011,"Jean-Paul Duminy","Delhi Capitals",1,0,2,"All","All",Inf,3
"Aavishkar Salvi",2011,"Kumar Sangakkara","Delhi Capitals",5,0,6,"All","All",Inf,5
"Aavishkar Salvi",2011,"Mandeep Singh","Delhi Capitals",1,0,1,"All","All",Inf,6
"Aavishkar Salvi",2011,"Paul Valthaty","Delhi Capitals",13,0,5,"All","All",Inf,15.6
"Aavishkar Salvi",2011,"Piyush Chawla","Delhi Capitals",1,0,1,"All","All",Inf,6
"Aavishkar Salvi",2011,"Ryan Harris","Delhi Capitals",1,0,1,"All","All",Inf,6
"Aavishkar Salvi",2011,"Shaun Marsh","Delhi Capitals",8,0,7,"All","All",Inf,6.85714285714286
"Aavishkar Salvi",2011,"Shikhar Dhawan","Delhi Capitals",6,0,3,"All","All",Inf,12
"Abdul Samad",2020,"Ishan Kishan","Sunrisers Hyderabad",2,0,2,"All","All",Inf,6
"Abdul Samad",2020,"Kedar Jadhav","Sunrisers Hyderabad",0,1,1,"All","All",0,0
"Abdul Samad",2020,"MS Dhoni","Sunrisers Hyderabad",24,0,14,"All","All",Inf,10.2857142857143
"Abdul Samad",2020,"Nicholas Pooran","Sunrisers Hyderabad",28,0,6,"All","All",Inf,28
"Abdul Samad",2020,"Quinton de Kock","Sunrisers Hyderabad",25,0,10,"All","All",Inf,15
"Abdul Samad",2020,"Ravindra Jadeja","Sunrisers Hyderabad",10,0,7,"All","All",Inf,8.57142857142857
"Abdul Samad",2020,"Sam Curran","Sunrisers Hyderabad",7,0,2,"All","All",Inf,21
"Abdul Samad",2021,"Aiden Markram","Sunrisers Hyderabad",1,1,2,"All","All",1,3
"Abdul Samad",2021,"Deepak Hooda","Sunrisers Hyderabad",7,0,3,"All","All",Inf,14
"Abdul Samad",2021,"Harpreet Brar","Sunrisers Hyderabad",1,0,1,"All","All",Inf,6
"Abdul Samad",2022,"Deepak Hooda","Sunrisers Hyderabad",2,0,3,"All","All",Inf,4
"Abdul Samad",2022,"KL Rahul","Sunrisers Hyderabad",6,0,3,"All","All",Inf,12
"Abdur Razzak",2008,"Graeme Smith","Royal Challengers Bangalore",25,0,6,"All","All",Inf,25
