"Striker","Season","Batting_Team","Bowling_Team","Stadium","Runs","Dismissed","Balls","Run_Out","Bowler","Average","Strike_Rate"
"AB de Villiers",2008,"Delhi Capitals","Chennai Super Kings","Feroz Shah Kotla",0,1,1,0,"All",0,0
"AB de Villiers",2008,"Delhi Capitals","Chennai Super Kings","MA Chidambaram Stadium",26,0,21,0,"All",Inf,123.809523809524
"AB de Villiers",2008,"Delhi Capitals","Kolkata Knight Riders","Eden Gardens",7,1,12,0,"All",7,58.3333333333333
"AB de Villiers",2008,"Delhi Capitals","Mumbai Indians","Dr DY Patil Sports Academy",21,0,17,0,"All",Inf,123.529411764706
"AB de Villiers",2008,"Delhi Capitals","Rajasthan Royals","Sawai Mansingh Stadium",20,1,22,0,"All",20,90.9090909090909
"AB de Villiers",2008,"Delhi Capitals","Royal Challengers Bangalore","M Chinnaswamy Stadium",21,1,25,0,"All",21,84
"AB de Villiers",2009,"Delhi Capitals","Chennai Super Kings","Kingsmead",105,0,54,0,"All",Inf,194.444444444444
"AB de Villiers",2009,"Delhi Capitals","Chennai Super Kings","New Wanderers Stadium",0,1,1,0,"All",0,0
"AB de Villiers",2009,"Delhi Capitals","Deccan Chargers","Kingsmead",44,1,36,0,"All",44,122.222222222222
"AB de Villiers",2009,"Delhi Capitals","Deccan Chargers","SuperSport Park",31,2,30,0,"All",15.5,103.333333333333
"AB de Villiers",2009,"Delhi Capitals","Kolkata Knight Riders","New Wanderers Stadium",40,0,32,0,"All",Inf,125
"AB de Villiers",2009,"Delhi Capitals","Mumbai Indians","Buffalo Park",50,0,38,0,"All",Inf,131.578947368421
"AB de Villiers",2009,"Delhi Capitals","Mumbai Indians","SuperSport Park",6,1,6,0,"All",6,100
"AB de Villiers",2009,"Delhi Capitals","Punjab Kings","OUTsurance Oval",11,1,11,0,"All",11,100
"AB de Villiers",2009,"Delhi Capitals","Rajasthan Royals","OUTsurance Oval",79,0,55,0,"All",Inf,143.636363636364
"AB de Villiers",2009,"Delhi Capitals","Rajasthan Royals","SuperSport Park",50,1,40,0,"All",50,125
"AB de Villiers",2009,"Delhi Capitals","Royal Challengers Bangalore","New Wanderers Stadium",28,1,29,0,"All",28,96.551724137931
"AB de Villiers",2009,"Delhi Capitals","Royal Challengers Bangalore","St George's Park",21,1,23,0,"All",21,91.304347826087
"AB de Villiers",2010,"Delhi Capitals","Chennai Super Kings","Feroz Shah Kotla",2,1,3,0,"All",2,66.6666666666667
"AB de Villiers",2010,"Delhi Capitals","Deccan Chargers","Barabati Stadium",27,1,26,0,"All",27,103.846153846154
"AB de Villiers",2010,"Delhi Capitals","Mumbai Indians","Brabourne Stadium",4,1,7,0,"All",4,57.1428571428571
"AB de Villiers",2010,"Delhi Capitals","Mumbai Indians","Feroz Shah Kotla",11,1,11,0,"All",11,100
"AB de Villiers",2010,"Delhi Capitals","Punjab Kings","Punjab Cricket Association Stadium",7,0,13,0,"All",Inf,53.8461538461538
"AB de Villiers",2010,"Delhi Capitals","Rajasthan Royals","Sardar Patel Stadium",15,1,24,0,"All",15,62.5
"AB de Villiers",2010,"Delhi Capitals","Royal Challengers Bangalore","M Chinnaswamy Stadium",45,0,35,0,"All",Inf,128.571428571429
"AB de Villiers",2011,"Royal Challengers Bangalore","Chennai Super Kings","M Chinnaswamy Stadium",0,1,3,0,"All",0,0
"AB de Villiers",2011,"Royal Challengers Bangalore","Chennai Super Kings","MA Chidambaram Stadium",83,2,56,0,"All",41.5,148.214285714286
"AB de Villiers",2011,"Royal Challengers Bangalore","Chennai Super Kings","Wankhede Stadium",11,1,10,0,"All",11,110
"AB de Villiers",2011,"Royal Challengers Bangalore","Deccan Chargers","Rajiv Gandhi International Stadium",0,1,7,0,"All",0,0
"AB de Villiers",2011,"Royal Challengers Bangalore","Delhi Capitals","Feroz Shah Kotla",5,1,2,1,"All",Inf,250
"AB de Villiers",2011,"Royal Challengers Bangalore","Kochi Tuskers Kerala","Nehru Stadium",54,0,40,0,"All",Inf,135
"AB de Villiers",2011,"Royal Challengers Bangalore","Kolkata Knight Riders","M Chinnaswamy Stadium",13,0,13,0,"All",Inf,100
"AB de Villiers",2011,"Royal Challengers Bangalore","Mumbai Indians","M Chinnaswamy Stadium",38,1,36,0,"All",38,105.555555555556
"AB de Villiers",2011,"Royal Challengers Bangalore","Mumbai Indians","MA Chidambaram Stadium",21,0,15,0,"All",Inf,140
"AB de Villiers",2011,"Royal Challengers Bangalore","Pune Warriors","M Chinnaswamy Stadium",26,1,20,0,"All",26,130
"AB de Villiers",2011,"Royal Challengers Bangalore","Punjab Kings","Himachal Pradesh Cricket Association Stadium",34,1,27,0,"All",34,125.925925925926
"AB de Villiers",2011,"Royal Challengers Bangalore","Punjab Kings","M Chinnaswamy Stadium",27,0,14,0,"All",Inf,192.857142857143
"AB de Villiers",2012,"Royal Challengers Bangalore","Chennai Super Kings","MA Chidambaram Stadium",4,1,2,0,"All",4,200
"AB de Villiers",2012,"Royal Challengers Bangalore","Deccan Chargers","M Chinnaswamy Stadium",47,0,17,0,"All",Inf,276.470588235294
