"Striker","Season","Stadium","Runs","Dismissed","Balls","Run_Out","Bowler","Bowling_Team","Batting_Team","Average","Strike_Rate"
"AB de Villiers",2008,"Dr DY Patil Sports Academy",21,0,17,0,"All","All","All",Inf,123.529411764706
"AB de Villiers",2008,"Eden Gardens",7,1,12,0,"All","All","All",7,58.3333333333333
"AB de Villiers",2008,"Feroz Shah Kotla",0,1,1,0,"All","All","All",0,0
"AB de Villiers",2008,"M Chinnaswamy Stadium",21,1,25,0,"All","All","All",21,84
"AB de Villiers",2008,"MA Chidambaram Stadium",26,0,21,0,"All","All","All",Inf,123.809523809524
"AB de Villiers",2008,"Sawai Mansingh Stadium",20,1,22,0,"All","All","All",20,90.9090909090909
"AB de Villiers",2009,"Buffalo Park",50,0,38,0,"All","All","All",Inf,131.578947368421
"AB de Villiers",2009,"Kingsmead",149,1,90,0,"All","All","All",149,165.555555555556
"AB de Villiers",2009,"New Wanderers Stadium",68,2,62,0,"All","All","All",34,109.677419354839
"AB de Villiers",2009,"OUTsurance Oval",90,1,66,0,"All","All","All",90,136.363636363636
"AB de Villiers",2009,"St George's Park",21,1,23,0,"All","All","All",21,91.304347826087
"AB de Villiers",2009,"SuperSport Park",87,4,76,0,"All","All","All",21.75,114.473684210526
"AB de Villiers",2010,"Barabati Stadium",27,1,26,0,"All","All","All",27,103.846153846154
"AB de Villiers",2010,"Brabourne Stadium",4,1,7,0,"All","All","All",4,57.1428571428571
"AB de Villiers",2010,"Feroz Shah Kotla",13,2,14,0,"All","All","All",6.5,92.8571428571429
"AB de Villiers",2010,"M Chinnaswamy Stadium",45,0,35,0,"All","All","All",Inf,128.571428571429
"AB de Villiers",2010,"Punjab Cricket Association Stadium",7,0,13,0,"All","All","All",Inf,53.8461538461538
"AB de Villiers",2010,"Sardar Patel Stadium",15,1,24,0,"All","All","All",15,62.5
"AB de Villiers",2011,"Feroz Shah Kotla",5,1,2,1,"All","All","All",5,250
"AB de Villiers",2011,"Himachal Pradesh Cricket Association Stadium",34,1,27,0,"All","All","All",34,125.925925925926
"AB de Villiers",2011,"M Chinnaswamy Stadium",104,3,86,0,"All","All","All",34.6666666666667,120.93023255814
"AB de Villiers",2011,"MA Chidambaram Stadium",104,2,71,0,"All","All","All",52,146.478873239437
"AB de Villiers",2011,"Nehru Stadium",54,0,40,0,"All","All","All",Inf,135
"AB de Villiers",2011,"Rajiv Gandhi International Stadium",0,1,7,0,"All","All","All",0,0
"AB de Villiers",2011,"Wankhede Stadium",11,1,10,0,"All","All","All",11,110
"AB de Villiers",2012,"Eden Gardens",0,1,1,0,"All","All","All",0,0
"AB de Villiers",2012,"M Chinnaswamy Stadium",191,4,118,0,"All","All","All",47.75,161.864406779661
"AB de Villiers",2012,"MA Chidambaram Stadium",4,1,2,0,"All","All","All",4,200
"AB de Villiers",2012,"Punjab Cricket Association Stadium",52,1,39,0,"All","All","All",52,133.333333333333
"AB de Villiers",2012,"Rajiv Gandhi International Stadium",4,1,11,0,"All","All","All",4,36.3636363636364
"AB de Villiers",2012,"Sawai Mansingh Stadium",59,0,23,0,"All","All","All",Inf,256.521739130435
"AB de Villiers",2012,"Subrata Roy Sahara Stadium",9,0,4,0,"All","All","All",Inf,225
"AB de Villiers",2013,"Feroz Shah Kotla",32,0,17,0,"All","All","All",Inf,188.235294117647
"AB de Villiers",2013,"JSCA International Stadium Complex",28,1,22,0,"All","All","All",28,127.272727272727
"AB de Villiers",2013,"M Chinnaswamy Stadium",125,6,90,1,"All","All","All",20.8333333333333,138.888888888889
"AB de Villiers",2013,"MA Chidambaram Stadium",64,1,32,0,"All","All","All",64,200
"AB de Villiers",2013,"Punjab Cricket Association Stadium",38,0,19,0,"All","All","All",Inf,200
"AB de Villiers",2013,"Sawai Mansingh Stadium",21,1,13,0,"All","All","All",21,161.538461538462
"AB de Villiers",2013,"Subrata Roy Sahara Stadium",50,0,23,0,"All","All","All",Inf,217.391304347826
"AB de Villiers",2013,"Wankhede Stadium",2,1,3,0,"All","All","All",2,66.6666666666667
"AB de Villiers",2014,"Dubai International Cricket Stadium",62,1,63,0,"All","All","All",62,98.4126984126984
"AB de Villiers",2014,"Eden Gardens",13,1,13,0,"All","All","All",13,100
"AB de Villiers",2014,"JSCA International Stadium Complex",28,1,14,0,"All","All","All",28,200
"AB de Villiers",2014,"M Chinnaswamy Stadium",243,4,122,0,"All","All","All",60.75,199.180327868852
"AB de Villiers",2014,"Rajiv Gandhi International Stadium",29,1,17,0,"All","All","All",29,170.588235294118
"AB de Villiers",2014,"Sharjah Cricket Stadium",11,1,12,0,"All","All","All",11,91.6666666666667
"AB de Villiers",2014,"Sheikh Zayed Stadium",0,1,1,0,"All","All","All",0,0
"AB de Villiers",2014,"Wankhede Stadium",9,1,7,0,"All","All","All",9,128.571428571429
"AB de Villiers",2015,"Eden Gardens",28,1,13,0,"All","All","All",28,215.384615384615
"AB de Villiers",2015,"JSCA International Stadium Complex",1,1,3,0,"All","All","All",1,33.3333333333333
"AB de Villiers",2015,"M Chinnaswamy Stadium",207,5,122,2,"All","All","All",41.4,169.672131147541
"AB de Villiers",2015,"MA Chidambaram Stadium",21,1,14,0,"All","All","All",21,150
"AB de Villiers",2015,"Maharashtra Cricket Association Stadium",66,1,38,1,"All","All","All",66,173.684210526316
"AB de Villiers",2015,"Punjab Cricket Association Stadium",10,1,9,0,"All","All","All",10,111.111111111111
