"Striker","Season","Runs","Dismissed","Balls","Run_Out","Bowler","Bowling_Team","Batting_Team","Stadium","Average","Strike_Rate"
"AB de Villiers",2008,95,4,98,0,"All","All","All","All",23.75,96.9387755102041
"AB de Villiers",2009,465,9,355,0,"All","All","All","All",51.6666666666667,130.985915492958
"AB de Villiers",2010,111,5,119,0,"All","All","All","All",22.2,93.2773109243697
"AB de Villiers",2011,312,9,243,1,"All","All","All","All",34.6666666666667,128.395061728395
"AB de Villiers",2012,319,8,198,0,"All","All","All","All",39.875,161.111111111111
"AB de Villiers",2013,360,10,219,1,"All","All","All","All",36,164.383561643836
"AB de Villiers",2014,395,11,249,0,"All","All","All","All",35.9090909090909,158.63453815261
"AB de Villiers",2015,513,11,293,3,"All","All","All","All",46.6363636363636,175.085324232082
"AB de Villiers",2016,687,13,407,0,"All","All","All","All",52.8461538461538,168.796068796069
"AB de Villiers",2017,216,8,163,1,"All","All","All","All",27,132.515337423313
"AB de Villiers",2018,480,9,275,0,"All","All","All","All",53.3333333333333,174.545454545455
"AB de Villiers",2019,442,10,287,1,"All","All","All","All",44.2,154.006968641115
"AB de Villiers",2020,454,10,286,2,"All","All","All","All",45.4,158.741258741259
"AB de Villiers",2021,313,10,211,2,"All","All","All","All",31.3,148.341232227488
"Aakash Chopra",2008,42,5,52,2,"All","All","All","All",8.4,80.7692307692308
"Aakash Chopra",2009,11,1,19,0,"All","All","All","All",11,57.8947368421053
"Aaron Finch",2010,21,1,21,0,"All","All","All","All",21,100
"Aaron Finch",2011,47,6,46,0,"All","All","All","All",7.83333333333333,102.173913043478
"Aaron Finch",2012,55,2,51,0,"All","All","All","All",27.5,107.843137254902
"Aaron Finch",2013,456,14,336,0,"All","All","All","All",32.5714285714286,135.714285714286
"Aaron Finch",2014,309,11,263,1,"All","All","All","All",28.0909090909091,117.490494296578
"Aaron Finch",2015,23,3,33,0,"All","All","All","All",7.66666666666667,69.6969696969697
"Aaron Finch",2016,393,10,299,2,"All","All","All","All",39.3,131.438127090301
"Aaron Finch",2017,299,12,180,0,"All","All","All","All",24.9166666666667,166.111111111111
"Aaron Finch",2018,134,8,100,0,"All","All","All","All",16.75,134
"Aaron Finch",2020,268,12,241,0,"All","All","All","All",22.3333333333333,111.203319502075
"Aaron Finch",2022,86,5,61,0,"All","All","All","All",17.2,140.983606557377
"Abdul Samad",2020,111,5,65,0,"All","All","All","All",22.2,170.769230769231
"Abdul Samad",2021,111,9,87,1,"All","All","All","All",12.3333333333333,127.586206896552
"Abdul Samad",2022,4,2,7,0,"All","All","All","All",2,57.1428571428571
"Abdur Razzak",2008,0,0,2,0,"All","All","All","All",NA,0
"Abhijeet Tomar",2022,4,1,8,0,"All","All","All","All",4,50
"Abhimanyu Mithun",2010,5,1,4,0,"All","All","All","All",5,125
"Abhimanyu Mithun",2011,27,3,20,0,"All","All","All","All",9,135
"Abhimanyu Mithun",2013,2,1,2,0,"All","All","All","All",2,100
"Abhinav Manohar",2022,108,6,75,0,"All","All","All","All",18,144
"Abhinav Mukund",2008,0,1,1,0,"All","All","All","All",0,0
"Abhinav Mukund",2013,19,1,21,0,"All","All","All","All",19,90.4761904761905
"Abhishek Jhunjhunwala",2010,183,9,166,2,"All","All","All","All",20.3333333333333,110.240963855422
"Abhishek Jhunjhunwala",2011,10,2,18,0,"All","All","All","All",5,55.5555555555556
"Abhishek Jhunjhunwala",2012,24,2,26,1,"All","All","All","All",12,92.3076923076923
"Abhishek Nayar",2008,206,8,138,0,"All","All","All","All",25.75,149.275362318841
"Abhishek Nayar",2009,193,9,152,2,"All","All","All","All",21.4444444444444,126.973684210526
"Abhishek Nayar",2010,58,2,51,1,"All","All","All","All",29,113.725490196078
"Abhishek Nayar",2011,61,6,67,1,"All","All","All","All",10.1666666666667,91.044776119403
"Abhishek Nayar",2012,45,3,49,1,"All","All","All","All",15,91.8367346938776
"Abhishek Nayar",2013,66,6,73,1,"All","All","All","All",11,90.4109589041096
"Abhishek Nayar",2014,43,3,47,1,"All","All","All","All",14.3333333333333,91.4893617021277
"Abhishek Raut",2009,78,4,61,0,"All","All","All","All",19.5,127.868852459016
"Abhishek Raut",2010,56,2,48,0,"All","All","All","All",28,116.666666666667
