"Striker","Season","Batting_Team","Runs","Dismissed","Balls","Run_Out","Stadium","Bowler","Bowling_Team","Average","Strike_Rate"
"AB de Villiers",2008,"Delhi Capitals",95,4,98,0,"All","All","All",23.75,96.9387755102041
"AB de Villiers",2009,"Delhi Capitals",465,9,355,0,"All","All","All",51.6666666666667,130.985915492958
"AB de Villiers",2010,"Delhi Capitals",111,5,119,0,"All","All","All",22.2,93.2773109243697
"AB de Villiers",2011,"Royal Challengers Bangalore",312,9,243,1,"All","All","All",34.6666666666667,128.395061728395
"AB de Villiers",2012,"Royal Challengers Bangalore",319,8,198,0,"All","All","All",39.875,161.111111111111
"AB de Villiers",2013,"Royal Challengers Bangalore",360,10,219,1,"All","All","All",36,164.383561643836
"AB de Villiers",2014,"Royal Challengers Bangalore",395,11,249,0,"All","All","All",35.9090909090909,158.63453815261
"AB de Villiers",2015,"Royal Challengers Bangalore",513,11,293,3,"All","All","All",46.6363636363636,175.085324232082
"AB de Villiers",2016,"Royal Challengers Bangalore",687,13,407,0,"All","All","All",52.8461538461538,168.796068796069
"AB de Villiers",2017,"Royal Challengers Bangalore",216,8,163,1,"All","All","All",27,132.515337423313
"AB de Villiers",2018,"Royal Challengers Bangalore",480,9,275,0,"All","All","All",53.3333333333333,174.545454545455
"AB de Villiers",2019,"Royal Challengers Bangalore",442,10,287,1,"All","All","All",44.2,154.006968641115
"AB de Villiers",2020,"Royal Challengers Bangalore",454,10,286,2,"All","All","All",45.4,158.741258741259
"AB de Villiers",2021,"Royal Challengers Bangalore",313,10,211,2,"All","All","All",31.3,148.341232227488
"Aakash Chopra",2008,"Kolkata Knight Riders",42,5,52,2,"All","All","All",8.4,80.7692307692308
"Aakash Chopra",2009,"Kolkata Knight Riders",11,1,19,0,"All","All","All",11,57.8947368421053
"Aaron Finch",2010,"Rajasthan Royals",21,1,21,0,"All","All","All",21,100
"Aaron Finch",2011,"Delhi Capitals",47,6,46,0,"All","All","All",7.83333333333333,102.173913043478
"Aaron Finch",2012,"Delhi Capitals",55,2,51,0,"All","All","All",27.5,107.843137254902
"Aaron Finch",2013,"Pune Warriors",456,14,336,0,"All","All","All",32.5714285714286,135.714285714286
"Aaron Finch",2014,"Sunrisers Hyderabad",309,11,263,1,"All","All","All",28.0909090909091,117.490494296578
"Aaron Finch",2015,"Mumbai Indians",23,3,33,0,"All","All","All",7.66666666666667,69.6969696969697
"Aaron Finch",2016,"Gujarat Lions",393,10,299,2,"All","All","All",39.3,131.438127090301
"Aaron Finch",2017,"Gujarat Lions",299,12,180,0,"All","All","All",24.9166666666667,166.111111111111
"Aaron Finch",2018,"Punjab Kings",134,8,100,0,"All","All","All",16.75,134
"Aaron Finch",2020,"Royal Challengers Bangalore",268,12,241,0,"All","All","All",22.3333333333333,111.203319502075
"Aaron Finch",2022,"Kolkata Knight Riders",86,5,61,0,"All","All","All",17.2,140.983606557377
"Abdul Samad",2020,"Sunrisers Hyderabad",111,5,65,0,"All","All","All",22.2,170.769230769231
"Abdul Samad",2021,"Sunrisers Hyderabad",111,9,87,1,"All","All","All",12.3333333333333,127.586206896552
"Abdul Samad",2022,"Sunrisers Hyderabad",4,2,7,0,"All","All","All",2,57.1428571428571
"Abdur Razzak",2008,"Royal Challengers Bangalore",0,0,2,0,"All","All","All",NA,0
"Abhijeet Tomar",2022,"Kolkata Knight Riders",4,1,8,0,"All","All","All",4,50
"Abhimanyu Mithun",2010,"Royal Challengers Bangalore",5,1,4,0,"All","All","All",5,125
"Abhimanyu Mithun",2011,"Royal Challengers Bangalore",27,3,20,0,"All","All","All",9,135
"Abhimanyu Mithun",2013,"Royal Challengers Bangalore",2,1,2,0,"All","All","All",2,100
"Abhinav Manohar",2022,"Gujarat Titans",108,6,75,0,"All","All","All",18,144
"Abhinav Mukund",2008,"Chennai Super Kings",0,1,1,0,"All","All","All",0,0
"Abhinav Mukund",2013,"Royal Challengers Bangalore",19,1,21,0,"All","All","All",19,90.4761904761905
"Abhishek Jhunjhunwala",2010,"Rajasthan Royals",183,9,166,2,"All","All","All",20.3333333333333,110.240963855422
"Abhishek Jhunjhunwala",2011,"Pune Warriors",10,2,18,0,"All","All","All",5,55.5555555555556
"Abhishek Jhunjhunwala",2012,"Deccan Chargers",24,2,26,1,"All","All","All",12,92.3076923076923
"Abhishek Nayar",2008,"Mumbai Indians",206,8,138,0,"All","All","All",25.75,149.275362318841
"Abhishek Nayar",2009,"Mumbai Indians",193,9,152,2,"All","All","All",21.4444444444444,126.973684210526
"Abhishek Nayar",2010,"Mumbai Indians",58,2,51,1,"All","All","All",29,113.725490196078
"Abhishek Nayar",2011,"Punjab Kings",61,6,67,1,"All","All","All",10.1666666666667,91.044776119403
"Abhishek Nayar",2012,"Punjab Kings",45,3,49,1,"All","All","All",15,91.8367346938776
"Abhishek Nayar",2013,"Pune Warriors",66,6,73,1,"All","All","All",11,90.4109589041096
"Abhishek Nayar",2014,"Rajasthan Royals",43,3,47,1,"All","All","All",14.3333333333333,91.4893617021277
"Abhishek Raut",2009,"Rajasthan Royals",78,4,61,0,"All","All","All",19.5,127.868852459016
"Abhishek Raut",2010,"Rajasthan Royals",56,2,48,0,"All","All","All",28,116.666666666667
"Abhishek Raut",2011,"Rajasthan Royals",60,3,58,2,"All","All","All",20,103.448275862069
"Abhishek Sharma",2018,"Delhi Capitals",63,1,33,0,"All","All","All",63,190.909090909091
"Abhishek Sharma",2019,"Sunrisers Hyderabad",9,2,9,0,"All","All","All",4.5,100
"Abhishek Sharma",2020,"Sunrisers Hyderabad",71,5,56,1,"All","All","All",14.2,126.785714285714
"Abhishek Sharma",2021,"Sunrisers Hyderabad",98,6,75,0,"All","All","All",16.3333333333333,130.666666666667
"Abhishek Sharma",2022,"Sunrisers Hyderabad",426,14,320,0,"All","All","All",30.4285714285714,133.125
"Abu Nechim",2010,"Mumbai Indians",4,0,7,0,"All","All","All",Inf,57.1428571428571
"Abu Nechim",2011,"Mumbai Indians",18,0,13,0,"All","All","All",Inf,138.461538461538
"Abu Nechim",2014,"Royal Challengers Bangalore",4,0,1,0,"All","All","All",Inf,400
"Abu Nechim",2015,"Royal Challengers Bangalore",10,1,5,0,"All","All","All",10,200
"Adam Gilchrist",2008,"Deccan Chargers",436,13,318,0,"All","All","All",33.5384615384615,137.106918238994
"Adam Gilchrist",2009,"Deccan Chargers",495,16,325,0,"All","All","All",30.9375,152.307692307692
