"Striker","Season","Batting_Team","Bowling_Team","Runs","Dismissed","Balls","Run_Out","Bowler","Stadium","Average","Strike_Rate"
"AB de Villiers",2008,"Delhi Capitals","Chennai Super Kings",26,1,22,0,"All","All",26,118.181818181818
"AB de Villiers",2008,"Delhi Capitals","Kolkata Knight Riders",7,1,12,0,"All","All",7,58.3333333333333
"AB de Villiers",2008,"Delhi Capitals","Mumbai Indians",21,0,17,0,"All","All",Inf,123.529411764706
"AB de Villiers",2008,"Delhi Capitals","Rajasthan Royals",20,1,22,0,"All","All",20,90.9090909090909
"AB de Villiers",2008,"Delhi Capitals","Royal Challengers Bangalore",21,1,25,0,"All","All",21,84
"AB de Villiers",2009,"Delhi Capitals","Chennai Super Kings",105,1,55,0,"All","All",105,190.909090909091
"AB de Villiers",2009,"Delhi Capitals","Deccan Chargers",75,3,66,0,"All","All",25,113.636363636364
"AB de Villiers",2009,"Delhi Capitals","Kolkata Knight Riders",40,0,32,0,"All","All",Inf,125
"AB de Villiers",2009,"Delhi Capitals","Mumbai Indians",56,1,44,0,"All","All",56,127.272727272727
"AB de Villiers",2009,"Delhi Capitals","Punjab Kings",11,1,11,0,"All","All",11,100
"AB de Villiers",2009,"Delhi Capitals","Rajasthan Royals",129,1,95,0,"All","All",129,135.789473684211
"AB de Villiers",2009,"Delhi Capitals","Royal Challengers Bangalore",49,2,52,0,"All","All",24.5,94.2307692307692
"AB de Villiers",2010,"Delhi Capitals","Chennai Super Kings",2,1,3,0,"All","All",2,66.6666666666667
"AB de Villiers",2010,"Delhi Capitals","Deccan Chargers",27,1,26,0,"All","All",27,103.846153846154
"AB de Villiers",2010,"Delhi Capitals","Mumbai Indians",15,2,18,0,"All","All",7.5,83.3333333333333
"AB de Villiers",2010,"Delhi Capitals","Punjab Kings",7,0,13,0,"All","All",Inf,53.8461538461538
"AB de Villiers",2010,"Delhi Capitals","Rajasthan Royals",15,1,24,0,"All","All",15,62.5
"AB de Villiers",2010,"Delhi Capitals","Royal Challengers Bangalore",45,0,35,0,"All","All",Inf,128.571428571429
"AB de Villiers",2011,"Royal Challengers Bangalore","Chennai Super Kings",94,4,69,0,"All","All",23.5,136.231884057971
"AB de Villiers",2011,"Royal Challengers Bangalore","Deccan Chargers",0,1,7,0,"All","All",0,0
"AB de Villiers",2011,"Royal Challengers Bangalore","Delhi Capitals",5,1,2,1,"All","All",5,250
"AB de Villiers",2011,"Royal Challengers Bangalore","Kochi Tuskers Kerala",54,0,40,0,"All","All",Inf,135
"AB de Villiers",2011,"Royal Challengers Bangalore","Kolkata Knight Riders",13,0,13,0,"All","All",Inf,100
"AB de Villiers",2011,"Royal Challengers Bangalore","Mumbai Indians",59,1,51,0,"All","All",59,115.686274509804
"AB de Villiers",2011,"Royal Challengers Bangalore","Pune Warriors",26,1,20,0,"All","All",26,130
"AB de Villiers",2011,"Royal Challengers Bangalore","Punjab Kings",61,1,41,0,"All","All",61,148.780487804878
"AB de Villiers",2012,"Royal Challengers Bangalore","Chennai Super Kings",4,1,2,0,"All","All",4,200
"AB de Villiers",2012,"Royal Challengers Bangalore","Deccan Chargers",51,1,28,0,"All","All",51,182.142857142857
"AB de Villiers",2012,"Royal Challengers Bangalore","Delhi Capitals",64,0,42,0,"All","All",Inf,152.380952380952
"AB de Villiers",2012,"Royal Challengers Bangalore","Kolkata Knight Riders",10,2,11,0,"All","All",5,90.9090909090909
"AB de Villiers",2012,"Royal Challengers Bangalore","Mumbai Indians",14,1,13,0,"All","All",14,107.692307692308
"AB de Villiers",2012,"Royal Challengers Bangalore","Pune Warriors",42,0,18,0,"All","All",Inf,233.333333333333
"AB de Villiers",2012,"Royal Challengers Bangalore","Punjab Kings",69,2,52,0,"All","All",34.5,132.692307692308
"AB de Villiers",2012,"Royal Challengers Bangalore","Rajasthan Royals",65,1,32,0,"All","All",65,203.125
"AB de Villiers",2013,"Royal Challengers Bangalore","Chennai Super Kings",69,2,35,0,"All","All",34.5,197.142857142857
"AB de Villiers",2013,"Royal Challengers Bangalore","Delhi Capitals",71,1,49,1,"All","All",71,144.897959183673
"AB de Villiers",2013,"Royal Challengers Bangalore","Kolkata Knight Riders",50,1,44,0,"All","All",50,113.636363636364
"AB de Villiers",2013,"Royal Challengers Bangalore","Mumbai Indians",2,1,3,0,"All","All",2,66.6666666666667
"AB de Villiers",2013,"Royal Challengers Bangalore","Pune Warriors",81,1,31,0,"All","All",81,261.290322580645
"AB de Villiers",2013,"Royal Challengers Bangalore","Punjab Kings",44,1,21,0,"All","All",44,209.52380952381
"AB de Villiers",2013,"Royal Challengers Bangalore","Rajasthan Royals",28,2,21,0,"All","All",14,133.333333333333
"AB de Villiers",2013,"Royal Challengers Bangalore","Sunrisers Hyderabad",15,1,15,0,"All","All",15,100
"AB de Villiers",2014,"Royal Challengers Bangalore","Chennai Super Kings",38,2,20,0,"All","All",19,190
"AB de Villiers",2014,"Royal Challengers Bangalore","Delhi Capitals",33,1,17,0,"All","All",33,194.117647058824
"AB de Villiers",2014,"Royal Challengers Bangalore","Kolkata Knight Riders",24,2,25,0,"All","All",12,96
"AB de Villiers",2014,"Royal Challengers Bangalore","Mumbai Indians",54,1,55,0,"All","All",54,98.1818181818182
"AB de Villiers",2014,"Royal Challengers Bangalore","Punjab Kings",70,2,41,0,"All","All",35,170.731707317073
"AB de Villiers",2014,"Royal Challengers Bangalore","Rajasthan Royals",58,2,33,0,"All","All",29,175.757575757576
"AB de Villiers",2014,"Royal Challengers Bangalore","Sunrisers Hyderabad",118,1,58,0,"All","All",118,203.448275862069
"AB de Villiers",2015,"Royal Challengers Bangalore","Chennai Super Kings",36,3,27,1,"All","All",12,133.333333333333
"AB de Villiers",2015,"Royal Challengers Bangalore","Kolkata Knight Riders",30,2,17,0,"All","All",15,176.470588235294
"AB de Villiers",2015,"Royal Challengers Bangalore","Mumbai Indians",174,1,70,0,"All","All",174,248.571428571429
