"Bowler","Season","Striker","Stadium","Runs","Wickets","Balls","Bowling_Team","Batting_Team","Average","Economy"
"Aaron Finch",2010,"Cheteshwar Pujara","Eden Gardens",4,0,5,"All","All",Inf,4.8
"Aaron Finch",2010,"Sourav Ganguly","Eden Gardens",1,0,2,"All","All",Inf,3
"Aaron Finch",2011,"Rohit Sharma","Feroz Shah Kotla",4,0,4,"All","All",Inf,6
"Aaron Finch",2011,"Sachin Tendulkar","Feroz Shah Kotla",9,0,8,"All","All",Inf,6.75
"Aaron Finch",2013,"Chris Gayle","M Chinnaswamy Stadium",28,0,5,"All","All",Inf,33.6
"Aaron Finch",2013,"Dinesh Karthik","Wankhede Stadium",2,0,2,"All","All",Inf,6
"Aaron Finch",2013,"Ravindra Jadeja","MA Chidambaram Stadium",2,0,2,"All","All",Inf,6
"Aaron Finch",2013,"Ricky Ponting","Wankhede Stadium",1,0,1,"All","All",Inf,6
"Aaron Finch",2013,"Rohit Sharma","Wankhede Stadium",2,0,2,"All","All",Inf,6
"Aaron Finch",2013,"S Badrinath","MA Chidambaram Stadium",7,0,4,"All","All",Inf,10.5
"Aaron Finch",2013,"Sachin Tendulkar","Wankhede Stadium",6,1,7,"All","All",6,5.14285714285714
"Aaron Finch",2013,"Tillakaratne Dilshan","M Chinnaswamy Stadium",1,0,1,"All","All",Inf,6
"Aavishkar Salvi",2009,"Abhishek Nayar","SuperSport Park",0,1,1,"All","All",0,0
"Aavishkar Salvi",2009,"Ajinkya Rahane","SuperSport Park",11,0,5,"All","All",Inf,13.2
"Aavishkar Salvi",2009,"Albie Morkel","Kingsmead",2,0,3,"All","All",Inf,4
"Aavishkar Salvi",2009,"Irfan Pathan","Newlands",6,1,6,"All","All",6,6
"Aavishkar Salvi",2009,"Jacques Kallis","New Wanderers Stadium",13,0,15,"All","All",Inf,5.2
"Aavishkar Salvi",2009,"Johan Botha","OUTsurance Oval",10,0,8,"All","All",Inf,7.5
"Aavishkar Salvi",2009,"Karan Goel","Newlands",10,0,4,"All","All",Inf,15
"Aavishkar Salvi",2009,"Matthew Hayden","Kingsmead",33,0,9,"All","All",Inf,22
"Aavishkar Salvi",2009,"Mohammad Ashraful","SuperSport Park",2,0,4,"All","All",Inf,3
"Aavishkar Salvi",2009,"Naman Ojha","OUTsurance Oval",1,1,6,"All","All",1,1
"Aavishkar Salvi",2009,"Parthiv Patel","Kingsmead",2,0,2,"All","All",Inf,6
"Aavishkar Salvi",2009,"Pinal Shah","SuperSport Park",4,0,6,"All","All",Inf,4
"Aavishkar Salvi",2009,"Rahul Dravid","New Wanderers Stadium",6,0,4,"All","All",Inf,9
"Aavishkar Salvi",2009,"Ravi Bopara","Newlands",1,0,2,"All","All",Inf,3
"Aavishkar Salvi",2009,"Ravindra Jadeja","OUTsurance Oval",7,1,6,"All","All",7,7
"Aavishkar Salvi",2009,"Ross Taylor","New Wanderers Stadium",11,0,5,"All","All",Inf,13.2
"Aavishkar Salvi",2009,"S Badrinath","Kingsmead",3,0,3,"All","All",Inf,6
"Aavishkar Salvi",2009,"Sachin Tendulkar","SuperSport Park",10,0,8,"All","All",Inf,7.5
"Aavishkar Salvi",2009,"Suresh Raina","Kingsmead",1,0,1,"All","All",Inf,6
"Aavishkar Salvi",2009,"Yusuf Pathan","OUTsurance Oval",1,0,4,"All","All",Inf,1.5
"Aavishkar Salvi",2011,"Dan Christian","Rajiv Gandhi International Stadium",8,0,7,"All","All",Inf,6.85714285714286
"Aavishkar Salvi",2011,"David Hussey","Himachal Pradesh Cricket Association Stadium",1,1,2,"All","All",1,3
"Aavishkar Salvi",2011,"Dinesh Karthik","Himachal Pradesh Cricket Association Stadium",15,1,7,"All","All",15,12.8571428571429
"Aavishkar Salvi",2011,"Dwaraka Ravi Teja","Rajiv Gandhi International Stadium",0,1,3,"All","All",0,0
"Aavishkar Salvi",2011,"Ishan Malhotra","Rajiv Gandhi International Stadium",6,0,3,"All","All",Inf,12
"Aavishkar Salvi",2011,"Jean-Paul Duminy","Rajiv Gandhi International Stadium",1,0,2,"All","All",Inf,3
"Aavishkar Salvi",2011,"Kumar Sangakkara","Rajiv Gandhi International Stadium",5,0,6,"All","All",Inf,5
"Aavishkar Salvi",2011,"Mandeep Singh","Himachal Pradesh Cricket Association Stadium",1,0,1,"All","All",Inf,6
"Aavishkar Salvi",2011,"Paul Valthaty","Himachal Pradesh Cricket Association Stadium",13,0,5,"All","All",Inf,15.6
"Aavishkar Salvi",2011,"Piyush Chawla","Himachal Pradesh Cricket Association Stadium",1,0,1,"All","All",Inf,6
"Aavishkar Salvi",2011,"Ryan Harris","Himachal Pradesh Cricket Association Stadium",1,0,1,"All","All",Inf,6
"Aavishkar Salvi",2011,"Shaun Marsh","Himachal Pradesh Cricket Association Stadium",8,0,7,"All","All",Inf,6.85714285714286
"Aavishkar Salvi",2011,"Shikhar Dhawan","Rajiv Gandhi International Stadium",6,0,3,"All","All",Inf,12
"Abdul Samad",2020,"Ishan Kishan","Sharjah Cricket Stadium",2,0,2,"All","All",Inf,6
"Abdul Samad",2020,"Kedar Jadhav","Dubai International Cricket Stadium",0,1,1,"All","All",0,0
"Abdul Samad",2020,"MS Dhoni","Dubai International Cricket Stadium",24,0,14,"All","All",Inf,10.2857142857143
"Abdul Samad",2020,"Nicholas Pooran","Dubai International Cricket Stadium",28,0,6,"All","All",Inf,28
"Abdul Samad",2020,"Quinton de Kock","Sharjah Cricket Stadium",25,0,10,"All","All",Inf,15
"Abdul Samad",2020,"Ravindra Jadeja","Dubai International Cricket Stadium",10,0,7,"All","All",Inf,8.57142857142857
"Abdul Samad",2020,"Sam Curran","Dubai International Cricket Stadium",7,0,2,"All","All",Inf,21
"Abdul Samad",2021,"Aiden Markram","Sharjah Cricket Stadium",1,1,2,"All","All",1,3
"Abdul Samad",2021,"Deepak Hooda","Sharjah Cricket Stadium",7,0,3,"All","All",Inf,14
"Abdul Samad",2021,"Harpreet Brar","Sharjah Cricket Stadium",1,0,1,"All","All",Inf,6
"Abdul Samad",2022,"Deepak Hooda","Dr DY Patil Sports Academy",2,0,3,"All","All",Inf,4
"Abdul Samad",2022,"KL Rahul","Dr DY Patil Sports Academy",6,0,3,"All","All",Inf,12
"Abdur Razzak",2008,"Graeme Smith","Sawai Mansingh Stadium",25,0,6,"All","All",Inf,25
"Abdur Razzak",2008,"Shane Watson","Sawai Mansingh Stadium",3,0,5,"All","All",Inf,3.6
"Abdur Razzak",2008,"Swapnil Asnodkar","Sawai Mansingh Stadium",1,0,1,"All","All",Inf,6
"Abhimanyu Mithun",2009,"Ajinkya Rahane","St George's Park",18,0,9,"All","All",Inf,12
"Abhimanyu Mithun",2009,"Jean-Paul Duminy","St George's Park",20,0,12,"All","All",Inf,10
"Abhimanyu Mithun",2009,"Sanath Jayasuriya","St George's Park",4,0,3,"All","All",Inf,8
"Abhimanyu Mithun",2010,"Daniel Vettori","Feroz Shah Kotla",2,0,2,"All","All",Inf,6
"Abhimanyu Mithun",2010,"David Warner","Feroz Shah Kotla",6,0,3,"All","All",Inf,12
"Abhimanyu Mithun",2010,"Gautam Gambhir","Feroz Shah Kotla",1,0,1,"All","All",Inf,6
"Abhimanyu Mithun",2010,"Kedar Jadhav","Feroz Shah Kotla",4,0,3,"All","All",Inf,8
"Abhimanyu Mithun",2010,"Paul Collingwood","Feroz Shah Kotla",20,0,7,"All","All",Inf,17.1428571428571
"Abhimanyu Mithun",2010,"Virender Sehwag","Feroz Shah Kotla",6,1,2,"All","All",6,18
"Abhimanyu Mithun",2011,"Abu Nechim","MA Chidambaram Stadium",12,0,5,"All","All",Inf,14.4
"Abhimanyu Mithun",2011,"Adam Gilchrist","Himachal Pradesh Cricket Association Stadium",20,0,10,"All","All",Inf,12
"Abhimanyu Mithun",2011,"Albie Morkel","M Chinnaswamy Stadium",2,1,2,"All","All",2,6
"Abhimanyu Mithun",2011,"Ambati Rayudu","M Chinnaswamy Stadium",18,0,8,"All","All",Inf,13.5
"Abhimanyu Mithun",2011,"Brad Hodge","M Chinnaswamy Stadium",4,0,4,"All","All",Inf,6
"Abhimanyu Mithun",2011,"Brendon McCullum","Nehru Stadium",11,0,3,"All","All",Inf,22
"Abhimanyu Mithun",2011,"Dinesh Karthik","M Chinnaswamy Stadium",10,0,4,"All","All",Inf,15
"Abhimanyu Mithun",2011,"Harbhajan Singh","MA Chidambaram Stadium",12,0,4,"All","All",Inf,18
"Abhimanyu Mithun",2011,"Irfan Pathan","Feroz Shah Kotla",9,0,4,"All","All",Inf,13.5
"Abhimanyu Mithun",2011,"James Hopes","Feroz Shah Kotla",6,1,6,"All","All",6,6
"Abhimanyu Mithun",2011,"Jesse Ryder","M Chinnaswamy Stadium",14,0,8,"All","All",Inf,10.5
"Abhimanyu Mithun",2011,"MS Dhoni","M Chinnaswamy Stadium",28,0,12,"All","All",Inf,14
"Abhimanyu Mithun",2011,"MS Dhoni","Wankhede Stadium",6,0,3,"All","All",Inf,12
"Abhimanyu Mithun",2011,"Manish Pandey","M Chinnaswamy Stadium",3,0,6,"All","All",Inf,3
"Abhimanyu Mithun",2011,"Manoj Tiwary","M Chinnaswamy Stadium",3,0,6,"All","All",Inf,3
"Abhimanyu Mithun",2011,"Matthew Wade","Feroz Shah Kotla",3,1,3,"All","All",3,6
"Abhimanyu Mithun",2011,"Michael Hussey","MA Chidambaram Stadium",12,0,6,"All","All",Inf,12
"Abhimanyu Mithun",2011,"Michael Klinger","M Chinnaswamy Stadium",2,0,3,"All","All",Inf,4
"Abhimanyu Mithun",2011,"Murali Vijay","MA Chidambaram Stadium",10,0,6,"All","All",Inf,10
"Abhimanyu Mithun",2011,"Parthiv Patel","M Chinnaswamy Stadium",7,0,3,"All","All",Inf,14
"Abhimanyu Mithun",2011,"Prasanth Parameswaran","M Chinnaswamy Stadium",1,0,1,"All","All",Inf,6
"Abhimanyu Mithun",2011,"Praveen Kumar","M Chinnaswamy Stadium",15,0,6,"All","All",Inf,15
"Abhimanyu Mithun",2011,"Rajagopal Sathish","MA Chidambaram Stadium",1,0,1,"All","All",Inf,6
"Abhimanyu Mithun",2011,"Ramesh Powar","M Chinnaswamy Stadium",5,0,4,"All","All",Inf,7.5
"Abhimanyu Mithun",2011,"Ravichandran Ashwin","M Chinnaswamy Stadium",1,0,1,"All","All",Inf,6
"Abhimanyu Mithun",2011,"Ravindra Jadeja","M Chinnaswamy Stadium",2,1,3,"All","All",2,4
"Abhimanyu Mithun",2011,"Robin Uthappa","M Chinnaswamy Stadium",4,0,2,"All","All",Inf,12
"Abhimanyu Mithun",2011,"Ryan Harris","M Chinnaswamy Stadium",1,0,3,"All","All",Inf,2
