"Bowler","Season","Striker","Runs","Wickets","Balls","Stadium","Bowling_Team","Batting_Team","Average","Economy"
"Aaron Finch",2010,"Cheteshwar Pujara",4,0,5,"All","All","All",Inf,4.8
"Aaron Finch",2010,"Sourav Ganguly",1,0,2,"All","All","All",Inf,3
"Aaron Finch",2011,"Rohit Sharma",4,0,4,"All","All","All",Inf,6
"Aaron Finch",2011,"Sachin Tendulkar",9,0,8,"All","All","All",Inf,6.75
"Aaron Finch",2013,"Chris Gayle",28,0,5,"All","All","All",Inf,33.6
"Aaron Finch",2013,"Dinesh Karthik",2,0,2,"All","All","All",Inf,6
"Aaron Finch",2013,"Ravindra Jadeja",2,0,2,"All","All","All",Inf,6
"Aaron Finch",2013,"Ricky Ponting",1,0,1,"All","All","All",Inf,6
"Aaron Finch",2013,"Rohit Sharma",2,0,2,"All","All","All",Inf,6
"Aaron Finch",2013,"S Badrinath",7,0,4,"All","All","All",Inf,10.5
"Aaron Finch",2013,"Sachin Tendulkar",6,1,7,"All","All","All",6,5.14285714285714
"Aaron Finch",2013,"Tillakaratne Dilshan",1,0,1,"All","All","All",Inf,6
"Aavishkar Salvi",2009,"Abhishek Nayar",0,1,1,"All","All","All",0,0
"Aavishkar Salvi",2009,"Ajinkya Rahane",11,0,5,"All","All","All",Inf,13.2
"Aavishkar Salvi",2009,"Albie Morkel",2,0,3,"All","All","All",Inf,4
"Aavishkar Salvi",2009,"Irfan Pathan",6,1,6,"All","All","All",6,6
"Aavishkar Salvi",2009,"Jacques Kallis",13,0,15,"All","All","All",Inf,5.2
"Aavishkar Salvi",2009,"Johan Botha",10,0,8,"All","All","All",Inf,7.5
"Aavishkar Salvi",2009,"Karan Goel",10,0,4,"All","All","All",Inf,15
"Aavishkar Salvi",2009,"Matthew Hayden",33,0,9,"All","All","All",Inf,22
"Aavishkar Salvi",2009,"Mohammad Ashraful",2,0,4,"All","All","All",Inf,3
"Aavishkar Salvi",2009,"Naman Ojha",1,1,6,"All","All","All",1,1
"Aavishkar Salvi",2009,"Parthiv Patel",2,0,2,"All","All","All",Inf,6
"Aavishkar Salvi",2009,"Pinal Shah",4,0,6,"All","All","All",Inf,4
"Aavishkar Salvi",2009,"Rahul Dravid",6,0,4,"All","All","All",Inf,9
"Aavishkar Salvi",2009,"Ravi Bopara",1,0,2,"All","All","All",Inf,3
"Aavishkar Salvi",2009,"Ravindra Jadeja",7,1,6,"All","All","All",7,7
"Aavishkar Salvi",2009,"Ross Taylor",11,0,5,"All","All","All",Inf,13.2
"Aavishkar Salvi",2009,"S Badrinath",3,0,3,"All","All","All",Inf,6
"Aavishkar Salvi",2009,"Sachin Tendulkar",10,0,8,"All","All","All",Inf,7.5
"Aavishkar Salvi",2009,"Suresh Raina",1,0,1,"All","All","All",Inf,6
"Aavishkar Salvi",2009,"Yusuf Pathan",1,0,4,"All","All","All",Inf,1.5
"Aavishkar Salvi",2011,"Dan Christian",8,0,7,"All","All","All",Inf,6.85714285714286
"Aavishkar Salvi",2011,"David Hussey",1,1,2,"All","All","All",1,3
"Aavishkar Salvi",2011,"Dinesh Karthik",15,1,7,"All","All","All",15,12.8571428571429
"Aavishkar Salvi",2011,"Dwaraka Ravi Teja",0,1,3,"All","All","All",0,0
"Aavishkar Salvi",2011,"Ishan Malhotra",6,0,3,"All","All","All",Inf,12
"Aavishkar Salvi",2011,"Jean-Paul Duminy",1,0,2,"All","All","All",Inf,3
"Aavishkar Salvi",2011,"Kumar Sangakkara",5,0,6,"All","All","All",Inf,5
