"Batting_Team","Striker","Season","Stadium","Runs","Dismissed","Balls","Bowling_Team","Average","Strike_Rate"
"Chennai Super Kings","Abhinav Mukund",2008,"MA Chidambaram Stadium",0,1,1,"All",0,0
"Chennai Super Kings","Albie Morkel",2008,"Dr DY Patil Sports Academy",16,1,13,"All",16,123.076923076923
"Chennai Super Kings","Albie Morkel",2008,"Feroz Shah Kotla",30,1,15,"All",30,200
"Chennai Super Kings","Albie Morkel",2008,"MA Chidambaram Stadium",136,3,86,"All",45.3333333333333,158.139534883721
"Chennai Super Kings","Albie Morkel",2008,"Rajiv Gandhi International Stadium",12,0,12,"All",Inf,100
"Chennai Super Kings","Albie Morkel",2008,"Sawai Mansingh Stadium",42,1,33,"All",42,127.272727272727
"Chennai Super Kings","Albie Morkel",2008,"Wankhede Stadium",5,1,4,"All",5,125
"Chennai Super Kings","Albie Morkel",2009,"Buffalo Park",4,0,5,"All",Inf,80
"Chennai Super Kings","Albie Morkel",2009,"Kingsmead",35,2,28,"All",17.5,125
"Chennai Super Kings","Albie Morkel",2009,"New Wanderers Stadium",26,1,21,"All",26,123.809523809524
"Chennai Super Kings","Albie Morkel",2009,"St George's Park",5,1,3,"All",5,166.666666666667
"Chennai Super Kings","Albie Morkel",2009,"SuperSport Park",27,0,13,"All",Inf,207.692307692308
"Chennai Super Kings","Albie Morkel",2010,"Dr DY Patil Sports Academy",19,2,10,"All",9.5,190
"Chennai Super Kings","Albie Morkel",2010,"Feroz Shah Kotla",0,1,3,"All",0,0
"Chennai Super Kings","Albie Morkel",2010,"Himachal Pradesh Cricket Association Stadium",14,0,8,"All",Inf,175
"Chennai Super Kings","Albie Morkel",2010,"M Chinnaswamy Stadium",19,1,19,"All",19,100
"Chennai Super Kings","Albie Morkel",2010,"MA Chidambaram Stadium",118,3,79,"All",39.3333333333333,149.367088607595
"Chennai Super Kings","Albie Morkel",2010,"Sardar Patel Stadium",28,1,12,"All",28,233.333333333333
"Chennai Super Kings","Albie Morkel",2011,"Eden Gardens",30,0,30,"All",Inf,100
"Chennai Super Kings","Albie Morkel",2011,"M Chinnaswamy Stadium",5,1,9,"All",5,55.5555555555556
"Chennai Super Kings","Albie Morkel",2011,"MA Chidambaram Stadium",58,4,41,"All",14.5,141.463414634146
"Chennai Super Kings","Albie Morkel",2011,"Nehru Stadium",9,0,4,"All",Inf,225
"Chennai Super Kings","Albie Morkel",2011,"Sawai Mansingh Stadium",5,0,4,"All",Inf,125
"Chennai Super Kings","Albie Morkel",2011,"Wankhede Stadium",31,1,14,"All",31,221.428571428571
"Chennai Super Kings","Albie Morkel",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2,0,3,"All",Inf,66.6666666666667
"Chennai Super Kings","Albie Morkel",2012,"Feroz Shah Kotla",2,0,3,"All",Inf,66.6666666666667
"Chennai Super Kings","Albie Morkel",2012,"Himachal Pradesh Cricket Association Stadium",14,1,8,"All",14,175
"Chennai Super Kings","Albie Morkel",2012,"MA Chidambaram Stadium",65,5,42,"All",13,154.761904761905
"Chennai Super Kings","Albie Morkel",2012,"Sawai Mansingh Stadium",18,0,6,"All",Inf,300
"Chennai Super Kings","Albie Morkel",2012,"Subrata Roy Sahara Stadium",3,0,3,"All",Inf,100
"Chennai Super Kings","Albie Morkel",2012,"Wankhede Stadium",3,1,3,"All",3,100
"Chennai Super Kings","Albie Morkel",2013,"Eden Gardens",10,1,10,"All",10,100
"Chennai Super Kings","Albie Morkel",2013,"MA Chidambaram Stadium",36,2,27,"All",18,133.333333333333
"Chennai Super Kings","Ambati Rayudu",2018,"Eden Gardens",21,1,17,"All",21,123.529411764706
"Chennai Super Kings","Ambati Rayudu",2018,"Feroz Shah Kotla",50,1,29,"All",50,172.413793103448
"Chennai Super Kings","Ambati Rayudu",2018,"M Chinnaswamy Stadium",82,1,53,"All",82,154.716981132075
"Chennai Super Kings","Ambati Rayudu",2018,"MA Chidambaram Stadium",39,1,26,"All",39,150
"Chennai Super Kings","Ambati Rayudu",2018,"Maharashtra Cricket Association Stadium",232,5,157,"All",46.4,147.770700636943
"Chennai Super Kings","Ambati Rayudu",2018,"Punjab Cricket Association IS Bindra Stadium",49,1,35,"All",49,140
