"Striker","Season","Bowler","Batting_Team","Runs","Dismissed","Balls","Run_Out","Stadium","Bowling_Team","Average","Strike_Rate"
"AB de Villiers",2008,"Albie Morkel","Delhi Capitals",3,1,3,0,"All","All",3,100
"AB de Villiers",2008,"Anil Kumble","Delhi Capitals",9,0,11,0,"All","All",Inf,81.8181818181818
"AB de Villiers",2008,"Ashish Nehra","Delhi Capitals",11,0,3,0,"All","All",Inf,366.666666666667
"AB de Villiers",2008,"Ashok Dinda","Delhi Capitals",1,0,1,0,"All","All",Inf,100
"AB de Villiers",2008,"Balachandra Akhil","Delhi Capitals",9,0,9,0,"All","All",Inf,100
"AB de Villiers",2008,"Dale Steyn","Delhi Capitals",0,1,2,0,"All","All",0,0
"AB de Villiers",2008,"Dimitri Mascarenhas","Delhi Capitals",2,1,4,0,"All","All",2,50
"AB de Villiers",2008,"Dwayne Bravo","Delhi Capitals",7,0,5,0,"All","All",Inf,140
"AB de Villiers",2008,"Ishant Sharma","Delhi Capitals",2,0,2,0,"All","All",Inf,100
"AB de Villiers",2008,"Jacques Kallis","Delhi Capitals",3,0,3,0,"All","All",Inf,100
"AB de Villiers",2008,"Joginder Sharma","Delhi Capitals",4,0,5,0,"All","All",Inf,80
"AB de Villiers",2008,"Makhaya Ntini","Delhi Capitals",3,0,3,0,"All","All",Inf,100
"AB de Villiers",2008,"Manpreet Gony","Delhi Capitals",8,0,6,0,"All","All",Inf,133.333333333333
"AB de Villiers",2008,"Muthiah Muralidaran","Delhi Capitals",8,0,5,0,"All","All",Inf,160
"AB de Villiers",2008,"Shane Warne","Delhi Capitals",10,0,10,0,"All","All",Inf,100
"AB de Villiers",2008,"Shaun Pollock","Delhi Capitals",3,0,9,0,"All","All",Inf,33.3333333333333
"AB de Villiers",2008,"Shoaib Akhtar","Delhi Capitals",4,1,9,0,"All","All",4,44.4444444444444
"AB de Villiers",2008,"Siddharth Trivedi","Delhi Capitals",8,0,8,0,"All","All",Inf,100
"AB de Villiers",2009,"Abhishek Raut","Delhi Capitals",10,0,5,0,"All","All",Inf,200
"AB de Villiers",2009,"Ajit Agarkar","Delhi Capitals",6,0,5,0,"All","All",Inf,120
"AB de Villiers",2009,"Albie Morkel","Delhi Capitals",21,0,10,0,"All","All",Inf,210
"AB de Villiers",2009,"Amit Singh","Delhi Capitals",11,0,7,0,"All","All",Inf,157.142857142857
"AB de Villiers",2009,"Andrew Flintoff","Delhi Capitals",34,0,12,0,"All","All",Inf,283.333333333333
"AB de Villiers",2009,"Andrew Symonds","Delhi Capitals",8,0,7,0,"All","All",Inf,114.285714285714
"AB de Villiers",2009,"Anil Kumble","Delhi Capitals",14,0,18,0,"All","All",Inf,77.7777777777778
"AB de Villiers",2009,"Balachandra Akhil","Delhi Capitals",7,0,5,0,"All","All",Inf,140
"AB de Villiers",2009,"Chaminda Vaas","Delhi Capitals",3,0,4,0,"All","All",Inf,75
"AB de Villiers",2009,"Dimitri Mascarenhas","Delhi Capitals",3,0,4,0,"All","All",Inf,75
"AB de Villiers",2009,"Dwayne Smith","Delhi Capitals",14,1,11,0,"All","All",14,127.272727272727
"AB de Villiers",2009,"Harbhajan Singh","Delhi Capitals",18,1,15,0,"All","All",18,120
"AB de Villiers",2009,"Harmeet Singh","Delhi Capitals",4,0,7,0,"All","All",Inf,57.1428571428571
"AB de Villiers",2009,"Irfan Pathan","Delhi Capitals",2,0,3,0,"All","All",Inf,66.6666666666667
"AB de Villiers",2009,"Ishant Sharma","Delhi Capitals",3,0,3,0,"All","All",Inf,100
"AB de Villiers",2009,"Jacques Kallis","Delhi Capitals",11,0,13,0,"All","All",Inf,84.6153846153846
"AB de Villiers",2009,"Jean-Paul Duminy","Delhi Capitals",7,0,12,0,"All","All",Inf,58.3333333333333
"AB de Villiers",2009,"Joginder Sharma","Delhi Capitals",2,0,2,0,"All","All",Inf,100
"AB de Villiers",2009,"Johan Botha","Delhi Capitals",10,0,8,0,"All","All",Inf,125
"AB de Villiers",2009,"KP Appanna","Delhi Capitals",9,1,8,0,"All","All",9,112.5
"AB de Villiers",2009,"Kamran Khan","Delhi Capitals",4,0,5,0,"All","All",Inf,80
"AB de Villiers",2009,"Lakshmipathy Balaji","Delhi Capitals",10,0,8,0,"All","All",Inf,125
"AB de Villiers",2009,"Lasith Malinga","Delhi Capitals",3,0,4,0,"All","All",Inf,75
"AB de Villiers",2009,"Manpreet Gony","Delhi Capitals",26,0,12,0,"All","All",Inf,216.666666666667
"AB de Villiers",2009,"Moises Henriques","Delhi Capitals",15,0,9,0,"All","All",Inf,166.666666666667
"AB de Villiers",2009,"Munaf Patel","Delhi Capitals",29,0,17,0,"All","All",Inf,170.588235294118
"AB de Villiers",2009,"Murali Kartik","Delhi Capitals",12,0,14,0,"All","All",Inf,85.7142857142857
"AB de Villiers",2009,"Muthiah Muralidaran","Delhi Capitals",12,0,10,0,"All","All",Inf,120
"AB de Villiers",2009,"Pankaj Singh","Delhi Capitals",1,0,2,0,"All","All",Inf,50
"AB de Villiers",2009,"Piyush Chawla","Delhi Capitals",0,0,1,0,"All","All",NA,0
"AB de Villiers",2009,"Pragyan Ojha","Delhi Capitals",18,0,14,0,"All","All",Inf,128.571428571429
"AB de Villiers",2009,"Praveen Kumar","Delhi Capitals",0,0,1,0,"All","All",NA,0
"AB de Villiers",2009,"RP Singh","Delhi Capitals",10,1,9,0,"All","All",10,111.111111111111
"AB de Villiers",2009,"Ramesh Powar","Delhi Capitals",5,0,3,0,"All","All",Inf,166.666666666667
"AB de Villiers",2009,"Ravindra Jadeja","Delhi Capitals",19,0,16,0,"All","All",Inf,118.75
"AB de Villiers",2009,"Roelof van der Merwe","Delhi Capitals",7,1,5,0,"All","All",7,140
"AB de Villiers",2009,"Rohan Raje","Delhi Capitals",9,0,7,0,"All","All",Inf,128.571428571429
"AB de Villiers",2009,"Rohit Sharma","Delhi Capitals",14,0,8,0,"All","All",Inf,175
"AB de Villiers",2009,"Sachin Tendulkar","Delhi Capitals",19,0,6,0,"All","All",Inf,316.666666666667
"AB de Villiers",2009,"Shane Warne","Delhi Capitals",27,1,22,0,"All","All",27,122.727272727273
"AB de Villiers",2009,"Shoaib Ahmed","Delhi Capitals",4,1,6,0,"All","All",4,66.6666666666667
"AB de Villiers",2009,"Siddharth Trivedi","Delhi Capitals",4,0,4,0,"All","All",Inf,100
"AB de Villiers",2009,"Sourav Sarkar","Delhi Capitals",4,0,1,0,"All","All",Inf,400
"AB de Villiers",2009,"Sreesanth","Delhi Capitals",4,1,4,0,"All","All",4,100
"AB de Villiers",2009,"Sudeep Tyagi","Delhi Capitals",0,1,1,0,"All","All",0,0
"AB de Villiers",2009,"Yusuf Pathan","Delhi Capitals",12,0,7,0,"All","All",Inf,171.428571428571
"AB de Villiers",2010,"Ali Murtaza","Delhi Capitals",2,1,3,0,"All","All",2,66.6666666666667
"AB de Villiers",2010,"Amit Uniyal","Delhi Capitals",1,0,1,0,"All","All",Inf,100
"AB de Villiers",2010,"Andrew Symonds","Delhi Capitals",7,0,5,0,"All","All",Inf,140
"AB de Villiers",2010,"Anil Kumble","Delhi Capitals",16,0,12,0,"All","All",Inf,133.333333333333
"AB de Villiers",2010,"Chaminda Vaas","Delhi Capitals",5,0,5,0,"All","All",Inf,100
"AB de Villiers",2010,"Dale Steyn","Delhi Capitals",4,0,3,0,"All","All",Inf,133.333333333333
"AB de Villiers",2010,"Dimitri Mascarenhas","Delhi Capitals",3,0,5,0,"All","All",Inf,60
"AB de Villiers",2010,"Dwayne Bravo","Delhi Capitals",5,1,7,0,"All","All",5,71.4285714285714
"AB de Villiers",2010,"Irfan Pathan","Delhi Capitals",1,0,6,0,"All","All",Inf,16.6666666666667
"AB de Villiers",2010,"Jacques Kallis","Delhi Capitals",14,0,11,0,"All","All",Inf,127.272727272727
"AB de Villiers",2010,"Kieron Pollard","Delhi Capitals",3,0,6,0,"All","All",Inf,50
"AB de Villiers",2010,"Lasith Malinga","Delhi Capitals",5,0,2,0,"All","All",Inf,250
"AB de Villiers",2010,"Munaf Patel","Delhi Capitals",4,0,7,0,"All","All",Inf,57.1428571428571
"AB de Villiers",2010,"Muthiah Muralidaran","Delhi Capitals",1,0,1,0,"All","All",Inf,100
"AB de Villiers",2010,"Pragyan Ojha","Delhi Capitals",6,0,6,0,"All","All",Inf,100
"AB de Villiers",2010,"RP Singh","Delhi Capitals",1,0,2,0,"All","All",Inf,50
"AB de Villiers",2010,"Rahul Sharma","Delhi Capitals",2,1,3,0,"All","All",2,66.6666666666667
"AB de Villiers",2010,"Ravichandran Ashwin","Delhi Capitals",1,1,2,0,"All","All",1,50
"AB de Villiers",2010,"Rohit Sharma","Delhi Capitals",6,0,5,0,"All","All",Inf,120
"AB de Villiers",2010,"Shane Warne","Delhi Capitals",6,1,6,0,"All","All",6,100
"AB de Villiers",2010,"Shaun Tait","Delhi Capitals",1,0,5,0,"All","All",Inf,20
"AB de Villiers",2010,"Sreesanth","Delhi Capitals",4,0,5,0,"All","All",Inf,80
"AB de Villiers",2010,"Vinay Kumar","Delhi Capitals",11,0,9,0,"All","All",Inf,122.222222222222
"AB de Villiers",2010,"Yusuf Abdulla","Delhi Capitals",2,0,2,0,"All","All",Inf,100
"AB de Villiers",2011,"Abu Nechim","Royal Challengers Bangalore",10,0,7,0,"All","All",Inf,142.857142857143
"AB de Villiers",2011,"Albie Morkel","Royal Challengers Bangalore",12,1,14,0,"All","All",12,85.7142857142857
"AB de Villiers",2011,"Alfonso Thomas","Royal Challengers Bangalore",5,1,3,0,"All","All",5,166.666666666667
"AB de Villiers",2011,"Ali Murtaza","Royal Challengers Bangalore",16,0,15,0,"All","All",Inf,106.666666666667
"AB de Villiers",2011,"Doug Bollinger","Royal Challengers Bangalore",9,0,4,0,"All","All",Inf,225
"AB de Villiers",2011,"Harbhajan Singh","Royal Challengers Bangalore",5,0,8,0,"All","All",Inf,62.5
"AB de Villiers",2011,"Iqbal Abdulla","Royal Challengers Bangalore",7,0,6,0,"All","All",Inf,116.666666666667
"AB de Villiers",2011,"Ishant Sharma","Royal Challengers Bangalore",0,0,5,0,"All","All",NA,0
"AB de Villiers",2011,"Jacques Kallis","Royal Challengers Bangalore",1,0,2,0,"All","All",Inf,50
"AB de Villiers",2011,"James Franklin","Royal Challengers Bangalore",7,0,4,0,"All","All",Inf,175
"AB de Villiers",2011,"Jaydev Unadkat","Royal Challengers Bangalore",0,0,1,0,"All","All",NA,0
"AB de Villiers",2011,"Jesse Ryder","Royal Challengers Bangalore",9,0,4,0,"All","All",Inf,225
"AB de Villiers",2011,"Kamran Khan","Royal Challengers Bangalore",2,0,3,0,"All","All",Inf,66.6666666666667
"AB de Villiers",2011,"Kieron Pollard","Royal Challengers Bangalore",8,1,7,0,"All","All",8,114.285714285714
"AB de Villiers",2011,"Lakshmipathy Balaji","Royal Challengers Bangalore",5,0,4,0,"All","All",Inf,125
"AB de Villiers",2011,"Lasith Malinga","Royal Challengers Bangalore",9,0,6,0,"All","All",Inf,150
"AB de Villiers",2011,"Love Ablish","Royal Challengers Bangalore",2,0,3,0,"All","All",Inf,66.6666666666667
"AB de Villiers",2011,"Manpreet Gony","Royal Challengers Bangalore",0,1,2,0,"All","All",0,0
"AB de Villiers",2011,"Munaf Patel","Royal Challengers Bangalore",4,0,4,0,"All","All",Inf,100
"AB de Villiers",2011,"Muthiah Muralidaran","Royal Challengers Bangalore",12,0,12,0,"All","All",Inf,100
"AB de Villiers",2011,"Paul Valthaty","Royal Challengers Bangalore",14,0,10,0,"All","All",Inf,140
"AB de Villiers",2011,"Piyush Chawla","Royal Challengers Bangalore",16,1,13,0,"All","All",16,123.076923076923
"AB de Villiers",2011,"Praveen Kumar","Royal Challengers Bangalore",5,0,2,0,"All","All",Inf,250
"AB de Villiers",2011,"RP Singh","Royal Challengers Bangalore",1,0,1,0,"All","All",Inf,100
"AB de Villiers",2011,"Rahul Sharma","Royal Challengers Bangalore",4,0,4,0,"All","All",Inf,100
"AB de Villiers",2011,"Raiphi Gomez","Royal Challengers Bangalore",19,0,4,0,"All","All",Inf,475
"AB de Villiers",2011,"Ravichandran Ashwin","Royal Challengers Bangalore",14,1,15,0,"All","All",14,93.3333333333333
"AB de Villiers",2011,"Ravindra Jadeja","Royal Challengers Bangalore",10,0,11,0,"All","All",Inf,90.9090909090909
"AB de Villiers",2011,"Ryan Harris","Royal Challengers Bangalore",10,0,5,0,"All","All",Inf,200
"AB de Villiers",2011,"Ryan McLaren","Royal Challengers Bangalore",7,0,3,0,"All","All",Inf,233.333333333333
"AB de Villiers",2011,"Shadab Jakati","Royal Challengers Bangalore",30,2,18,0,"All","All",15,166.666666666667
"AB de Villiers",2011,"Shalabh Srivastava","Royal Challengers Bangalore",7,0,5,0,"All","All",Inf,140
"AB de Villiers",2011,"Sreesanth","Royal Challengers Bangalore",10,0,5,0,"All","All",Inf,200
"AB de Villiers",2011,"Suraj Randiv","Royal Challengers Bangalore",13,0,12,0,"All","All",Inf,108.333333333333
"AB de Villiers",2011,"Suresh Raina","Royal Challengers Bangalore",1,0,1,0,"All","All",Inf,100
"AB de Villiers",2011,"Tim Southee","Royal Challengers Bangalore",15,0,5,0,"All","All",Inf,300
"AB de Villiers",2011,"Umesh Yadav","Royal Challengers Bangalore",5,1,2,1,"All","All",5,250
"AB de Villiers",2011,"Vinay Kumar","Royal Challengers Bangalore",2,0,7,0,"All","All",Inf,28.5714285714286
"AB de Villiers",2011,"Yuvraj Singh","Royal Challengers Bangalore",6,0,6,0,"All","All",Inf,100
"AB de Villiers",2012,"Ajit Chandila","Royal Challengers Bangalore",13,0,5,0,"All","All",Inf,260
"AB de Villiers",2012,"Albie Morkel","Royal Challengers Bangalore",0,1,1,0,"All","All",0,0
"AB de Villiers",2012,"Alfonso Thomas","Royal Challengers Bangalore",9,0,3,0,"All","All",Inf,300
