"Bowler","Season","Striker","Batting_Team","Runs","Wickets","Balls","Stadium","Bowling_Team","Average","Economy"
"Aaron Finch",2010,"Cheteshwar Pujara","Kolkata Knight Riders",4,0,5,"All","All",Inf,4.8
"Aaron Finch",2010,"Sourav Ganguly","Kolkata Knight Riders",1,0,2,"All","All",Inf,3
"Aaron Finch",2011,"Rohit Sharma","Mumbai Indians",4,0,4,"All","All",Inf,6
"Aaron Finch",2011,"Sachin Tendulkar","Mumbai Indians",9,0,8,"All","All",Inf,6.75
"Aaron Finch",2013,"Chris Gayle","Royal Challengers Bangalore",28,0,5,"All","All",Inf,33.6
"Aaron Finch",2013,"Dinesh Karthik","Mumbai Indians",2,0,2,"All","All",Inf,6
"Aaron Finch",2013,"Ravindra Jadeja","Chennai Super Kings",2,0,2,"All","All",Inf,6
"Aaron Finch",2013,"Ricky Ponting","Mumbai Indians",1,0,1,"All","All",Inf,6
"Aaron Finch",2013,"Rohit Sharma","Mumbai Indians",2,0,2,"All","All",Inf,6
"Aaron Finch",2013,"S Badrinath","Chennai Super Kings",7,0,4,"All","All",Inf,10.5
"Aaron Finch",2013,"Sachin Tendulkar","Mumbai Indians",6,1,7,"All","All",6,5.14285714285714
"Aaron Finch",2013,"Tillakaratne Dilshan","Royal Challengers Bangalore",1,0,1,"All","All",Inf,6
"Aavishkar Salvi",2009,"Abhishek Nayar","Mumbai Indians",0,1,1,"All","All",0,0
"Aavishkar Salvi",2009,"Ajinkya Rahane","Mumbai Indians",11,0,5,"All","All",Inf,13.2
"Aavishkar Salvi",2009,"Albie Morkel","Chennai Super Kings",2,0,3,"All","All",Inf,4
"Aavishkar Salvi",2009,"Irfan Pathan","Punjab Kings",6,1,6,"All","All",6,6
"Aavishkar Salvi",2009,"Jacques Kallis","Royal Challengers Bangalore",13,0,15,"All","All",Inf,5.2
"Aavishkar Salvi",2009,"Johan Botha","Rajasthan Royals",10,0,8,"All","All",Inf,7.5
"Aavishkar Salvi",2009,"Karan Goel","Punjab Kings",10,0,4,"All","All",Inf,15
"Aavishkar Salvi",2009,"Matthew Hayden","Chennai Super Kings",33,0,9,"All","All",Inf,22
"Aavishkar Salvi",2009,"Mohammad Ashraful","Mumbai Indians",2,0,4,"All","All",Inf,3
"Aavishkar Salvi",2009,"Naman Ojha","Rajasthan Royals",1,1,6,"All","All",1,1
"Aavishkar Salvi",2009,"Parthiv Patel","Chennai Super Kings",2,0,2,"All","All",Inf,6
"Aavishkar Salvi",2009,"Pinal Shah","Mumbai Indians",4,0,6,"All","All",Inf,4
