"Batting_Team","Striker","Season","Runs","Dismissed","Balls","Bowling_Team","Stadium","Average","Strike_Rate"
"Chennai Super Kings","Abhinav Mukund",2008,0,1,1,"All","All",0,0
"Chennai Super Kings","Albie Morkel",2008,241,7,163,"All","All",34.4285714285714,147.852760736196
"Chennai Super Kings","Albie Morkel",2009,97,4,70,"All","All",24.25,138.571428571429
"Chennai Super Kings","Albie Morkel",2010,198,8,131,"All","All",24.75,151.145038167939
"Chennai Super Kings","Albie Morkel",2011,138,6,102,"All","All",23,135.294117647059
"Chennai Super Kings","Albie Morkel",2012,107,7,68,"All","All",15.2857142857143,157.352941176471
"Chennai Super Kings","Albie Morkel",2013,46,3,37,"All","All",15.3333333333333,124.324324324324
"Chennai Super Kings","Ambati Rayudu",2018,602,14,402,"All","All",43,149.751243781095
"Chennai Super Kings","Ambati Rayudu",2019,282,12,303,"All","All",23.5,93.0693069306931
"Chennai Super Kings","Ambati Rayudu",2020,359,9,282,"All","All",39.8888888888889,127.304964539007
"Chennai Super Kings","Ambati Rayudu",2021,257,9,170,"All","All",28.5555555555556,151.176470588235
"Chennai Super Kings","Ambati Rayudu",2022,274,11,224,"All","All",24.9090909090909,122.321428571429
"Chennai Super Kings","Andrew Flintoff",2009,62,2,53,"All","All",31,116.981132075472
"Chennai Super Kings","Ankit Rajpoot",2013,2,0,6,"All","All",Inf,33.3333333333333
"Chennai Super Kings","Arun Karthik",2010,3,0,5,"All","All",Inf,60
"Chennai Super Kings","Ashish Nehra",2015,1,1,7,"All","All",1,14.2857142857143
"Chennai Super Kings","Ben Laughlin",2013,4,1,9,"All","All",4,44.4444444444444
"Chennai Super Kings","Brendon McCullum",2014,405,13,333,"All","All",31.1538461538462,121.621621621622
"Chennai Super Kings","Brendon McCullum",2015,436,13,280,"All","All",33.5384615384615,155.714285714286
"Chennai Super Kings","Chamara Kapugedera",2008,16,3,23,"All","All",5.33333333333333,69.5652173913043
"Chennai Super Kings","Chris Jordan",2022,11,1,8,"All","All",11,137.5
"Chennai Super Kings","Chris Morris",2013,14,2,16,"All","All",7,87.5
"Chennai Super Kings","David Hussey",2014,116,2,94,"All","All",58,123.404255319149
"Chennai Super Kings","Deepak Chahar",2018,50,3,29,"All","All",16.6666666666667,172.413793103448
"Chennai Super Kings","Deepak Chahar",2019,7,2,9,"All","All",3.5,77.7777777777778
"Chennai Super Kings","Deepak Chahar",2020,7,1,12,"All","All",7,58.3333333333333
"Chennai Super Kings","Deepak Chahar",2021,1,0,1,"All","All",Inf,100
"Chennai Super Kings","Devon Conway",2022,252,6,173,"All","All",42,145.664739884393
"Chennai Super Kings","Dhruv Shorey",2018,8,1,9,"All","All",8,88.8888888888889
"Chennai Super Kings","Dhruv Shorey",2019,5,1,8,"All","All",5,62.5
"Chennai Super Kings","Doug Bollinger",2010,18,0,16,"All","All",Inf,112.5
"Chennai Super Kings","Doug Bollinger",2011,0,0,1,"All","All",NA,0
"Chennai Super Kings","Doug Bollinger",2012,3,1,5,"All","All",3,60
"Chennai Super Kings","Dwaine Pretorius",2022,44,4,28,"All","All",11,157.142857142857
"Chennai Super Kings","Dwayne Bravo",2011,11,1,6,"All","All",11,183.333333333333
"Chennai Super Kings","Dwayne Bravo",2012,371,8,264,"All","All",46.375,140.530303030303
"Chennai Super Kings","Dwayne Bravo",2013,121,8,106,"All","All",15.125,114.150943396226
"Chennai Super Kings","Dwayne Bravo",2014,8,0,3,"All","All",Inf,266.666666666667
"Chennai Super Kings","Dwayne Bravo",2015,195,9,148,"All","All",21.6666666666667,131.756756756757
"Chennai Super Kings","Dwayne Bravo",2018,141,4,91,"All","All",35.25,154.945054945055
"Chennai Super Kings","Dwayne Bravo",2019,80,5,66,"All","All",16,121.212121212121
"Chennai Super Kings","Dwayne Bravo",2020,7,2,6,"All","All",3.5,116.666666666667
"Chennai Super Kings","Dwayne Bravo",2021,47,1,18,"All","All",47,261.111111111111
"Chennai Super Kings","Dwayne Bravo",2022,23,2,24,"All","All",11.5,95.8333333333333
"Chennai Super Kings","Dwayne Smith",2014,566,16,416,"All","All",35.375,136.057692307692
