"Bowling_Team","Bowler","Stadium","Runs","Wickets","Balls","Season","Batting_Team","Average","Economy"
"Chennai Super Kings","Adam Milne","Wankhede Stadium",19,0,15,"All","All",Inf,7.6
"Chennai Super Kings","Albie Morkel","Brabourne Stadium",26,0,24,"All","All",Inf,6.5
"Chennai Super Kings","Albie Morkel","Buffalo Park",24,2,18,"All","All",12,8
"Chennai Super Kings","Albie Morkel","De Beers Diamond Oval",24,1,18,"All","All",24,8
"Chennai Super Kings","Albie Morkel","Dr DY Patil Sports Academy",60,4,60,"All","All",15,6
"Chennai Super Kings","Albie Morkel","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",20,0,12,"All","All",Inf,10
"Chennai Super Kings","Albie Morkel","Eden Gardens",93,3,90,"All","All",31,6.2
"Chennai Super Kings","Albie Morkel","Feroz Shah Kotla",124,4,90,"All","All",31,8.26666666666667
"Chennai Super Kings","Albie Morkel","Himachal Pradesh Cricket Association Stadium",76,2,45,"All","All",38,10.1333333333333
"Chennai Super Kings","Albie Morkel","Kingsmead",79,3,66,"All","All",26.3333333333333,7.18181818181818
"Chennai Super Kings","Albie Morkel","M Chinnaswamy Stadium",113,5,84,"All","All",22.6,8.07142857142857
"Chennai Super Kings","Albie Morkel","MA Chidambaram Stadium",823,36,622,"All","All",22.8611111111111,7.93890675241158
"Chennai Super Kings","Albie Morkel","Nehru Stadium",17,0,12,"All","All",Inf,8.5
"Chennai Super Kings","Albie Morkel","New Wanderers Stadium",58,2,42,"All","All",29,8.28571428571428
"Chennai Super Kings","Albie Morkel","Punjab Cricket Association Stadium",38,1,18,"All","All",38,12.6666666666667
"Chennai Super Kings","Albie Morkel","Rajiv Gandhi International Stadium",37,2,24,"All","All",18.5,9.25
"Chennai Super Kings","Albie Morkel","Sardar Patel Stadium",46,2,24,"All","All",23,11.5
"Chennai Super Kings","Albie Morkel","Sawai Mansingh Stadium",50,1,42,"All","All",50,7.14285714285714
"Chennai Super Kings","Albie Morkel","St George's Park",43,2,36,"All","All",21.5,7.16666666666667
"Chennai Super Kings","Albie Morkel","Subrata Roy Sahara Stadium",42,0,30,"All","All",Inf,8.4
"Chennai Super Kings","Albie Morkel","SuperSport Park",96,3,60,"All","All",32,9.6
"Chennai Super Kings","Albie Morkel","Wankhede Stadium",164,3,108,"All","All",54.6666666666667,9.11111111111111
"Chennai Super Kings","Andrew Flintoff","Kingsmead",50,0,24,"All","All",Inf,12.5
"Chennai Super Kings","Andrew Flintoff","Newlands",44,1,24,"All","All",44,11
"Chennai Super Kings","Andrew Flintoff","St George's Park",11,1,18,"All","All",11,3.66666666666667
"Chennai Super Kings","Ankit Rajpoot","MA Chidambaram Stadium",25,1,18,"All","All",25,8.33333333333333
"Chennai Super Kings","Ankit Rajpoot","Punjab Cricket Association Stadium",10,0,6,"All","All",Inf,10
"Chennai Super Kings","Ashish Nehra","Brabourne Stadium",34,2,24,"All","All",17,8.5
"Chennai Super Kings","Ashish Nehra","Eden Gardens",77,0,48,"All","All",Inf,9.625
