"Bowling_Team","Bowler","Runs","Wickets","Balls","Batting_Team","Stadium","Season","Average","Economy"
"Chennai Super Kings","Adam Milne",19,0,15,"All","All","All",Inf,7.6
"Chennai Super Kings","Albie Morkel",2053,76,1525,"All","All","All",27.0131578947368,8.07737704918033
"Chennai Super Kings","Andrew Flintoff",105,2,66,"All","All","All",52.5,9.54545454545454
"Chennai Super Kings","Ankit Rajpoot",35,1,24,"All","All","All",35,8.75
"Chennai Super Kings","Ashish Nehra",591,30,462,"All","All","All",19.7,7.67532467532468
"Chennai Super Kings","Ben Hilfenhaus",479,22,372,"All","All","All",21.7727272727273,7.7258064516129
"Chennai Super Kings","Ben Laughlin",71,1,42,"All","All","All",71,10.1428571428571
"Chennai Super Kings","Chamara Kapugedera",49,0,17,"All","All","All",Inf,17.2941176470588
"Chennai Super Kings","Chandrasekar Ganapathy",13,0,6,"All","All","All",Inf,13
"Chennai Super Kings","Chris Jordan",135,2,77,"All","All","All",67.5,10.5194805194805
"Chennai Super Kings","Chris Morris",401,15,300,"All","All","All",26.7333333333333,8.02
"Chennai Super Kings","David Hussey",38,2,17,"All","All","All",19,13.4117647058824
"Chennai Super Kings","David Willey",95,2,60,"All","All","All",47.5,9.5
"Chennai Super Kings","Deepak Chahar",1607,58,1252,"All","All","All",27.7068965517241,7.70127795527157
"Chennai Super Kings","Dirk Nannes",158,4,119,"All","All","All",39.5,7.96638655462185
"Chennai Super Kings","Doug Bollinger",693,37,576,"All","All","All",18.7297297297297,7.21875
"Chennai Super Kings","Dwaine Pretorius",210,6,126,"All","All","All",35,10
"Chennai Super Kings","Dwayne Bravo",3147,140,2257,"All","All","All",22.4785714285714,8.36597252990696
"Chennai Super Kings","Dwayne Smith",112,5,72,"All","All","All",22.4,9.33333333333333
"Chennai Super Kings","Faf du Plessis",16,0,6,"All","All","All",Inf,16
"Chennai Super Kings","Harbhajan Singh",582,23,455,"All","All","All",25.304347826087,7.67472527472527
"Chennai Super Kings","Imran Tahir",711,35,600,"All","All","All",20.3142857142857,7.11
"Chennai Super Kings","Ishwar Pandey",541,17,438,"All","All","All",31.8235294117647,7.41095890410959
"Chennai Super Kings","Jacob Oram",282,8,189,"All","All","All",35.25,8.95238095238095
"Chennai Super Kings","Jason Holder",168,2,120,"All","All","All",84,8.4
"Chennai Super Kings","Joginder Sharma",419,12,256,"All","All","All",34.9166666666667,9.8203125
"Chennai Super Kings","John Hastings",29,1,18,"All","All","All",29,9.66666666666667
"Chennai Super Kings","Josh Hazlewood",357,12,270,"All","All","All",29.75,7.93333333333333
"Chennai Super Kings","Justin Kemp",54,3,44,"All","All","All",18,7.36363636363636
"Chennai Super Kings","KM Asif",93,4,49,"All","All","All",23.25,11.3877551020408
"Chennai Super Kings","Karn Sharma",287,10,188,"All","All","All",28.7,9.15957446808511
"Chennai Super Kings","Lakshmipathy Balaji",809,31,562,"All","All","All",26.0967741935484,8.63701067615659
"Chennai Super Kings","Lungi Ngidi",448,25,324,"All","All","All",17.92,8.2962962962963
"Chennai Super Kings","Maheesh Theekshana",261,12,210,"All","All","All",21.75,7.45714285714286
"Chennai Super Kings","Makhaya Ntini",242,7,210,"All","All","All",34.5714285714286,6.91428571428571
"Chennai Super Kings","Manpreet Gony",707,23,510,"All","All","All",30.7391304347826,8.31764705882353
"Chennai Super Kings","Mark Wood",49,0,24,"All","All","All",Inf,12.25
"Chennai Super Kings","Matheesha Pathirana",52,2,41,"All","All","All",26,7.60975609756098
"Chennai Super Kings","Mitchell Santner",277,10,240,"All","All","All",27.7,6.925
"Chennai Super Kings","Moeen Ali",319,14,295,"All","All","All",22.7857142857143,6.48813559322034
"Chennai Super Kings","Mohit Sharma",1286,58,987,"All","All","All",22.1724137931034,7.81762917933131
"Chennai Super Kings","Monu Kumar",20,0,12,"All","All","All",Inf,10
"Chennai Super Kings","Mukesh Choudhary",424,16,273,"All","All","All",26.5,9.31868131868132
"Chennai Super Kings","Muthiah Muralidaran",994,40,936,"All","All","All",24.85,6.37179487179487
"Chennai Super Kings","Nuwan Kulasekara",120,5,102,"All","All","All",24,7.05882352941176
"Chennai Super Kings","Palani Amarnath",236,7,132,"All","All","All",33.7142857142857,10.7272727272727
"Chennai Super Kings","Pawan Negi",327,6,222,"All","All","All",54.5,8.83783783783784
"Chennai Super Kings","Piyush Chawla",191,6,126,"All","All","All",31.8333333333333,9.09523809523809
"Chennai Super Kings","Prashant Solanki",38,2,36,"All","All","All",19,6.33333333333333
"Chennai Super Kings","Ravichandran Ashwin",2180,90,2026,"All","All","All",24.2222222222222,6.45607107601185
"Chennai Super Kings","Ravindra Jadeja",2927,105,2331,"All","All","All",27.8761904761905,7.53410553410554
"Chennai Super Kings","Ronit More",59,1,35,"All","All","All",59,10.1142857142857
"Chennai Super Kings","Sam Curran",672,22,450,"All","All","All",30.5454545454545,8.96
"Chennai Super Kings","Samuel Badree",97,2,84,"All","All","All",48.5,6.92857142857143
"Chennai Super Kings","Scott Kuggeleijn",71,2,48,"All","All","All",35.5,8.875
"Chennai Super Kings","Scott Styris",13,0,6,"All","All","All",Inf,13
"Chennai Super Kings","Shadab Jakati",1180,45,913,"All","All","All",26.2222222222222,7.75465498357065
"Chennai Super Kings","Shane Watson",251,6,168,"All","All","All",41.8333333333333,8.96428571428572
"Chennai Super Kings","Shardul Thakur",1514,55,1013,"All","All","All",27.5272727272727,8.96742349457058
"Chennai Super Kings","Shivam Dube",36,0,12,"All","All","All",Inf,18
"Chennai Super Kings","Simarjeet Singh",138,4,108,"All","All","All",34.5,7.66666666666667
"Chennai Super Kings","Sudeep Tyagi",295,6,209,"All","All","All",49.1666666666667,8.4688995215311
"Chennai Super Kings","Suraj Randiv",223,6,174,"All","All","All",37.1666666666667,7.68965517241379
"Chennai Super Kings","Suresh Raina",934,24,776,"All","All","All",38.9166666666667,7.22164948453608
"Chennai Super Kings","Thilan Thushara",161,8,135,"All","All","All",20.125,7.15555555555556
"Chennai Super Kings","Thisara Perera",19,0,6,"All","All","All",Inf,19
"Chennai Super Kings","Tim Southee",166,4,114,"All","All","All",41.5,8.73684210526316
"Chennai Super Kings","Tushar Deshpande",63,1,42,"All","All","All",63,9
"Chennai Super Kings","Vidyut Sivaramakrishnan",22,1,12,"All","All","All",22,11
"Chennai Super Kings","Vijay Shankar",19,0,6,"All","All","All",Inf,19
"Chennai Super Kings","Yo Mahesh",81,3,56,"All","All","All",27,8.67857142857143
"Deccan Chargers","Abhishek Jhunjhunwala",38,1,36,"All","All","All",38,6.33333333333333
"Deccan Chargers","Amit Mishra",735,32,602,"All","All","All",22.96875,7.32558139534884
"Deccan Chargers","Anand Rajan",159,6,101,"All","All","All",26.5,9.44554455445545
"Deccan Chargers","Andrew Symonds",633,19,503,"All","All","All",33.3157894736842,7.5506958250497
"Deccan Chargers","Ankit Sharma",165,4,145,"All","All","All",41.25,6.82758620689655
"Deccan Chargers","Ashish Reddy",237,11,163,"All","All","All",21.5454545454545,8.7239263803681
"Deccan Chargers","Bharat Chipli",20,0,6,"All","All","All",Inf,20
"Deccan Chargers","Cameron White",27,0,18,"All","All","All",Inf,9
"Deccan Chargers","Chamara Silva",21,0,6,"All","All","All",Inf,21
"Deccan Chargers","Chaminda Vaas",355,18,282,"All","All","All",19.7222222222222,7.5531914893617
"Deccan Chargers","Dale Steyn",584,32,553,"All","All","All",18.25,6.33634719710669
"Deccan Chargers","Dan Christian",583,19,436,"All","All","All",30.6842105263158,8.02293577981651
"Deccan Chargers","Daniel Harris",26,0,18,"All","All","All",Inf,8.66666666666667
"Deccan Chargers","Doddapaneni Kalyankrishna",87,2,48,"All","All","All",43.5,10.875
"Deccan Chargers","Dwaraka Ravi Teja",28,1,18,"All","All","All",28,9.33333333333333
"Deccan Chargers","Dwayne Smith",160,2,107,"All","All","All",80,8.97196261682243
"Deccan Chargers","Fidel Edwards",154,5,140,"All","All","All",30.8,6.6
"Deccan Chargers","Harmeet Singh",419,14,323,"All","All","All",29.9285714285714,7.78328173374613
"Deccan Chargers","Ishan Malhotra",23,0,6,"All","All","All",Inf,23
"Deccan Chargers","Ishant Sharma",314,11,264,"All","All","All",28.5454545454545,7.13636363636364
"Deccan Chargers","Jaskaran Singh",171,6,102,"All","All","All",28.5,10.0588235294118
"Deccan Chargers","Jean-Paul Duminy",247,5,180,"All","All","All",49.4,8.23333333333333
"Deccan Chargers","Kemar Roach",80,0,48,"All","All","All",Inf,10
"Deccan Chargers","Manpreet Gony",292,7,198,"All","All","All",41.7142857142857,8.84848484848485
"Deccan Chargers","Mitchell Marsh",88,2,60,"All","All","All",44,8.8
"Deccan Chargers","Nuwan Zoysa",99,2,66,"All","All","All",49.5,9
"Deccan Chargers","PM Sarvesh Kumar",42,1,30,"All","All","All",42,8.4
"Deccan Chargers","Paidikalva Vijaykumar",199,4,152,"All","All","All",49.75,7.85526315789474
"Deccan Chargers","Pragyan Ojha",1328,60,1117,"All","All","All",22.1333333333333,7.13339301700985
"Deccan Chargers","RP Singh",1229,51,918,"All","All","All",24.0980392156863,8.03267973856209
"Deccan Chargers","Rahul Sharma",167,5,124,"All","All","All",33.4,8.08064516129032
