"Batting_Team","Striker","Runs","Dismissed","Balls","Bowling_Team","Stadium","Season","Average","Strike_Rate"
"Chennai Super Kings","Abhinav Mukund",0,1,1,"All","All","All",0,0
"Chennai Super Kings","Albie Morkel",827,35,571,"All","All","All",23.6285714285714,144.833625218914
"Chennai Super Kings","Ambati Rayudu",1774,55,1381,"All","All","All",32.2545454545455,128.457639391745
"Chennai Super Kings","Andrew Flintoff",62,2,53,"All","All","All",31,116.981132075472
"Chennai Super Kings","Ankit Rajpoot",2,0,6,"All","All","All",Inf,33.3333333333333
"Chennai Super Kings","Arun Karthik",3,0,5,"All","All","All",Inf,60
"Chennai Super Kings","Ashish Nehra",1,1,7,"All","All","All",1,14.2857142857143
"Chennai Super Kings","Ben Laughlin",4,1,9,"All","All","All",4,44.4444444444444
"Chennai Super Kings","Brendon McCullum",841,26,613,"All","All","All",32.3461538461538,137.194127243067
"Chennai Super Kings","Chamara Kapugedera",16,3,23,"All","All","All",5.33333333333333,69.5652173913043
"Chennai Super Kings","Chris Jordan",11,1,8,"All","All","All",11,137.5
"Chennai Super Kings","Chris Morris",14,2,16,"All","All","All",7,87.5
"Chennai Super Kings","David Hussey",116,2,94,"All","All","All",58,123.404255319149
"Chennai Super Kings","Deepak Chahar",65,6,51,"All","All","All",10.8333333333333,127.450980392157
"Chennai Super Kings","Devon Conway",252,6,173,"All","All","All",42,145.664739884393
"Chennai Super Kings","Dhruv Shorey",13,2,17,"All","All","All",6.5,76.4705882352941
"Chennai Super Kings","Doug Bollinger",21,1,22,"All","All","All",21,95.4545454545455
"Chennai Super Kings","Dwaine Pretorius",44,4,28,"All","All","All",11,157.142857142857
"Chennai Super Kings","Dwayne Bravo",1004,40,732,"All","All","All",25.1,137.158469945355
"Chennai Super Kings","Dwayne Smith",965,32,751,"All","All","All",30.15625,128.49533954727
"Chennai Super Kings","Faf du Plessis",2721,77,2070,"All","All","All",35.3376623376623,131.449275362319
"Chennai Super Kings","George Bailey",63,3,66,"All","All","All",21,95.4545454545455
"Chennai Super Kings","Harbhajan Singh",30,4,39,"All","All","All",7.5,76.9230769230769
"Chennai Super Kings","Imran Tahir",15,0,12,"All","All","All",Inf,125
"Chennai Super Kings","Jacob Oram",106,7,105,"All","All","All",15.1428571428571,100.952380952381
"Chennai Super Kings","Joginder Sharma",36,4,30,"All","All","All",9,120
