"Batting_Team","Striker","Bowling_Team","Stadium","Runs","Dismissed","Balls","Season","Average","Strike_Rate"
"Chennai Super Kings","Abhinav Mukund","Rajasthan Royals","MA Chidambaram Stadium",0,1,1,"All",0,0
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Buffalo Park",4,0,5,"All",Inf,80
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Dr DY Patil Sports Academy",4,1,4,"All",4,100
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2,0,3,"All",Inf,66.6666666666667
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Kingsmead",13,1,7,"All",13,185.714285714286
"Chennai Super Kings","Albie Morkel","Deccan Chargers","MA Chidambaram Stadium",103,2,60,"All",51.5,171.666666666667
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Rajiv Gandhi International Stadium",12,0,12,"All",Inf,100
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Feroz Shah Kotla",32,2,21,"All",16,152.380952380952
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Kingsmead",13,0,14,"All",Inf,92.8571428571429
"Chennai Super Kings","Albie Morkel","Delhi Capitals","MA Chidambaram Stadium",29,3,21,"All",9.66666666666667,138.095238095238
"Chennai Super Kings","Albie Morkel","Delhi Capitals","New Wanderers Stadium",6,1,4,"All",6,150
"Chennai Super Kings","Albie Morkel","Kochi Tuskers Kerala","MA Chidambaram Stadium",13,0,10,"All",Inf,130
"Chennai Super Kings","Albie Morkel","Kochi Tuskers Kerala","Nehru Stadium",9,0,4,"All",Inf,225
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","Eden Gardens",30,0,30,"All",Inf,100
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","MA Chidambaram Stadium",28,0,17,"All",Inf,164.705882352941
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","SuperSport Park",21,0,10,"All",Inf,210
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Dr DY Patil Sports Academy",15,1,6,"All",15,250
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Eden Gardens",10,1,10,"All",10,100
"Chennai Super Kings","Albie Morkel","Mumbai Indians","MA Chidambaram Stadium",3,1,8,"All",3,37.5
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Wankhede Stadium",11,3,11,"All",3.66666666666667,100
"Chennai Super Kings","Albie Morkel","Pune Warriors","MA Chidambaram Stadium",13,2,15,"All",6.5,86.6666666666667
"Chennai Super Kings","Albie Morkel","Pune Warriors","Subrata Roy Sahara Stadium",3,0,3,"All",Inf,100
"Chennai Super Kings","Albie Morkel","Punjab Kings","Himachal Pradesh Cricket Association Stadium",28,1,16,"All",28,175
"Chennai Super Kings","Albie Morkel","Punjab Kings","MA Chidambaram Stadium",50,2,43,"All",25,116.279069767442
"Chennai Super Kings","Albie Morkel","Punjab Kings","SuperSport Park",2,0,2,"All",Inf,100
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","Dr DY Patil Sports Academy",16,1,13,"All",16,123.076923076923
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","MA Chidambaram Stadium",133,2,74,"All",66.5,179.72972972973
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","Sardar Patel Stadium",28,1,12,"All",28,233.333333333333
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","Sawai Mansingh Stadium",65,1,43,"All",65,151.162790697674
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","SuperSport Park",4,0,1,"All",Inf,400
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","Kingsmead",9,1,7,"All",9,128.571428571429
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","M Chinnaswamy Stadium",24,2,28,"All",12,85.7142857142857
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","MA Chidambaram Stadium",41,5,27,"All",8.2,151.851851851852
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","New Wanderers Stadium",20,0,17,"All",Inf,117.647058823529
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","St George's Park",5,1,3,"All",5,166.666666666667
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","Wankhede Stadium",28,0,10,"All",Inf,280
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",20,0,20,"All",Inf,100
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals","Dr DY Patil Sports Academy",5,1,6,"All",5,83.3333333333333
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals","Dubai International Cricket Stadium",56,1,46,"All",56,121.739130434783
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals","Feroz Shah Kotla",55,2,34,"All",27.5,161.764705882353
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals","MA Chidambaram Stadium",5,0,2,"All",Inf,250
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals","Maharashtra Cricket Association Stadium",41,1,24,"All",41,170.833333333333
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals","Sharjah Cricket Stadium",45,0,25,"All",Inf,180
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals","Wankhede Stadium",23,1,16,"All",23,143.75
"Chennai Super Kings","Ambati Rayudu","Gujarat Titans","Maharashtra Cricket Association Stadium",46,1,31,"All",46,148.387096774194
"Chennai Super Kings","Ambati Rayudu","Kolkata Knight Riders","Dubai International Cricket Stadium",38,1,20,"All",38,190
"Chennai Super Kings","Ambati Rayudu","Kolkata Knight Riders","Eden Gardens",26,2,28,"All",13,92.8571428571429
"Chennai Super Kings","Ambati Rayudu","Kolkata Knight Riders","MA Chidambaram Stadium",60,2,57,"All",30,105.263157894737
"Chennai Super Kings","Ambati Rayudu","Kolkata Knight Riders","Wankhede Stadium",15,1,17,"All",15,88.2352941176471
"Chennai Super Kings","Ambati Rayudu","Kolkata Knight Riders","Zayed Cricket Stadium",40,2,36,"All",20,111.111111111111
"Chennai Super Kings","Ambati Rayudu","Lucknow Super Giants","Brabourne Stadium",27,1,20,"All",27,135
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Arun Jaitley Stadium",72,0,27,"All",Inf,266.666666666667
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Dr DY Patil Sports Academy",40,1,35,"All",40,114.285714285714
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Dubai International Cricket Stadium",0,0,3,"All",NA,0
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","MA Chidambaram Stadium",42,1,40,"All",42,105
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Maharashtra Cricket Association Stadium",46,1,35,"All",46,131.428571428571
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Rajiv Gandhi International Stadium",1,1,4,"All",1,25
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Sharjah Cricket Stadium",2,1,3,"All",2,66.6666666666667
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Wankhede Stadium",32,3,34,"All",10.6666666666667,94.1176470588235
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Zayed Cricket Stadium",71,1,48,"All",71,147.916666666667
"Chennai Super Kings","Ambati Rayudu","Punjab Kings","Brabourne Stadium",13,1,21,"All",13,61.9047619047619
"Chennai Super Kings","Ambati Rayudu","Punjab Kings","Dubai International Cricket Stadium",4,1,5,"All",4,80
"Chennai Super Kings","Ambati Rayudu","Punjab Kings","MA Chidambaram Stadium",21,0,15,"All",Inf,140
"Chennai Super Kings","Ambati Rayudu","Punjab Kings","Maharashtra Cricket Association Stadium",1,1,3,"All",1,33.3333333333333
"Chennai Super Kings","Ambati Rayudu","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",50,2,37,"All",25,135.135135135135
