"Bowling_Team","Bowler","Batting_Team","Stadium","Runs","Wickets","Balls","Season","Average","Economy"
"Chennai Super Kings","Adam Milne","Kolkata Knight Riders","Wankhede Stadium",19,0,15,"All",Inf,7.6
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Buffalo Park",24,2,18,"All",12,8
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Dr DY Patil Sports Academy",15,1,18,"All",15,5
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",20,0,12,"All",Inf,10
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Kingsmead",25,0,18,"All",Inf,8.33333333333333
"Chennai Super Kings","Albie Morkel","Deccan Chargers","MA Chidambaram Stadium",121,5,90,"All",24.2,8.06666666666667
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Rajiv Gandhi International Stadium",37,2,24,"All",18.5,9.25
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Feroz Shah Kotla",98,3,72,"All",32.6666666666667,8.16666666666667
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Kingsmead",41,1,24,"All",41,10.25
"Chennai Super Kings","Albie Morkel","Delhi Capitals","MA Chidambaram Stadium",167,6,124,"All",27.8333333333333,8.08064516129032
"Chennai Super Kings","Albie Morkel","Delhi Capitals","New Wanderers Stadium",32,1,24,"All",32,8
"Chennai Super Kings","Albie Morkel","Kochi Tuskers Kerala","Nehru Stadium",17,0,12,"All",Inf,8.5
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","Eden Gardens",81,1,72,"All",81,6.75
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","MA Chidambaram Stadium",108,2,78,"All",54,8.30769230769231
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","SuperSport Park",39,0,18,"All",Inf,13
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Brabourne Stadium",26,0,24,"All",Inf,6.5
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Dr DY Patil Sports Academy",20,1,18,"All",20,6.66666666666667
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Eden Gardens",12,2,18,"All",6,4
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Feroz Shah Kotla",26,1,18,"All",26,8.66666666666667
"Chennai Super Kings","Albie Morkel","Mumbai Indians","M Chinnaswamy Stadium",31,2,24,"All",15.5,7.75
"Chennai Super Kings","Albie Morkel","Mumbai Indians","MA Chidambaram Stadium",20,0,24,"All",Inf,5
"Chennai Super Kings","Albie Morkel","Mumbai Indians","St George's Park",31,1,24,"All",31,7.75
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Wankhede Stadium",97,1,60,"All",97,9.7
"Chennai Super Kings","Albie Morkel","Pune Warriors","MA Chidambaram Stadium",28,3,24,"All",9.33333333333333,7
"Chennai Super Kings","Albie Morkel","Pune Warriors","Subrata Roy Sahara Stadium",42,0,30,"All",Inf,8.4
"Chennai Super Kings","Albie Morkel","Punjab Kings","Himachal Pradesh Cricket Association Stadium",76,2,45,"All",38,10.1333333333333
"Chennai Super Kings","Albie Morkel","Punjab Kings","MA Chidambaram Stadium",97,6,96,"All",16.1666666666667,6.0625
"Chennai Super Kings","Albie Morkel","Punjab Kings","Punjab Cricket Association Stadium",38,1,18,"All",38,12.6666666666667
"Chennai Super Kings","Albie Morkel","Punjab Kings","SuperSport Park",36,1,18,"All",36,12
"Chennai Super Kings","Albie Morkel","Punjab Kings","Wankhede Stadium",27,2,24,"All",13.5,6.75
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","De Beers Diamond Oval",24,1,18,"All",24,8
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","Dr DY Patil Sports Academy",25,2,24,"All",12.5,6.25
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","MA Chidambaram Stadium",115,6,72,"All",19.1666666666667,9.58333333333333
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","Sardar Patel Stadium",46,2,24,"All",23,11.5
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","Sawai Mansingh Stadium",50,1,42,"All",50,7.14285714285714
