"Batting_Team","Striker","Bowling_Team","Runs","Dismissed","Balls","Season","Stadium","Average","Strike_Rate"
"Chennai Super Kings","Abhinav Mukund","Rajasthan Royals",0,1,1,"All","All",0,0
"Chennai Super Kings","Albie Morkel","Deccan Chargers",138,4,91,"All","All",34.5,151.648351648352
"Chennai Super Kings","Albie Morkel","Delhi Capitals",80,6,60,"All","All",13.3333333333333,133.333333333333
"Chennai Super Kings","Albie Morkel","Kochi Tuskers Kerala",22,0,14,"All","All",Inf,157.142857142857
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders",79,0,57,"All","All",Inf,138.59649122807
"Chennai Super Kings","Albie Morkel","Mumbai Indians",39,6,35,"All","All",6.5,111.428571428571
"Chennai Super Kings","Albie Morkel","Pune Warriors",16,2,18,"All","All",8,88.8888888888889
"Chennai Super Kings","Albie Morkel","Punjab Kings",80,3,61,"All","All",26.6666666666667,131.147540983607
"Chennai Super Kings","Albie Morkel","Rajasthan Royals",246,5,143,"All","All",49.2,172.027972027972
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore",127,9,92,"All","All",14.1111111111111,138.04347826087
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals",250,6,173,"All","All",41.6666666666667,144.508670520231
"Chennai Super Kings","Ambati Rayudu","Gujarat Titans",46,1,31,"All","All",46,148.387096774194
"Chennai Super Kings","Ambati Rayudu","Kolkata Knight Riders",179,8,158,"All","All",22.375,113.291139240506
"Chennai Super Kings","Ambati Rayudu","Lucknow Super Giants",27,1,20,"All","All",27,135
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians",306,9,229,"All","All",34,133.624454148472
"Chennai Super Kings","Ambati Rayudu","Punjab Kings",197,7,151,"All","All",28.1428571428571,130.46357615894
"Chennai Super Kings","Ambati Rayudu","Rajasthan Royals",127,8,118,"All","All",15.875,107.627118644068
"Chennai Super Kings","Ambati Rayudu","Royal Challengers Bangalore",308,9,253,"All","All",34.2222222222222,121.739130434783
"Chennai Super Kings","Ambati Rayudu","Sunrisers Hyderabad",334,6,248,"All","All",55.6666666666667,134.677419354839
"Chennai Super Kings","Andrew Flintoff","Delhi Capitals",16,1,17,"All","All",16,94.1176470588235
"Chennai Super Kings","Andrew Flintoff","Mumbai Indians",24,1,23,"All","All",24,104.347826086957
"Chennai Super Kings","Andrew Flintoff","Royal Challengers Bangalore",22,0,13,"All","All",Inf,169.230769230769
"Chennai Super Kings","Ankit Rajpoot","Mumbai Indians",2,0,6,"All","All",Inf,33.3333333333333
"Chennai Super Kings","Arun Karthik","Rajasthan Royals",3,0,5,"All","All",Inf,60
"Chennai Super Kings","Ashish Nehra","Kolkata Knight Riders",1,0,4,"All","All",Inf,25
"Chennai Super Kings","Ashish Nehra","Mumbai Indians",0,1,1,"All","All",0,0
"Chennai Super Kings","Ashish Nehra","Royal Challengers Bangalore",0,0,2,"All","All",NA,0
"Chennai Super Kings","Ben Laughlin","Mumbai Indians",4,1,9,"All","All",4,44.4444444444444
"Chennai Super Kings","Brendon McCullum","Delhi Capitals",56,4,68,"All","All",14,82.3529411764706
"Chennai Super Kings","Brendon McCullum","Kolkata Knight Riders",135,4,90,"All","All",33.75,150
"Chennai Super Kings","Brendon McCullum","Mumbai Indians",167,4,106,"All","All",41.75,157.547169811321
"Chennai Super Kings","Brendon McCullum","Punjab Kings",183,5,140,"All","All",36.6,130.714285714286
"Chennai Super Kings","Brendon McCullum","Rajasthan Royals",105,4,81,"All","All",26.25,129.62962962963
"Chennai Super Kings","Brendon McCullum","Royal Challengers Bangalore",43,3,34,"All","All",14.3333333333333,126.470588235294
"Chennai Super Kings","Brendon McCullum","Sunrisers Hyderabad",152,2,94,"All","All",76,161.702127659574
"Chennai Super Kings","Chamara Kapugedera","Delhi Capitals",8,1,9,"All","All",8,88.8888888888889
"Chennai Super Kings","Chamara Kapugedera","Mumbai Indians",0,1,2,"All","All",0,0
"Chennai Super Kings","Chamara Kapugedera","Rajasthan Royals",8,1,12,"All","All",8,66.6666666666667
"Chennai Super Kings","Chris Jordan","Punjab Kings",5,1,5,"All","All",5,100
"Chennai Super Kings","Chris Jordan","Sunrisers Hyderabad",6,0,3,"All","All",Inf,200
"Chennai Super Kings","Chris Morris","Mumbai Indians",1,2,5,"All","All",0.5,20
"Chennai Super Kings","Chris Morris","Pune Warriors",5,0,5,"All","All",Inf,100
"Chennai Super Kings","Chris Morris","Rajasthan Royals",1,0,1,"All","All",Inf,100
"Chennai Super Kings","Chris Morris","Royal Challengers Bangalore",7,0,4,"All","All",Inf,175
"Chennai Super Kings","Chris Morris","Sunrisers Hyderabad",0,0,1,"All","All",NA,0
"Chennai Super Kings","David Hussey","Mumbai Indians",40,0,29,"All","All",Inf,137.931034482759
"Chennai Super Kings","David Hussey","Punjab Kings",1,1,3,"All","All",1,33.3333333333333
"Chennai Super Kings","David Hussey","Royal Challengers Bangalore",25,1,29,"All","All",25,86.2068965517241
"Chennai Super Kings","David Hussey","Sunrisers Hyderabad",50,0,33,"All","All",Inf,151.515151515152
"Chennai Super Kings","Deepak Chahar","Delhi Capitals",1,0,2,"All","All",Inf,50
"Chennai Super Kings","Deepak Chahar","Kolkata Knight Riders",1,0,1,"All","All",Inf,100
"Chennai Super Kings","Deepak Chahar","Mumbai Indians",7,4,15,"All","All",1.75,46.6666666666667
"Chennai Super Kings","Deepak Chahar","Punjab Kings",39,1,20,"All","All",39,195
"Chennai Super Kings","Deepak Chahar","Royal Challengers Bangalore",5,0,5,"All","All",Inf,100
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad",12,1,8,"All","All",12,150
"Chennai Super Kings","Devon Conway","Delhi Capitals",87,1,49,"All","All",87,177.551020408163
"Chennai Super Kings","Devon Conway","Gujarat Titans",5,1,9,"All","All",5,55.5555555555556
"Chennai Super Kings","Devon Conway","Kolkata Knight Riders",3,1,8,"All","All",3,37.5
"Chennai Super Kings","Devon Conway","Mumbai Indians",0,1,1,"All","All",0,0
"Chennai Super Kings","Devon Conway","Rajasthan Royals",16,1,14,"All","All",16,114.285714285714
"Chennai Super Kings","Devon Conway","Royal Challengers Bangalore",56,1,37,"All","All",56,151.351351351351
"Chennai Super Kings","Devon Conway","Sunrisers Hyderabad",85,0,55,"All","All",Inf,154.545454545455
"Chennai Super Kings","Dhruv Shorey","Mumbai Indians",5,1,8,"All","All",5,62.5
"Chennai Super Kings","Dhruv Shorey","Royal Challengers Bangalore",8,1,9,"All","All",8,88.8888888888889
"Chennai Super Kings","Doug Bollinger","Deccan Chargers",2,0,3,"All","All",Inf,66.6666666666667
"Chennai Super Kings","Doug Bollinger","Delhi Capitals",16,0,13,"All","All",Inf,123.076923076923
"Chennai Super Kings","Doug Bollinger","Mumbai Indians",3,1,6,"All","All",3,50
"Chennai Super Kings","Dwaine Pretorius","Lucknow Super Giants",0,1,1,"All","All",0,0
"Chennai Super Kings","Dwaine Pretorius","Mumbai Indians",22,1,14,"All","All",22,157.142857142857
"Chennai Super Kings","Dwaine Pretorius","Punjab Kings",9,1,5,"All","All",9,180
"Chennai Super Kings","Dwaine Pretorius","Royal Challengers Bangalore",13,1,8,"All","All",13,162.5
"Chennai Super Kings","Dwayne Bravo","Deccan Chargers",55,0,22,"All","All",Inf,250
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals",85,5,71,"All","All",17,119.718309859155
"Chennai Super Kings","Dwayne Bravo","Kolkata Knight Riders",76,3,67,"All","All",25.3333333333333,113.432835820896
"Chennai Super Kings","Dwayne Bravo","Lucknow Super Giants",1,0,1,"All","All",Inf,100
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians",315,14,228,"All","All",22.5,138.157894736842
"Chennai Super Kings","Dwayne Bravo","Pune Warriors",18,2,14,"All","All",9,128.571428571429
"Chennai Super Kings","Dwayne Bravo","Punjab Kings",92,3,72,"All","All",30.6666666666667,127.777777777778
"Chennai Super Kings","Dwayne Bravo","Rajasthan Royals",213,2,130,"All","All",106.5,163.846153846154
"Chennai Super Kings","Dwayne Bravo","Royal Challengers Bangalore",102,8,74,"All","All",12.75,137.837837837838
"Chennai Super Kings","Dwayne Bravo","Sunrisers Hyderabad",47,3,53,"All","All",15.6666666666667,88.6792452830189
"Chennai Super Kings","Dwayne Smith","Delhi Capitals",160,4,134,"All","All",40,119.402985074627
"Chennai Super Kings","Dwayne Smith","Kolkata Knight Riders",46,4,37,"All","All",11.5,124.324324324324
"Chennai Super Kings","Dwayne Smith","Mumbai Indians",256,7,209,"All","All",36.5714285714286,122.488038277512
"Chennai Super Kings","Dwayne Smith","Punjab Kings",103,4,71,"All","All",25.75,145.070422535211
"Chennai Super Kings","Dwayne Smith","Rajasthan Royals",140,4,102,"All","All",35,137.254901960784
"Chennai Super Kings","Dwayne Smith","Royal Challengers Bangalore",99,5,79,"All","All",19.8,125.316455696203
"Chennai Super Kings","Dwayne Smith","Sunrisers Hyderabad",161,4,119,"All","All",40.25,135.294117647059
"Chennai Super Kings","Faf du Plessis","Deccan Chargers",81,2,60,"All","All",40.5,135
"Chennai Super Kings","Faf du Plessis","Delhi Capitals",334,12,284,"All","All",27.8333333333333,117.605633802817
"Chennai Super Kings","Faf du Plessis","Kolkata Knight Riders",423,9,315,"All","All",47,134.285714285714
"Chennai Super Kings","Faf du Plessis","Mumbai Indians",313,14,254,"All","All",22.3571428571429,123.228346456693
"Chennai Super Kings","Faf du Plessis","Pune Warriors",101,2,81,"All","All",50.5,124.691358024691
"Chennai Super Kings","Faf du Plessis","Punjab Kings",547,9,370,"All","All",60.7777777777778,147.837837837838
"Chennai Super Kings","Faf du Plessis","Rajasthan Royals",295,10,220,"All","All",29.5,134.090909090909
"Chennai Super Kings","Faf du Plessis","Royal Challengers Bangalore",322,8,254,"All","All",40.25,126.771653543307
"Chennai Super Kings","Faf du Plessis","Sunrisers Hyderabad",305,11,232,"All","All",27.7272727272727,131.465517241379
"Chennai Super Kings","George Bailey","Kolkata Knight Riders",30,1,27,"All","All",30,111.111111111111
"Chennai Super Kings","George Bailey","Punjab Kings",15,1,12,"All","All",15,125
"Chennai Super Kings","George Bailey","Royal Challengers Bangalore",18,1,27,"All","All",18,66.6666666666667
"Chennai Super Kings","Harbhajan Singh","Mumbai Indians",9,2,8,"All","All",4.5,112.5
"Chennai Super Kings","Harbhajan Singh","Punjab Kings",19,1,22,"All","All",19,86.3636363636364
"Chennai Super Kings","Harbhajan Singh","Sunrisers Hyderabad",2,1,9,"All","All",2,22.2222222222222
"Chennai Super Kings","Imran Tahir","Mumbai Indians",15,0,12,"All","All",Inf,125
"Chennai Super Kings","Jacob Oram","Deccan Chargers",41,0,29,"All","All",Inf,141.379310344828
"Chennai Super Kings","Jacob Oram","Delhi Capitals",3,1,7,"All","All",3,42.8571428571429
"Chennai Super Kings","Jacob Oram","Mumbai Indians",13,1,8,"All","All",13,162.5
"Chennai Super Kings","Jacob Oram","Punjab Kings",30,2,31,"All","All",15,96.7741935483871
"Chennai Super Kings","Jacob Oram","Rajasthan Royals",3,1,8,"All","All",3,37.5
"Chennai Super Kings","Jacob Oram","Royal Challengers Bangalore",16,2,22,"All","All",8,72.7272727272727
"Chennai Super Kings","Joginder Sharma","Deccan Chargers",16,1,10,"All","All",16,160
"Chennai Super Kings","Joginder Sharma","Delhi Capitals",4,1,3,"All","All",4,133.333333333333
"Chennai Super Kings","Joginder Sharma","Mumbai Indians",16,1,16,"All","All",16,100
"Chennai Super Kings","Joginder Sharma","Rajasthan Royals",0,1,1,"All","All",0,0
"Chennai Super Kings","Justin Kemp","Deccan Chargers",22,1,16,"All","All",22,137.5
"Chennai Super Kings","Justin Kemp","Delhi Capitals",4,1,8,"All","All",4,50
