"Bowling_Team","Bowler","Batting_Team","Runs","Wickets","Balls","Season","Stadium","Average","Economy"
"Chennai Super Kings","Adam Milne","Kolkata Knight Riders",19,0,15,"All","All",Inf,7.6
"Chennai Super Kings","Albie Morkel","Deccan Chargers",242,10,180,"All","All",24.2,8.06666666666667
"Chennai Super Kings","Albie Morkel","Delhi Capitals",338,11,244,"All","All",30.7272727272727,8.31147540983607
"Chennai Super Kings","Albie Morkel","Kochi Tuskers Kerala",17,0,12,"All","All",Inf,8.5
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders",228,3,168,"All","All",76,8.14285714285714
"Chennai Super Kings","Albie Morkel","Mumbai Indians",263,8,210,"All","All",32.875,7.51428571428571
"Chennai Super Kings","Albie Morkel","Pune Warriors",70,3,54,"All","All",23.3333333333333,7.77777777777778
"Chennai Super Kings","Albie Morkel","Punjab Kings",274,12,201,"All","All",22.8333333333333,8.17910447761194
"Chennai Super Kings","Albie Morkel","Rajasthan Royals",281,14,204,"All","All",20.0714285714286,8.26470588235294
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore",340,15,252,"All","All",22.6666666666667,8.09523809523809
"Chennai Super Kings","Andrew Flintoff","Delhi Capitals",50,0,24,"All","All",Inf,12.5
"Chennai Super Kings","Andrew Flintoff","Mumbai Indians",44,1,24,"All","All",44,11
"Chennai Super Kings","Andrew Flintoff","Royal Challengers Bangalore",11,1,18,"All","All",11,3.66666666666667
"Chennai Super Kings","Ankit Rajpoot","Mumbai Indians",25,1,18,"All","All",25,8.33333333333333
"Chennai Super Kings","Ankit Rajpoot","Punjab Kings",10,0,6,"All","All",Inf,10
"Chennai Super Kings","Ashish Nehra","Delhi Capitals",25,3,24,"All","All",8.33333333333333,6.25
"Chennai Super Kings","Ashish Nehra","Kolkata Knight Riders",74,1,48,"All","All",74,9.25
"Chennai Super Kings","Ashish Nehra","Mumbai Indians",171,6,114,"All","All",28.5,9
"Chennai Super Kings","Ashish Nehra","Punjab Kings",108,6,84,"All","All",18,7.71428571428572
"Chennai Super Kings","Ashish Nehra","Rajasthan Royals",61,0,48,"All","All",Inf,7.625
"Chennai Super Kings","Ashish Nehra","Royal Challengers Bangalore",90,13,96,"All","All",6.92307692307692,5.625
"Chennai Super Kings","Ashish Nehra","Sunrisers Hyderabad",62,1,48,"All","All",62,7.75
"Chennai Super Kings","Ben Hilfenhaus","Deccan Chargers",31,1,24,"All","All",31,7.75
"Chennai Super Kings","Ben Hilfenhaus","Delhi Capitals",87,6,78,"All","All",14.5,6.69230769230769
"Chennai Super Kings","Ben Hilfenhaus","Kolkata Knight Riders",115,3,78,"All","All",38.3333333333333,8.84615384615385
"Chennai Super Kings","Ben Hilfenhaus","Mumbai Indians",118,5,72,"All","All",23.6,9.83333333333333
"Chennai Super Kings","Ben Hilfenhaus","Punjab Kings",56,2,48,"All","All",28,7
"Chennai Super Kings","Ben Hilfenhaus","Rajasthan Royals",40,3,48,"All","All",13.3333333333333,5
"Chennai Super Kings","Ben Hilfenhaus","Sunrisers Hyderabad",32,2,24,"All","All",16,8
"Chennai Super Kings","Ben Laughlin","Mumbai Indians",71,1,42,"All","All",71,10.1428571428571
"Chennai Super Kings","Chamara Kapugedera","Delhi Capitals",15,0,6,"All","All",Inf,15
"Chennai Super Kings","Chamara Kapugedera","Mumbai Indians",26,0,5,"All","All",Inf,31.2
"Chennai Super Kings","Chamara Kapugedera","Punjab Kings",8,0,6,"All","All",Inf,8
"Chennai Super Kings","Chandrasekar Ganapathy","Royal Challengers Bangalore",13,0,6,"All","All",Inf,13
"Chennai Super Kings","Chris Jordan","Gujarat Titans",58,0,23,"All","All",Inf,15.1304347826087
"Chennai Super Kings","Chris Jordan","Punjab Kings",23,2,24,"All","All",11.5,5.75
"Chennai Super Kings","Chris Jordan","Royal Challengers Bangalore",20,0,12,"All","All",Inf,10
"Chennai Super Kings","Chris Jordan","Sunrisers Hyderabad",34,0,18,"All","All",Inf,11.3333333333333
"Chennai Super Kings","Chris Morris","Delhi Capitals",13,1,12,"All","All",13,6.5
"Chennai Super Kings","Chris Morris","Kolkata Knight Riders",41,2,36,"All","All",20.5,6.83333333333333
"Chennai Super Kings","Chris Morris","Mumbai Indians",65,2,60,"All","All",32.5,6.5
"Chennai Super Kings","Chris Morris","Pune Warriors",46,3,42,"All","All",15.3333333333333,6.57142857142857
"Chennai Super Kings","Chris Morris","Punjab Kings",58,2,42,"All","All",29,8.28571428571428
"Chennai Super Kings","Chris Morris","Rajasthan Royals",68,1,42,"All","All",68,9.71428571428572
"Chennai Super Kings","Chris Morris","Royal Challengers Bangalore",62,3,36,"All","All",20.6666666666667,10.3333333333333
"Chennai Super Kings","Chris Morris","Sunrisers Hyderabad",48,1,30,"All","All",48,9.6
"Chennai Super Kings","David Hussey","Royal Challengers Bangalore",38,2,17,"All","All",19,13.4117647058824
"Chennai Super Kings","David Willey","Rajasthan Royals",47,1,24,"All","All",47,11.75
"Chennai Super Kings","David Willey","Royal Challengers Bangalore",24,1,24,"All","All",24,6
"Chennai Super Kings","David Willey","Sunrisers Hyderabad",24,0,12,"All","All",Inf,12
"Chennai Super Kings","Deepak Chahar","Delhi Capitals",255,8,192,"All","All",31.875,7.96875
"Chennai Super Kings","Deepak Chahar","Kolkata Knight Riders",245,8,168,"All","All",30.625,8.75
"Chennai Super Kings","Deepak Chahar","Mumbai Indians",278,11,214,"All","All",25.2727272727273,7.79439252336449
"Chennai Super Kings","Deepak Chahar","Punjab Kings",243,7,174,"All","All",34.7142857142857,8.37931034482759
