"Bowler","Season","Bowling_Team","Stadium","Runs","Wickets","Balls","Batting_Team","Striker","Average","Economy"
"Aaron Finch",2010,"Rajasthan Royals","Eden Gardens",5,0,7,"All","All",Inf,4.28571428571429
"Aaron Finch",2011,"Delhi Capitals","Feroz Shah Kotla",13,0,12,"All","All",Inf,6.5
"Aaron Finch",2013,"Pune Warriors","M Chinnaswamy Stadium",29,0,6,"All","All",Inf,29
"Aaron Finch",2013,"Pune Warriors","MA Chidambaram Stadium",9,0,6,"All","All",Inf,9
"Aaron Finch",2013,"Pune Warriors","Wankhede Stadium",11,1,12,"All","All",11,5.5
"Aavishkar Salvi",2009,"Delhi Capitals","Kingsmead",41,0,18,"All","All",Inf,13.6666666666667
"Aavishkar Salvi",2009,"Delhi Capitals","New Wanderers Stadium",30,0,24,"All","All",Inf,7.5
"Aavishkar Salvi",2009,"Delhi Capitals","Newlands",17,1,12,"All","All",17,8.5
"Aavishkar Salvi",2009,"Delhi Capitals","OUTsurance Oval",19,2,24,"All","All",9.5,4.75
"Aavishkar Salvi",2009,"Delhi Capitals","SuperSport Park",27,1,24,"All","All",27,6.75
"Aavishkar Salvi",2011,"Delhi Capitals","Himachal Pradesh Cricket Association Stadium",40,2,24,"All","All",20,10
"Aavishkar Salvi",2011,"Delhi Capitals","Rajiv Gandhi International Stadium",26,1,24,"All","All",26,6.5
"Abdul Samad",2020,"Sunrisers Hyderabad","Dubai International Cricket Stadium",69,1,30,"All","All",69,13.8
"Abdul Samad",2020,"Sunrisers Hyderabad","Sharjah Cricket Stadium",27,0,12,"All","All",Inf,13.5
"Abdul Samad",2021,"Sunrisers Hyderabad","Sharjah Cricket Stadium",9,1,6,"All","All",9,9
"Abdul Samad",2022,"Sunrisers Hyderabad","Dr DY Patil Sports Academy",8,0,6,"All","All",Inf,8
"Abdur Razzak",2008,"Royal Challengers Bangalore","Sawai Mansingh Stadium",29,0,12,"All","All",Inf,14.5
"Abhimanyu Mithun",2009,"Royal Challengers Bangalore","St George's Park",42,0,24,"All","All",Inf,10.5
"Abhimanyu Mithun",2010,"Royal Challengers Bangalore","Feroz Shah Kotla",39,1,18,"All","All",39,13
"Abhimanyu Mithun",2011,"Royal Challengers Bangalore","Feroz Shah Kotla",37,2,24,"All","All",18.5,9.25
"Abhimanyu Mithun",2011,"Royal Challengers Bangalore","Himachal Pradesh Cricket Association Stadium",29,0,18,"All","All",Inf,9.66666666666667
"Abhimanyu Mithun",2011,"Royal Challengers Bangalore","M Chinnaswamy Stadium",156,2,114,"All","All",78,8.21052631578947
"Abhimanyu Mithun",2011,"Royal Challengers Bangalore","MA Chidambaram Stadium",48,0,24,"All","All",Inf,12
"Abhimanyu Mithun",2011,"Royal Challengers Bangalore","Nehru Stadium",19,0,6,"All","All",Inf,19
"Abhimanyu Mithun",2011,"Royal Challengers Bangalore","Wankhede Stadium",32,1,18,"All","All",32,10.6666666666667
"Abhimanyu Mithun",2012,"Royal Challengers Bangalore","M Chinnaswamy Stadium",33,0,18,"All","All",Inf,11
"Abhimanyu Mithun",2013,"Royal Challengers Bangalore","JSCA International Stadium Complex",37,1,24,"All","All",37,9.25
"Abhishek Jhunjhunwala",2010,"Rajasthan Royals","Brabourne Stadium",27,0,12,"All","All",Inf,13.5
"Abhishek Jhunjhunwala",2010,"Rajasthan Royals","MA Chidambaram Stadium",18,0,12,"All","All",Inf,9
"Abhishek Jhunjhunwala",2010,"Rajasthan Royals","Sardar Patel Stadium",18,0,7,"All","All",Inf,15.4285714285714
"Abhishek Jhunjhunwala",2010,"Rajasthan Royals","Sawai Mansingh Stadium",6,0,6,"All","All",Inf,6
"Abhishek Jhunjhunwala",2011,"Pune Warriors","Dr DY Patil Sports Academy",11,0,6,"All","All",Inf,11
"Abhishek Jhunjhunwala",2011,"Pune Warriors","Punjab Cricket Association Stadium",11,0,6,"All","All",Inf,11
"Abhishek Jhunjhunwala",2012,"Deccan Chargers","MA Chidambaram Stadium",13,1,18,"All","All",13,4.33333333333333
"Abhishek Jhunjhunwala",2012,"Deccan Chargers","Punjab Cricket Association Stadium",13,0,6,"All","All",Inf,13
"Abhishek Jhunjhunwala",2012,"Deccan Chargers","Rajiv Gandhi International Stadium",12,0,12,"All","All",Inf,6
"Abhishek Nayar",2008,"Mumbai Indians","Dr DY Patil Sports Academy",22,0,6,"All","All",Inf,22
"Abhishek Nayar",2008,"Mumbai Indians","MA Chidambaram Stadium",14,0,6,"All","All",Inf,14
"Abhishek Nayar",2008,"Mumbai Indians","Rajiv Gandhi International Stadium",18,1,18,"All","All",18,6
"Abhishek Nayar",2008,"Mumbai Indians","Sawai Mansingh Stadium",4,0,6,"All","All",Inf,4
"Abhishek Nayar",2008,"Mumbai Indians","Wankhede Stadium",10,0,6,"All","All",Inf,10
"Abhishek Nayar",2009,"Mumbai Indians","Buffalo Park",20,1,18,"All","All",20,6.66666666666667
"Abhishek Nayar",2009,"Mumbai Indians","New Wanderers Stadium",26,0,24,"All","All",Inf,6.5
"Abhishek Nayar",2009,"Mumbai Indians","St George's Park",13,3,18,"All","All",4.33333333333333,4.33333333333333
"Abhishek Nayar",2009,"Mumbai Indians","SuperSport Park",25,0,12,"All","All",Inf,12.5
"Abhishek Nayar",2011,"Punjab Kings","Dr DY Patil Sports Academy",27,1,19,"All","All",27,8.52631578947368
"Abhishek Nayar",2011,"Punjab Kings","Feroz Shah Kotla",22,1,12,"All","All",22,11
"Abhishek Nayar",2011,"Punjab Kings","M Chinnaswamy Stadium",9,0,6,"All","All",Inf,9
"Abhishek Nayar",2011,"Punjab Kings","Punjab Cricket Association Stadium",27,0,18,"All","All",Inf,9
"Abhishek Nayar",2011,"Punjab Kings","Rajiv Gandhi International Stadium",10,0,6,"All","All",Inf,10
"Abhishek Nayar",2012,"Punjab Kings","M Chinnaswamy Stadium",16,0,6,"All","All",Inf,16
"Abhishek Nayar",2013,"Pune Warriors","MA Chidambaram Stadium",21,1,18,"All","All",21,7
"Abhishek Nayar",2013,"Pune Warriors","Shaheed Veer Narayan Singh International Stadium",15,1,12,"All","All",15,7.5
"Abhishek Nayar",2013,"Pune Warriors","Subrata Roy Sahara Stadium",23,0,18,"All","All",Inf,7.66666666666667
"Abhishek Raut",2009,"Rajasthan Royals","De Beers Diamond Oval",13,0,6,"All","All",Inf,13
"Abhishek Raut",2009,"Rajasthan Royals","OUTsurance Oval",10,0,6,"All","All",Inf,10
"Abhishek Raut",2009,"Rajasthan Royals","St George's Park",7,0,6,"All","All",Inf,7
"Abhishek Raut",2009,"Rajasthan Royals","SuperSport Park",6,0,6,"All","All",Inf,6
"Abhishek Raut",2011,"Rajasthan Royals","Punjab Cricket Association Stadium",8,0,6,"All","All",Inf,8
"Abhishek Sharma",2019,"Sunrisers Hyderabad","Rajiv Gandhi International Stadium",21,1,12,"All","All",21,10.5
"Abhishek Sharma",2020,"Sunrisers Hyderabad","Dubai International Cricket Stadium",46,2,30,"All","All",23,9.2
"Abhishek Sharma",2020,"Sunrisers Hyderabad","Zayed Cricket Stadium",45,0,30,"All","All",Inf,9
"Abhishek Sharma",2021,"Sunrisers Hyderabad","Dubai International Cricket Stadium",8,0,6,"All","All",Inf,8
"Abhishek Sharma",2021,"Sunrisers Hyderabad","MA Chidambaram Stadium",43,2,36,"All","All",21.5,7.16666666666667
"Abhishek Sharma",2021,"Sunrisers Hyderabad","Sharjah Cricket Stadium",9,0,12,"All","All",Inf,4.5
"Abhishek Sharma",2021,"Sunrisers Hyderabad","Zayed Cricket Stadium",4,2,6,"All","All",2,4
"Abhishek Sharma",2022,"Sunrisers Hyderabad","Maharashtra Cricket Association Stadium",15,0,6,"All","All",Inf,15
"Abhishek Sharma",2022,"Sunrisers Hyderabad","Wankhede Stadium",23,0,18,"All","All",Inf,7.66666666666667
"Abrar Kazi",2011,"Royal Challengers Bangalore","Sawai Mansingh Stadium",21,0,12,"All","All",Inf,10.5
"Abu Nechim",2010,"Mumbai Indians","MA Chidambaram Stadium",26,0,12,"All","All",Inf,13
"Abu Nechim",2011,"Mumbai Indians","Eden Gardens",32,2,24,"All","All",16,8
"Abu Nechim",2011,"Mumbai Indians","MA Chidambaram Stadium",56,1,24,"All","All",56,14
"Abu Nechim",2011,"Mumbai Indians","Rajiv Gandhi International Stadium",27,0,24,"All","All",Inf,6.75
"Abu Nechim",2011,"Mumbai Indians","Wankhede Stadium",54,2,48,"All","All",27,6.75
"Abu Nechim",2012,"Mumbai Indians","MA Chidambaram Stadium",17,0,12,"All","All",Inf,8.5
"Abu Nechim",2013,"Mumbai Indians","Subrata Roy Sahara Stadium",27,2,24,"All","All",13.5,6.75
"Abu Nechim",2013,"Mumbai Indians","Wankhede Stadium",18,1,18,"All","All",18,6
"Abu Nechim",2014,"Royal Challengers Bangalore","Eden Gardens",33,1,24,"All","All",33,8.25
"Abu Nechim",2014,"Royal Challengers Bangalore","JSCA International Stadium Complex",18,1,24,"All","All",18,4.5
"Abu Nechim",2014,"Royal Challengers Bangalore","M Chinnaswamy Stadium",40,1,24,"All","All",40,10
"Abu Nechim",2014,"Royal Challengers Bangalore","Rajiv Gandhi International Stadium",22,0,14,"All","All",Inf,9.42857142857143
"Abu Nechim",2015,"Royal Challengers Bangalore","Eden Gardens",28,1,24,"All","All",28,7
"Abu Nechim",2015,"Royal Challengers Bangalore","M Chinnaswamy Stadium",100,0,48,"All","All",Inf,12.5
"Adam Gilchrist",2013,"Punjab Kings","Himachal Pradesh Cricket Association Stadium",0,1,1,"All","All",0,0
"Adam Milne",2016,"Royal Challengers Bangalore","M Chinnaswamy Stadium",43,1,24,"All","All",43,10.75
"Adam Milne",2017,"Royal Challengers Bangalore","M Chinnaswamy Stadium",27,2,24,"All","All",13.5,6.75
"Adam Milne",2017,"Royal Challengers Bangalore","Maharashtra Cricket Association Stadium",35,0,24,"All","All",Inf,8.75
"Adam Milne",2017,"Royal Challengers Bangalore","Saurashtra Cricket Association Stadium",43,1,24,"All","All",43,10.75
"Adam Milne",2017,"Royal Challengers Bangalore","Wankhede Stadium",29,0,12,"All","All",Inf,14.5
