"Bowler","Season","Bowling_Team","Runs","Wickets","Balls","Stadium","Striker","Batting_Team","Average","Economy"
"Aaron Finch",2010,"Rajasthan Royals",5,0,7,"All","All","All",Inf,4.28571428571429
"Aaron Finch",2011,"Delhi Capitals",13,0,12,"All","All","All",Inf,6.5
"Aaron Finch",2013,"Pune Warriors",49,1,24,"All","All","All",49,12.25
"Aavishkar Salvi",2009,"Delhi Capitals",134,4,102,"All","All","All",33.5,7.88235294117647
"Aavishkar Salvi",2011,"Delhi Capitals",66,3,48,"All","All","All",22,8.25
"Abdul Samad",2020,"Sunrisers Hyderabad",96,1,42,"All","All","All",96,13.7142857142857
"Abdul Samad",2021,"Sunrisers Hyderabad",9,1,6,"All","All","All",9,9
"Abdul Samad",2022,"Sunrisers Hyderabad",8,0,6,"All","All","All",Inf,8
"Abdur Razzak",2008,"Royal Challengers Bangalore",29,0,12,"All","All","All",Inf,14.5
"Abhimanyu Mithun",2009,"Royal Challengers Bangalore",42,0,24,"All","All","All",Inf,10.5
"Abhimanyu Mithun",2010,"Royal Challengers Bangalore",39,1,18,"All","All","All",39,13
"Abhimanyu Mithun",2011,"Royal Challengers Bangalore",321,5,204,"All","All","All",64.2,9.44117647058824
"Abhimanyu Mithun",2012,"Royal Challengers Bangalore",33,0,18,"All","All","All",Inf,11
"Abhimanyu Mithun",2013,"Royal Challengers Bangalore",37,1,24,"All","All","All",37,9.25
"Abhishek Jhunjhunwala",2010,"Rajasthan Royals",69,0,37,"All","All","All",Inf,11.1891891891892
"Abhishek Jhunjhunwala",2011,"Pune Warriors",22,0,12,"All","All","All",Inf,11
"Abhishek Jhunjhunwala",2012,"Deccan Chargers",38,1,36,"All","All","All",38,6.33333333333333
"Abhishek Nayar",2008,"Mumbai Indians",68,1,42,"All","All","All",68,9.71428571428572
"Abhishek Nayar",2009,"Mumbai Indians",84,4,72,"All","All","All",21,7
"Abhishek Nayar",2011,"Punjab Kings",95,2,61,"All","All","All",47.5,9.34426229508197
"Abhishek Nayar",2012,"Punjab Kings",16,0,6,"All","All","All",Inf,16
"Abhishek Nayar",2013,"Pune Warriors",59,2,48,"All","All","All",29.5,7.375
"Abhishek Raut",2009,"Rajasthan Royals",36,0,24,"All","All","All",Inf,9
"Abhishek Raut",2011,"Rajasthan Royals",8,0,6,"All","All","All",Inf,8
"Abhishek Sharma",2019,"Sunrisers Hyderabad",21,1,12,"All","All","All",21,10.5
"Abhishek Sharma",2020,"Sunrisers Hyderabad",91,2,60,"All","All","All",45.5,9.1
"Abhishek Sharma",2021,"Sunrisers Hyderabad",64,4,60,"All","All","All",16,6.4
"Abhishek Sharma",2022,"Sunrisers Hyderabad",38,0,24,"All","All","All",Inf,9.5
"Abrar Kazi",2011,"Royal Challengers Bangalore",21,0,12,"All","All","All",Inf,10.5
"Abu Nechim",2010,"Mumbai Indians",26,0,12,"All","All","All",Inf,13
"Abu Nechim",2011,"Mumbai Indians",169,5,120,"All","All","All",33.8,8.45
"Abu Nechim",2012,"Mumbai Indians",17,0,12,"All","All","All",Inf,8.5
"Abu Nechim",2013,"Mumbai Indians",45,3,42,"All","All","All",15,6.42857142857143
"Abu Nechim",2014,"Royal Challengers Bangalore",113,3,86,"All","All","All",37.6666666666667,7.88372093023256
"Abu Nechim",2015,"Royal Challengers Bangalore",128,1,72,"All","All","All",128,10.6666666666667
"Adam Gilchrist",2013,"Punjab Kings",0,1,1,"All","All","All",0,0
"Adam Milne",2016,"Royal Challengers Bangalore",43,1,24,"All","All","All",43,10.75
"Adam Milne",2017,"Royal Challengers Bangalore",134,3,84,"All","All","All",44.6666666666667,9.57142857142857
"Adam Milne",2021,"Mumbai Indians",131,4,84,"All","All","All",32.75,9.35714285714286
"Adam Milne",2022,"Chennai Super Kings",19,0,15,"All","All","All",Inf,7.6
"Adam Voges",2010,"Rajasthan Royals",76,0,54,"All","All","All",Inf,8.44444444444444
"Adam Zampa",2016,"Rising Pune Supergiants",115,12,102,"All","All","All",9.58333333333333,6.76470588235294
"Adam Zampa",2017,"Rising Pune Supergiants",163,7,119,"All","All","All",23.2857142857143,8.21848739495798
"Adam Zampa",2020,"Royal Challengers Bangalore",92,2,66,"All","All","All",46,8.36363636363636
"Adil Rashid",2021,"Punjab Kings",35,0,18,"All","All","All",Inf,11.6666666666667
"Aditya Dole",2010,"Rajasthan Royals",112,5,66,"All","All","All",22.4,10.1818181818182
"Aiden Markram",2021,"Punjab Kings",23,0,24,"All","All","All",Inf,5.75
"Aiden Markram",2022,"Sunrisers Hyderabad",64,1,36,"All","All","All",64,10.6666666666667
"Ajantha Mendis",2008,"Kolkata Knight Riders",24,1,24,"All","All","All",24,6
"Ajantha Mendis",2009,"Kolkata Knight Riders",117,3,96,"All","All","All",39,7.3125
"Ajantha Mendis",2010,"Kolkata Knight Riders",66,2,48,"All","All","All",33,8.25
"Ajantha Mendis",2013,"Pune Warriors",78,2,72,"All","All","All",39,6.5
"Ajinkya Rahane",2009,"Mumbai Indians",5,1,6,"All","All","All",5,5
"Ajit Agarkar",2008,"Kolkata Knight Riders",207,8,156,"All","All","All",25.875,7.96153846153846
"Ajit Agarkar",2009,"Kolkata Knight Riders",284,6,186,"All","All","All",47.3333333333333,9.16129032258064
"Ajit Agarkar",2010,"Kolkata Knight Riders",203,4,132,"All","All","All",50.75,9.22727272727273
"Ajit Agarkar",2011,"Delhi Capitals",231,8,162,"All","All","All",28.875,8.55555555555556
"Ajit Agarkar",2012,"Delhi Capitals",134,3,86,"All","All","All",44.6666666666667,9.34883720930233
"Ajit Agarkar",2013,"Delhi Capitals",92,0,60,"All","All","All",Inf,9.2
"Ajit Chandila",2012,"Rajasthan Royals",86,5,84,"All","All","All",17.2,6.14285714285714
"Ajit Chandila",2013,"Rajasthan Royals",156,6,150,"All","All","All",26,6.24
"Akash Deep",2022,"Royal Challengers Bangalore",205,5,113,"All","All","All",41,10.8849557522124
"Akash Singh",2021,"Rajasthan Royals",39,0,24,"All","All","All",Inf,9.75
"Akila Dananjaya",2018,"Mumbai Indians",47,0,24,"All","All","All",Inf,11.75
"Albie Morkel",2008,"Chennai Super Kings",399,17,288,"All","All","All",23.4705882352941,8.3125
"Albie Morkel",2009,"Chennai Super Kings",324,13,240,"All","All","All",24.9230769230769,8.1
"Albie Morkel",2010,"Chennai Super Kings",405,11,286,"All","All","All",36.8181818181818,8.4965034965035
"Albie Morkel",2011,"Chennai Super Kings",381,15,270,"All","All","All",25.4,8.46666666666667
"Albie Morkel",2012,"Chennai Super Kings",385,13,297,"All","All","All",29.6153846153846,7.77777777777778
"Albie Morkel",2013,"Chennai Super Kings",159,7,144,"All","All","All",22.7142857142857,6.625
"Albie Morkel",2014,"Royal Challengers Bangalore",126,4,96,"All","All","All",31.5,7.875
"Albie Morkel",2015,"Delhi Capitals",109,3,72,"All","All","All",36.3333333333333,9.08333333333333
"Albie Morkel",2016,"Rising Pune Supergiants",66,2,30,"All","All","All",33,13.2
"Alfonso Thomas",2011,"Pune Warriors",297,11,231,"All","All","All",27,7.71428571428572
"Alfonso Thomas",2012,"Pune Warriors",109,3,84,"All","All","All",36.3333333333333,7.78571428571429
"Ali Murtaza",2010,"Mumbai Indians",91,3,72,"All","All","All",30.3333333333333,7.58333333333333
"Ali Murtaza",2011,"Mumbai Indians",117,3,120,"All","All","All",39,5.85
"Ali Murtaza",2012,"Pune Warriors",11,0,12,"All","All","All",Inf,5.5
"Ali Murtaza",2013,"Pune Warriors",94,3,60,"All","All","All",31.3333333333333,9.4
"Alzarri Joseph",2019,"Mumbai Indians",87,6,52,"All","All","All",14.5,10.0384615384615
"Alzarri Joseph",2022,"Gujarat Titans",264,7,180,"All","All","All",37.7142857142857,8.8
"Aman Hakim Khan",2022,"Kolkata Knight Riders",13,0,6,"All","All","All",Inf,13
"Amit Mishra",2008,"Delhi Capitals",138,11,119,"All","All","All",12.5454545454545,6.95798319327731
"Amit Mishra",2009,"Delhi Capitals",294,14,252,"All","All","All",21,7
"Amit Mishra",2010,"Delhi Capitals",363,17,318,"All","All","All",21.3529411764706,6.84905660377358
"Amit Mishra",2011,"Deccan Chargers",358,19,320,"All","All","All",18.8421052631579,6.7125
"Amit Mishra",2012,"Deccan Chargers",377,13,282,"All","All","All",29,8.02127659574468
"Amit Mishra",2013,"Sunrisers Hyderabad",394,21,372,"All","All","All",18.7619047619048,6.35483870967742
"Amit Mishra",2014,"Sunrisers Hyderabad",340,7,225,"All","All","All",48.5714285714286,9.06666666666667
"Amit Mishra",2015,"Delhi Capitals",310,9,241,"All","All","All",34.4444444444444,7.71784232365145
"Amit Mishra",2016,"Delhi Capitals",344,13,276,"All","All","All",26.4615384615385,7.47826086956522
"Amit Mishra",2017,"Delhi Capitals",343,10,233,"All","All","All",34.3,8.83261802575107
"Amit Mishra",2018,"Delhi Capitals",264,12,222,"All","All","All",22,7.13513513513514
"Amit Mishra",2019,"Delhi Capitals",270,11,240,"All","All","All",24.5454545454545,6.75
"Amit Mishra",2020,"Delhi Capitals",72,3,60,"All","All","All",24,7.2
"Amit Mishra",2021,"Delhi Capitals",109,6,84,"All","All","All",18.1666666666667,7.78571428571429
"Amit Singh",2009,"Rajasthan Royals",95,9,105,"All","All","All",10.5555555555556,5.42857142857143
"Amit Singh",2011,"Rajasthan Royals",215,9,171,"All","All","All",23.8888888888889,7.54385964912281
"Amit Singh",2012,"Rajasthan Royals",310,10,197,"All","All","All",31,9.44162436548223
"Amit Uniyal",2010,"Rajasthan Royals",66,2,36,"All","All","All",33,11
"Anand Rajan",2011,"Deccan Chargers",50,3,30,"All","All","All",16.6666666666667,10
"Anand Rajan",2012,"Deccan Chargers",109,3,71,"All","All","All",36.3333333333333,9.2112676056338
"Anand Rajan",2013,"Sunrisers Hyderabad",42,2,48,"All","All","All",21,5.25
"Andre Nel",2008,"Mumbai Indians",31,1,18,"All","All","All",31,10.3333333333333
"Andre Russell",2012,"Delhi Capitals",161,1,96,"All","All","All",161,10.0625
"Andre Russell",2013,"Delhi Capitals",68,0,42,"All","All","All",Inf,9.71428571428572
"Andre Russell",2014,"Kolkata Knight Riders",52,1,30,"All","All","All",52,10.4
"Andre Russell",2015,"Kolkata Knight Riders",324,14,244,"All","All","All",23.1428571428571,7.9672131147541
"Andre Russell",2016,"Kolkata Knight Riders",291,15,219,"All","All","All",19.4,7.97260273972603
"Andre Russell",2018,"Kolkata Knight Riders",355,13,227,"All","All","All",27.3076923076923,9.38325991189427
"Andre Russell",2019,"Kolkata Knight Riders",287,11,181,"All","All","All",26.0909090909091,9.51381215469613
"Andre Russell",2020,"Kolkata Knight Riders",175,6,108,"All","All","All",29.1666666666667,9.72222222222222
"Andre Russell",2021,"Kolkata Knight Riders",188,11,114,"All","All","All",17.0909090909091,9.89473684210526
"Andre Russell",2022,"Kolkata Knight Riders",278,17,169,"All","All","All",16.3529411764706,9.8698224852071
"Andrew Flintoff",2009,"Chennai Super Kings",105,2,66,"All","All","All",52.5,9.54545454545454
"Andrew McDonald",2009,"Delhi Capitals",22,0,18,"All","All","All",Inf,7.33333333333333
"Andrew McDonald",2010,"Delhi Capitals",138,5,84,"All","All","All",27.6,9.85714285714286
"Andrew McDonald",2011,"Delhi Capitals",23,0,12,"All","All","All",Inf,11.5
"Andrew McDonald",2012,"Royal Challengers Bangalore",61,5,60,"All","All","All",12.2,6.1
"Andrew McDonald",2013,"Royal Challengers Bangalore",17,1,12,"All","All","All",17,8.5
"Andrew Symonds",2008,"Deccan Chargers",101,0,41,"All","All","All",Inf,14.780487804878
"Andrew Symonds",2009,"Deccan Chargers",160,7,144,"All","All","All",22.8571428571429,6.66666666666667
"Andrew Symonds",2010,"Deccan Chargers",372,12,318,"All","All","All",31,7.0188679245283
"Andrew Symonds",2011,"Mumbai Indians",41,1,24,"All","All","All",41,10.25
"Andrew Tye",2017,"Gujarat Lions",141,12,126,"All","All","All",11.75,6.71428571428571
"Andrew Tye",2018,"Punjab Kings",448,24,336,"All","All","All",18.6666666666667,8
"Andrew Tye",2019,"Punjab Kings",233,3,132,"All","All","All",77.6666666666667,10.5909090909091
"Andrew Tye",2020,"Rajasthan Royals",50,1,24,"All","All","All",50,12.5
"Andrew Tye",2022,"Lucknow Super Giants",107,2,66,"All","All","All",53.5,9.72727272727273
"Angelo Mathews",2009,"Kolkata Knight Riders",31,0,14,"All","All","All",Inf,13.2857142857143
"Angelo Mathews",2010,"Kolkata Knight Riders",314,8,225,"All","All","All",39.25,8.37333333333333
"Angelo Mathews",2012,"Pune Warriors",192,7,156,"All","All","All",27.4285714285714,7.38461538461539
"Angelo Mathews",2013,"Pune Warriors",240,5,186,"All","All","All",48,7.74193548387097
"Angelo Mathews",2015,"Delhi Capitals",246,7,180,"All","All","All",35.1428571428571,8.2
"Angelo Mathews",2017,"Delhi Capitals",56,0,30,"All","All","All",Inf,11.2
"Aniket Choudhary",2017,"Royal Challengers Bangalore",144,5,101,"All","All","All",28.8,8.55445544554455
"Anil Kumble",2008,"Royal Challengers Bangalore",304,7,230,"All","All","All",43.4285714285714,7.9304347826087
"Anil Kumble",2009,"Royal Challengers Bangalore",347,21,355,"All","All","All",16.5238095238095,5.86478873239437
"Anil Kumble",2010,"Royal Challengers Bangalore",407,17,380,"All","All","All",23.9411764705882,6.42631578947369
"Ankeet Chavan",2011,"Rajasthan Royals",27,0,30,"All","All","All",Inf,5.4
"Ankeet Chavan",2012,"Rajasthan Royals",236,7,164,"All","All","All",33.7142857142857,8.63414634146341
"Ankeet Chavan",2013,"Rajasthan Royals",63,1,54,"All","All","All",63,7
"Ankit Rajpoot",2013,"Chennai Super Kings",35,1,24,"All","All","All",35,8.75
"Ankit Rajpoot",2016,"Kolkata Knight Riders",98,3,66,"All","All","All",32.6666666666667,8.90909090909091
"Ankit Rajpoot",2017,"Kolkata Knight Riders",107,4,84,"All","All","All",26.75,7.64285714285714
"Ankit Rajpoot",2018,"Punjab Kings",223,11,157,"All","All","All",20.2727272727273,8.52229299363057
"Ankit Rajpoot",2019,"Punjab Kings",152,3,96,"All","All","All",50.6666666666667,9.5
"Ankit Rajpoot",2020,"Rajasthan Royals",199,2,102,"All","All","All",99.5,11.7058823529412
"Ankit Sharma",2012,"Deccan Chargers",165,4,145,"All","All","All",41.25,6.82758620689655
"Ankit Sharma",2013,"Sunrisers Hyderabad",17,0,12,"All","All","All",Inf,8.5
"Ankit Sharma",2014,"Rajasthan Royals",43,4,48,"All","All","All",10.75,5.375
"Ankit Sharma",2015,"Rajasthan Royals",114,3,84,"All","All","All",38,8.14285714285714
"Ankit Sharma",2016,"Rising Pune Supergiants",84,1,66,"All","All","All",84,7.63636363636364
"Ankit Sharma",2017,"Rising Pune Supergiants",16,0,6,"All","All","All",Inf,16
"Ankit Sharma",2018,"Rajasthan Royals",11,0,6,"All","All","All",Inf,11
"Ankit Soni",2017,"Gujarat Lions",144,2,109,"All","All","All",72,7.92660550458716
"Anrich Nortje",2020,"Delhi Capitals",512,22,366,"All","All","All",23.2727272727273,8.39344262295082
"Anrich Nortje",2021,"Delhi Capitals",187,12,182,"All","All","All",15.5833333333333,6.16483516483516
"Anrich Nortje",2022,"Delhi Capitals",217,9,134,"All","All","All",24.1111111111111,9.71641791044776
"Anukul Roy",2019,"Mumbai Indians",11,1,12,"All","All","All",11,5.5
"Anukul Roy",2022,"Kolkata Knight Riders",55,1,42,"All","All","All",55,7.85714285714286
"Anureet Singh",2009,"Kolkata Knight Riders",47,2,30,"All","All","All",23.5,9.4
"Anureet Singh",2015,"Punjab Kings",465,15,310,"All","All","All",31,9
"Anureet Singh",2016,"Punjab Kings",43,0,36,"All","All","All",Inf,7.16666666666667
"Anureet Singh",2017,"Punjab Kings",26,0,12,"All","All","All",Inf,13
"Anureet Singh",2018,"Rajasthan Royals",42,1,24,"All","All","All",42,10.5
"Arshdeep Singh",2019,"Punjab Kings",109,3,60,"All","All","All",36.3333333333333,10.9
"Arshdeep Singh",2020,"Punjab Kings",218,9,149,"All","All","All",24.2222222222222,8.77852348993289
