"Bowler","Season","Batting_Team","Stadium","Runs","Wickets","Balls","Bowling_Team","Striker","Average","Economy"
"Aaron Finch",2010,"Kolkata Knight Riders","Eden Gardens",5,0,7,"All","All",Inf,4.28571428571429
"Aaron Finch",2011,"Mumbai Indians","Feroz Shah Kotla",13,0,12,"All","All",Inf,6.5
"Aaron Finch",2013,"Chennai Super Kings","MA Chidambaram Stadium",9,0,6,"All","All",Inf,9
"Aaron Finch",2013,"Mumbai Indians","Wankhede Stadium",11,1,12,"All","All",11,5.5
"Aaron Finch",2013,"Royal Challengers Bangalore","M Chinnaswamy Stadium",29,0,6,"All","All",Inf,29
"Aavishkar Salvi",2009,"Chennai Super Kings","Kingsmead",41,0,18,"All","All",Inf,13.6666666666667
"Aavishkar Salvi",2009,"Mumbai Indians","SuperSport Park",27,1,24,"All","All",27,6.75
"Aavishkar Salvi",2009,"Punjab Kings","Newlands",17,1,12,"All","All",17,8.5
"Aavishkar Salvi",2009,"Rajasthan Royals","OUTsurance Oval",19,2,24,"All","All",9.5,4.75
"Aavishkar Salvi",2009,"Royal Challengers Bangalore","New Wanderers Stadium",30,0,24,"All","All",Inf,7.5
"Aavishkar Salvi",2011,"Deccan Chargers","Rajiv Gandhi International Stadium",26,1,24,"All","All",26,6.5
"Aavishkar Salvi",2011,"Punjab Kings","Himachal Pradesh Cricket Association Stadium",40,2,24,"All","All",20,10
"Abdul Samad",2020,"Chennai Super Kings","Dubai International Cricket Stadium",41,1,24,"All","All",41,10.25
"Abdul Samad",2020,"Mumbai Indians","Sharjah Cricket Stadium",27,0,12,"All","All",Inf,13.5
"Abdul Samad",2020,"Punjab Kings","Dubai International Cricket Stadium",28,0,6,"All","All",Inf,28
"Abdul Samad",2021,"Punjab Kings","Sharjah Cricket Stadium",9,1,6,"All","All",9,9
"Abdul Samad",2022,"Lucknow Super Giants","Dr DY Patil Sports Academy",8,0,6,"All","All",Inf,8
"Abdur Razzak",2008,"Rajasthan Royals","Sawai Mansingh Stadium",29,0,12,"All","All",Inf,14.5
"Abhimanyu Mithun",2009,"Mumbai Indians","St George's Park",42,0,24,"All","All",Inf,10.5
"Abhimanyu Mithun",2010,"Delhi Capitals","Feroz Shah Kotla",39,1,18,"All","All",39,13
"Abhimanyu Mithun",2011,"Chennai Super Kings","M Chinnaswamy Stadium",35,1,24,"All","All",35,8.75
"Abhimanyu Mithun",2011,"Chennai Super Kings","MA Chidambaram Stadium",22,0,12,"All","All",Inf,11
"Abhimanyu Mithun",2011,"Chennai Super Kings","Wankhede Stadium",32,1,18,"All","All",32,10.6666666666667
"Abhimanyu Mithun",2011,"Delhi Capitals","Feroz Shah Kotla",37,2,24,"All","All",18.5,9.25
"Abhimanyu Mithun",2011,"Kochi Tuskers Kerala","M Chinnaswamy Stadium",21,1,18,"All","All",21,7
"Abhimanyu Mithun",2011,"Kochi Tuskers Kerala","Nehru Stadium",19,0,6,"All","All",Inf,19
"Abhimanyu Mithun",2011,"Kolkata Knight Riders","M Chinnaswamy Stadium",14,0,12,"All","All",Inf,7
"Abhimanyu Mithun",2011,"Mumbai Indians","M Chinnaswamy Stadium",31,0,18,"All","All",Inf,10.3333333333333
"Abhimanyu Mithun",2011,"Mumbai Indians","MA Chidambaram Stadium",26,0,12,"All","All",Inf,13
"Abhimanyu Mithun",2011,"Pune Warriors","M Chinnaswamy Stadium",26,0,24,"All","All",Inf,6.5
"Abhimanyu Mithun",2011,"Punjab Kings","Himachal Pradesh Cricket Association Stadium",29,0,18,"All","All",Inf,9.66666666666667
"Abhimanyu Mithun",2011,"Punjab Kings","M Chinnaswamy Stadium",29,0,18,"All","All",Inf,9.66666666666667
