"Bowler","Season","Batting_Team","Bowling_Team","Runs","Wickets","Balls","Striker","Stadium","Average","Economy"
"Aaron Finch",2010,"Kolkata Knight Riders","Rajasthan Royals",5,0,7,"All","All",Inf,4.28571428571429
"Aaron Finch",2011,"Mumbai Indians","Delhi Capitals",13,0,12,"All","All",Inf,6.5
"Aaron Finch",2013,"Chennai Super Kings","Pune Warriors",9,0,6,"All","All",Inf,9
"Aaron Finch",2013,"Mumbai Indians","Pune Warriors",11,1,12,"All","All",11,5.5
"Aaron Finch",2013,"Royal Challengers Bangalore","Pune Warriors",29,0,6,"All","All",Inf,29
"Aavishkar Salvi",2009,"Chennai Super Kings","Delhi Capitals",41,0,18,"All","All",Inf,13.6666666666667
"Aavishkar Salvi",2009,"Mumbai Indians","Delhi Capitals",27,1,24,"All","All",27,6.75
"Aavishkar Salvi",2009,"Punjab Kings","Delhi Capitals",17,1,12,"All","All",17,8.5
"Aavishkar Salvi",2009,"Rajasthan Royals","Delhi Capitals",19,2,24,"All","All",9.5,4.75
"Aavishkar Salvi",2009,"Royal Challengers Bangalore","Delhi Capitals",30,0,24,"All","All",Inf,7.5
"Aavishkar Salvi",2011,"Deccan Chargers","Delhi Capitals",26,1,24,"All","All",26,6.5
"Aavishkar Salvi",2011,"Punjab Kings","Delhi Capitals",40,2,24,"All","All",20,10
"Abdul Samad",2020,"Chennai Super Kings","Sunrisers Hyderabad",41,1,24,"All","All",41,10.25
"Abdul Samad",2020,"Mumbai Indians","Sunrisers Hyderabad",27,0,12,"All","All",Inf,13.5
"Abdul Samad",2020,"Punjab Kings","Sunrisers Hyderabad",28,0,6,"All","All",Inf,28
"Abdul Samad",2021,"Punjab Kings","Sunrisers Hyderabad",9,1,6,"All","All",9,9
"Abdul Samad",2022,"Lucknow Super Giants","Sunrisers Hyderabad",8,0,6,"All","All",Inf,8
"Abdur Razzak",2008,"Rajasthan Royals","Royal Challengers Bangalore",29,0,12,"All","All",Inf,14.5
"Abhimanyu Mithun",2009,"Mumbai Indians","Royal Challengers Bangalore",42,0,24,"All","All",Inf,10.5
"Abhimanyu Mithun",2010,"Delhi Capitals","Royal Challengers Bangalore",39,1,18,"All","All",39,13
"Abhimanyu Mithun",2011,"Chennai Super Kings","Royal Challengers Bangalore",89,2,54,"All","All",44.5,9.88888888888889
"Abhimanyu Mithun",2011,"Delhi Capitals","Royal Challengers Bangalore",37,2,24,"All","All",18.5,9.25
"Abhimanyu Mithun",2011,"Kochi Tuskers Kerala","Royal Challengers Bangalore",40,1,24,"All","All",40,10
"Abhimanyu Mithun",2011,"Kolkata Knight Riders","Royal Challengers Bangalore",14,0,12,"All","All",Inf,7
"Abhimanyu Mithun",2011,"Mumbai Indians","Royal Challengers Bangalore",57,0,30,"All","All",Inf,11.4
"Abhimanyu Mithun",2011,"Pune Warriors","Royal Challengers Bangalore",26,0,24,"All","All",Inf,6.5
"Abhimanyu Mithun",2011,"Punjab Kings","Royal Challengers Bangalore",58,0,36,"All","All",Inf,9.66666666666667
"Abhimanyu Mithun",2012,"Deccan Chargers","Royal Challengers Bangalore",33,0,18,"All","All",Inf,11
"Abhimanyu Mithun",2013,"Kolkata Knight Riders","Royal Challengers Bangalore",37,1,24,"All","All",37,9.25
"Abhishek Jhunjhunwala",2010,"Chennai Super Kings","Rajasthan Royals",18,0,12,"All","All",Inf,9
"Abhishek Jhunjhunwala",2010,"Deccan Chargers","Rajasthan Royals",16,0,6,"All","All",Inf,16
"Abhishek Jhunjhunwala",2010,"Delhi Capitals","Rajasthan Royals",2,0,1,"All","All",Inf,12
"Abhishek Jhunjhunwala",2010,"Mumbai Indians","Rajasthan Royals",33,0,18,"All","All",Inf,11
"Abhishek Jhunjhunwala",2011,"Delhi Capitals","Pune Warriors",11,0,6,"All","All",Inf,11
"Abhishek Jhunjhunwala",2011,"Punjab Kings","Pune Warriors",11,0,6,"All","All",Inf,11
"Abhishek Jhunjhunwala",2012,"Chennai Super Kings","Deccan Chargers",13,1,18,"All","All",13,4.33333333333333
"Abhishek Jhunjhunwala",2012,"Punjab Kings","Deccan Chargers",25,0,18,"All","All",Inf,8.33333333333333
"Abhishek Nayar",2008,"Chennai Super Kings","Mumbai Indians",14,0,6,"All","All",Inf,14
"Abhishek Nayar",2008,"Deccan Chargers","Mumbai Indians",40,1,24,"All","All",40,10
"Abhishek Nayar",2008,"Rajasthan Royals","Mumbai Indians",4,0,6,"All","All",Inf,4
"Abhishek Nayar",2008,"Royal Challengers Bangalore","Mumbai Indians",10,0,6,"All","All",Inf,10
"Abhishek Nayar",2009,"Delhi Capitals","Mumbai Indians",25,0,12,"All","All",Inf,12.5
"Abhishek Nayar",2009,"Kolkata Knight Riders","Mumbai Indians",33,4,36,"All","All",8.25,5.5
"Abhishek Nayar",2009,"Royal Challengers Bangalore","Mumbai Indians",26,0,24,"All","All",Inf,6.5
"Abhishek Nayar",2011,"Chennai Super Kings","Punjab Kings",24,0,12,"All","All",Inf,12
"Abhishek Nayar",2011,"Deccan Chargers","Punjab Kings",10,0,6,"All","All",Inf,10
"Abhishek Nayar",2011,"Delhi Capitals","Punjab Kings",22,1,12,"All","All",22,11
"Abhishek Nayar",2011,"Pune Warriors","Punjab Kings",27,1,19,"All","All",27,8.52631578947368
"Abhishek Nayar",2011,"Rajasthan Royals","Punjab Kings",3,0,6,"All","All",Inf,3
"Abhishek Nayar",2011,"Royal Challengers Bangalore","Punjab Kings",9,0,6,"All","All",Inf,9
"Abhishek Nayar",2012,"Royal Challengers Bangalore","Punjab Kings",16,0,6,"All","All",Inf,16
"Abhishek Nayar",2013,"Chennai Super Kings","Pune Warriors",44,1,36,"All","All",44,7.33333333333333
"Abhishek Nayar",2013,"Delhi Capitals","Pune Warriors",15,1,12,"All","All",15,7.5
"Abhishek Raut",2009,"Deccan Chargers","Rajasthan Royals",20,0,12,"All","All",Inf,10
"Abhishek Raut",2009,"Delhi Capitals","Rajasthan Royals",10,0,6,"All","All",Inf,10
"Abhishek Raut",2009,"Royal Challengers Bangalore","Rajasthan Royals",6,0,6,"All","All",Inf,6
"Abhishek Raut",2011,"Punjab Kings","Rajasthan Royals",8,0,6,"All","All",Inf,8
"Abhishek Sharma",2019,"Delhi Capitals","Sunrisers Hyderabad",10,1,6,"All","All",10,10
"Abhishek Sharma",2019,"Punjab Kings","Sunrisers Hyderabad",11,0,6,"All","All",Inf,11
"Abhishek Sharma",2020,"Chennai Super Kings","Sunrisers Hyderabad",4,0,6,"All","All",Inf,4
"Abhishek Sharma",2020,"Delhi Capitals","Sunrisers Hyderabad",34,0,24,"All","All",Inf,8.5
"Abhishek Sharma",2020,"Kolkata Knight Riders","Sunrisers Hyderabad",11,0,6,"All","All",Inf,11
"Abhishek Sharma",2020,"Punjab Kings","Sunrisers Hyderabad",15,1,6,"All","All",15,15
"Abhishek Sharma",2020,"Rajasthan Royals","Sunrisers Hyderabad",11,0,6,"All","All",Inf,11
"Abhishek Sharma",2020,"Royal Challengers Bangalore","Sunrisers Hyderabad",16,1,12,"All","All",16,8
