"Batting_Team","Striker","Bowling_Team","Stadium","Season","Runs","Wickets","Balls","Average","Strike_Rate"
"Chennai Super Kings","Abhinav Mukund","Rajasthan Royals","MA Chidambaram Stadium",2008,0,1,1,0,0
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Buffalo Park",2009,4,0,5,Inf,80
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Dr DY Patil Sports Academy",2010,4,1,4,4,100
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,2,0,3,Inf,66.6666666666667
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Kingsmead",2009,13,1,7,13,185.714285714286
"Chennai Super Kings","Albie Morkel","Deccan Chargers","MA Chidambaram Stadium",2008,29,0,19,Inf,152.631578947368
"Chennai Super Kings","Albie Morkel","Deccan Chargers","MA Chidambaram Stadium",2010,42,0,26,Inf,161.538461538462
"Chennai Super Kings","Albie Morkel","Deccan Chargers","MA Chidambaram Stadium",2011,19,1,6,19,316.666666666667
"Chennai Super Kings","Albie Morkel","Deccan Chargers","MA Chidambaram Stadium",2012,13,1,9,13,144.444444444444
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Rajiv Gandhi International Stadium",2008,12,0,12,Inf,100
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Feroz Shah Kotla",2008,30,1,15,30,200
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Feroz Shah Kotla",2010,0,1,3,0,0
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Feroz Shah Kotla",2012,2,0,3,Inf,66.6666666666667
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Kingsmead",2009,13,0,14,Inf,92.8571428571429
"Chennai Super Kings","Albie Morkel","Delhi Capitals","MA Chidambaram Stadium",2008,28,1,16,28,175
"Chennai Super Kings","Albie Morkel","Delhi Capitals","MA Chidambaram Stadium",2010,1,1,4,1,25
"Chennai Super Kings","Albie Morkel","Delhi Capitals","MA Chidambaram Stadium",2012,0,1,1,0,0
"Chennai Super Kings","Albie Morkel","Delhi Capitals","New Wanderers Stadium",2009,6,1,4,6,150
"Chennai Super Kings","Albie Morkel","Kochi Tuskers Kerala","MA Chidambaram Stadium",2011,13,0,10,Inf,130
"Chennai Super Kings","Albie Morkel","Kochi Tuskers Kerala","Nehru Stadium",2011,9,0,4,Inf,225
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","Eden Gardens",2011,30,0,30,Inf,100
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","MA Chidambaram Stadium",2011,15,0,9,Inf,166.666666666667
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","MA Chidambaram Stadium",2012,13,0,8,Inf,162.5
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","SuperSport Park",2009,21,0,10,Inf,210
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Dr DY Patil Sports Academy",2010,15,1,6,15,250
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Eden Gardens",2013,10,1,10,10,100
"Chennai Super Kings","Albie Morkel","Mumbai Indians","MA Chidambaram Stadium",2012,3,1,8,3,37.5
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Wankhede Stadium",2008,5,1,4,5,125
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Wankhede Stadium",2011,3,1,4,3,75
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Wankhede Stadium",2012,3,1,3,3,100
"Chennai Super Kings","Albie Morkel","Pune Warriors","MA Chidambaram Stadium",2011,0,1,4,0,0
"Chennai Super Kings","Albie Morkel","Pune Warriors","MA Chidambaram Stadium",2013,13,1,11,13,118.181818181818
"Chennai Super Kings","Albie Morkel","Pune Warriors","Subrata Roy Sahara Stadium",2012,3,0,3,Inf,100
"Chennai Super Kings","Albie Morkel","Punjab Kings","Himachal Pradesh Cricket Association Stadium",2010,14,0,8,Inf,175
"Chennai Super Kings","Albie Morkel","Punjab Kings","Himachal Pradesh Cricket Association Stadium",2012,14,1,8,14,175
"Chennai Super Kings","Albie Morkel","Punjab Kings","MA Chidambaram Stadium",2008,7,0,6,Inf,116.666666666667
"Chennai Super Kings","Albie Morkel","Punjab Kings","MA Chidambaram Stadium",2010,12,0,12,Inf,100
"Chennai Super Kings","Albie Morkel","Punjab Kings","MA Chidambaram Stadium",2012,8,1,9,8,88.8888888888889
