"Bowling_Team","Bowler","Batting_Team","Stadium","Season","Runs","Wickets","Balls","Average","Economy"
"Chennai Super Kings","Adam Milne","Kolkata Knight Riders","Wankhede Stadium",2022,19,0,15,Inf,7.6
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Buffalo Park",2009,24,2,18,12,8
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Dr DY Patil Sports Academy",2010,15,1,18,15,5
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,20,0,12,Inf,10
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Kingsmead",2009,25,0,18,Inf,8.33333333333333
"Chennai Super Kings","Albie Morkel","Deccan Chargers","MA Chidambaram Stadium",2008,26,1,24,26,6.5
"Chennai Super Kings","Albie Morkel","Deccan Chargers","MA Chidambaram Stadium",2010,41,0,24,Inf,10.25
"Chennai Super Kings","Albie Morkel","Deccan Chargers","MA Chidambaram Stadium",2011,38,3,24,12.6666666666667,9.5
"Chennai Super Kings","Albie Morkel","Deccan Chargers","MA Chidambaram Stadium",2012,16,1,18,16,5.33333333333333
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Rajiv Gandhi International Stadium",2008,37,2,24,18.5,9.25
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Feroz Shah Kotla",2008,35,2,24,17.5,8.75
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Feroz Shah Kotla",2010,26,0,18,Inf,8.66666666666667
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Feroz Shah Kotla",2012,24,0,12,Inf,12
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Feroz Shah Kotla",2013,13,1,18,13,4.33333333333333
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Kingsmead",2009,41,1,24,41,10.25
"Chennai Super Kings","Albie Morkel","Delhi Capitals","MA Chidambaram Stadium",2008,40,0,24,Inf,10
"Chennai Super Kings","Albie Morkel","Delhi Capitals","MA Chidambaram Stadium",2010,16,0,16,Inf,6
"Chennai Super Kings","Albie Morkel","Delhi Capitals","MA Chidambaram Stadium",2011,36,1,18,36,12
"Chennai Super Kings","Albie Morkel","Delhi Capitals","MA Chidambaram Stadium",2012,43,2,42,21.5,6.14285714285714
"Chennai Super Kings","Albie Morkel","Delhi Capitals","MA Chidambaram Stadium",2013,32,3,24,10.6666666666667,8
