"Striker","Season","Bowler","Batting_Team","Bowling_Team","Runs","Dismissed","Balls","Run_Out","Stadium","Average","Strike_Rate"
"AB de Villiers",2008,"Albie Morkel","Delhi Capitals","Chennai Super Kings",3,1,3,0,"All",3,100
"AB de Villiers",2008,"Anil Kumble","Delhi Capitals","Royal Challengers Bangalore",9,0,11,0,"All",Inf,81.8181818181818
"AB de Villiers",2008,"Ashish Nehra","Delhi Capitals","Mumbai Indians",11,0,3,0,"All",Inf,366.666666666667
"AB de Villiers",2008,"Ashok Dinda","Delhi Capitals","Kolkata Knight Riders",1,0,1,0,"All",Inf,100
"AB de Villiers",2008,"Balachandra Akhil","Delhi Capitals","Royal Challengers Bangalore",9,0,9,0,"All",Inf,100
"AB de Villiers",2008,"Dale Steyn","Delhi Capitals","Royal Challengers Bangalore",0,1,2,0,"All",0,0
"AB de Villiers",2008,"Dimitri Mascarenhas","Delhi Capitals","Rajasthan Royals",2,1,4,0,"All",2,50
"AB de Villiers",2008,"Dwayne Bravo","Delhi Capitals","Mumbai Indians",7,0,5,0,"All",Inf,140
"AB de Villiers",2008,"Ishant Sharma","Delhi Capitals","Kolkata Knight Riders",2,0,2,0,"All",Inf,100
"AB de Villiers",2008,"Jacques Kallis","Delhi Capitals","Royal Challengers Bangalore",3,0,3,0,"All",Inf,100
"AB de Villiers",2008,"Joginder Sharma","Delhi Capitals","Chennai Super Kings",4,0,5,0,"All",Inf,80
"AB de Villiers",2008,"Makhaya Ntini","Delhi Capitals","Chennai Super Kings",3,0,3,0,"All",Inf,100
"AB de Villiers",2008,"Manpreet Gony","Delhi Capitals","Chennai Super Kings",8,0,6,0,"All",Inf,133.333333333333
"AB de Villiers",2008,"Muthiah Muralidaran","Delhi Capitals","Chennai Super Kings",8,0,5,0,"All",Inf,160
"AB de Villiers",2008,"Shane Warne","Delhi Capitals","Rajasthan Royals",10,0,10,0,"All",Inf,100
"AB de Villiers",2008,"Shaun Pollock","Delhi Capitals","Mumbai Indians",3,0,9,0,"All",Inf,33.3333333333333
"AB de Villiers",2008,"Shoaib Akhtar","Delhi Capitals","Kolkata Knight Riders",4,1,9,0,"All",4,44.4444444444444
"AB de Villiers",2008,"Siddharth Trivedi","Delhi Capitals","Rajasthan Royals",8,0,8,0,"All",Inf,100
"AB de Villiers",2009,"Abhishek Raut","Delhi Capitals","Rajasthan Royals",10,0,5,0,"All",Inf,200
"AB de Villiers",2009,"Ajit Agarkar","Delhi Capitals","Kolkata Knight Riders",6,0,5,0,"All",Inf,120
"AB de Villiers",2009,"Albie Morkel","Delhi Capitals","Chennai Super Kings",21,0,10,0,"All",Inf,210
"AB de Villiers",2009,"Amit Singh","Delhi Capitals","Rajasthan Royals",11,0,7,0,"All",Inf,157.142857142857
"AB de Villiers",2009,"Andrew Flintoff","Delhi Capitals","Chennai Super Kings",34,0,12,0,"All",Inf,283.333333333333
"AB de Villiers",2009,"Andrew Symonds","Delhi Capitals","Deccan Chargers",8,0,7,0,"All",Inf,114.285714285714
"AB de Villiers",2009,"Anil Kumble","Delhi Capitals","Royal Challengers Bangalore",14,0,18,0,"All",Inf,77.7777777777778
"AB de Villiers",2009,"Balachandra Akhil","Delhi Capitals","Royal Challengers Bangalore",7,0,5,0,"All",Inf,140
"AB de Villiers",2009,"Chaminda Vaas","Delhi Capitals","Deccan Chargers",3,0,4,0,"All",Inf,75
"AB de Villiers",2009,"Dimitri Mascarenhas","Delhi Capitals","Rajasthan Royals",3,0,4,0,"All",Inf,75
"AB de Villiers",2009,"Dwayne Smith","Delhi Capitals","Deccan Chargers",14,1,11,0,"All",14,127.272727272727
"AB de Villiers",2009,"Harbhajan Singh","Delhi Capitals","Mumbai Indians",18,1,15,0,"All",18,120
"AB de Villiers",2009,"Harmeet Singh","Delhi Capitals","Deccan Chargers",4,0,7,0,"All",Inf,57.1428571428571
"AB de Villiers",2009,"Irfan Pathan","Delhi Capitals","Punjab Kings",2,0,3,0,"All",Inf,66.6666666666667
"AB de Villiers",2009,"Ishant Sharma","Delhi Capitals","Kolkata Knight Riders",3,0,3,0,"All",Inf,100
"AB de Villiers",2009,"Jacques Kallis","Delhi Capitals","Royal Challengers Bangalore",11,0,13,0,"All",Inf,84.6153846153846
"AB de Villiers",2009,"Jean-Paul Duminy","Delhi Capitals","Mumbai Indians",7,0,12,0,"All",Inf,58.3333333333333
"AB de Villiers",2009,"Joginder Sharma","Delhi Capitals","Chennai Super Kings",2,0,2,0,"All",Inf,100
"AB de Villiers",2009,"Johan Botha","Delhi Capitals","Rajasthan Royals",10,0,8,0,"All",Inf,125
"AB de Villiers",2009,"KP Appanna","Delhi Capitals","Royal Challengers Bangalore",9,1,8,0,"All",9,112.5
"AB de Villiers",2009,"Kamran Khan","Delhi Capitals","Rajasthan Royals",4,0,5,0,"All",Inf,80
"AB de Villiers",2009,"Lakshmipathy Balaji","Delhi Capitals","Chennai Super Kings",10,0,8,0,"All",Inf,125
"AB de Villiers",2009,"Lasith Malinga","Delhi Capitals","Mumbai Indians",3,0,4,0,"All",Inf,75
"AB de Villiers",2009,"Manpreet Gony","Delhi Capitals","Chennai Super Kings",26,0,12,0,"All",Inf,216.666666666667
"AB de Villiers",2009,"Moises Henriques","Delhi Capitals","Kolkata Knight Riders",15,0,9,0,"All",Inf,166.666666666667
"AB de Villiers",2009,"Munaf Patel","Delhi Capitals","Rajasthan Royals",29,0,17,0,"All",Inf,170.588235294118
"AB de Villiers",2009,"Murali Kartik","Delhi Capitals","Kolkata Knight Riders",12,0,14,0,"All",Inf,85.7142857142857
"AB de Villiers",2009,"Muthiah Muralidaran","Delhi Capitals","Chennai Super Kings",12,0,10,0,"All",Inf,120
