"Bowler","Season","Striker","Batting_Team","Bowling_Team","Runs","Wickets","Balls","Stadium","Average","Economy"
"Aaron Finch",2010,"Cheteshwar Pujara","Kolkata Knight Riders","Rajasthan Royals",4,0,5,"All",Inf,4.8
"Aaron Finch",2010,"Sourav Ganguly","Kolkata Knight Riders","Rajasthan Royals",1,0,2,"All",Inf,3
"Aaron Finch",2011,"Rohit Sharma","Mumbai Indians","Delhi Capitals",4,0,4,"All",Inf,6
"Aaron Finch",2011,"Sachin Tendulkar","Mumbai Indians","Delhi Capitals",9,0,8,"All",Inf,6.75
"Aaron Finch",2013,"Chris Gayle","Royal Challengers Bangalore","Pune Warriors",28,0,5,"All",Inf,33.6
"Aaron Finch",2013,"Dinesh Karthik","Mumbai Indians","Pune Warriors",2,0,2,"All",Inf,6
"Aaron Finch",2013,"Ravindra Jadeja","Chennai Super Kings","Pune Warriors",2,0,2,"All",Inf,6
"Aaron Finch",2013,"Ricky Ponting","Mumbai Indians","Pune Warriors",1,0,1,"All",Inf,6
"Aaron Finch",2013,"Rohit Sharma","Mumbai Indians","Pune Warriors",2,0,2,"All",Inf,6
"Aaron Finch",2013,"S Badrinath","Chennai Super Kings","Pune Warriors",7,0,4,"All",Inf,10.5
"Aaron Finch",2013,"Sachin Tendulkar","Mumbai Indians","Pune Warriors",6,1,7,"All",6,5.14285714285714
"Aaron Finch",2013,"Tillakaratne Dilshan","Royal Challengers Bangalore","Pune Warriors",1,0,1,"All",Inf,6
"Aavishkar Salvi",2009,"Abhishek Nayar","Mumbai Indians","Delhi Capitals",0,1,1,"All",0,0
"Aavishkar Salvi",2009,"Ajinkya Rahane","Mumbai Indians","Delhi Capitals",11,0,5,"All",Inf,13.2
"Aavishkar Salvi",2009,"Albie Morkel","Chennai Super Kings","Delhi Capitals",2,0,3,"All",Inf,4
"Aavishkar Salvi",2009,"Irfan Pathan","Punjab Kings","Delhi Capitals",6,1,6,"All",6,6
"Aavishkar Salvi",2009,"Jacques Kallis","Royal Challengers Bangalore","Delhi Capitals",13,0,15,"All",Inf,5.2
"Aavishkar Salvi",2009,"Johan Botha","Rajasthan Royals","Delhi Capitals",10,0,8,"All",Inf,7.5
"Aavishkar Salvi",2009,"Karan Goel","Punjab Kings","Delhi Capitals",10,0,4,"All",Inf,15
"Aavishkar Salvi",2009,"Matthew Hayden","Chennai Super Kings","Delhi Capitals",33,0,9,"All",Inf,22
"Aavishkar Salvi",2009,"Mohammad Ashraful","Mumbai Indians","Delhi Capitals",2,0,4,"All",Inf,3
"Aavishkar Salvi",2009,"Naman Ojha","Rajasthan Royals","Delhi Capitals",1,1,6,"All",1,1
"Aavishkar Salvi",2009,"Parthiv Patel","Chennai Super Kings","Delhi Capitals",2,0,2,"All",Inf,6
"Aavishkar Salvi",2009,"Pinal Shah","Mumbai Indians","Delhi Capitals",4,0,6,"All",Inf,4
"Aavishkar Salvi",2009,"Rahul Dravid","Royal Challengers Bangalore","Delhi Capitals",6,0,4,"All",Inf,9
"Aavishkar Salvi",2009,"Ravi Bopara","Punjab Kings","Delhi Capitals",1,0,2,"All",Inf,3
"Aavishkar Salvi",2009,"Ravindra Jadeja","Rajasthan Royals","Delhi Capitals",7,1,6,"All",7,7
"Aavishkar Salvi",2009,"Ross Taylor","Royal Challengers Bangalore","Delhi Capitals",11,0,5,"All",Inf,13.2
"Aavishkar Salvi",2009,"S Badrinath","Chennai Super Kings","Delhi Capitals",3,0,3,"All",Inf,6
"Aavishkar Salvi",2009,"Sachin Tendulkar","Mumbai Indians","Delhi Capitals",10,0,8,"All",Inf,7.5
"Aavishkar Salvi",2009,"Suresh Raina","Chennai Super Kings","Delhi Capitals",1,0,1,"All",Inf,6
"Aavishkar Salvi",2009,"Yusuf Pathan","Rajasthan Royals","Delhi Capitals",1,0,4,"All",Inf,1.5
"Aavishkar Salvi",2011,"Dan Christian","Deccan Chargers","Delhi Capitals",8,0,7,"All",Inf,6.85714285714286
"Aavishkar Salvi",2011,"David Hussey","Punjab Kings","Delhi Capitals",1,1,2,"All",1,3
"Aavishkar Salvi",2011,"Dinesh Karthik","Punjab Kings","Delhi Capitals",15,1,7,"All",15,12.8571428571429
"Aavishkar Salvi",2011,"Dwaraka Ravi Teja","Deccan Chargers","Delhi Capitals",0,1,3,"All",0,0
"Aavishkar Salvi",2011,"Ishan Malhotra","Deccan Chargers","Delhi Capitals",6,0,3,"All",Inf,12
"Aavishkar Salvi",2011,"Jean-Paul Duminy","Deccan Chargers","Delhi Capitals",1,0,2,"All",Inf,3
"Aavishkar Salvi",2011,"Kumar Sangakkara","Deccan Chargers","Delhi Capitals",5,0,6,"All",Inf,5
"Aavishkar Salvi",2011,"Mandeep Singh","Punjab Kings","Delhi Capitals",1,0,1,"All",Inf,6
"Aavishkar Salvi",2011,"Paul Valthaty","Punjab Kings","Delhi Capitals",13,0,5,"All",Inf,15.6
"Aavishkar Salvi",2011,"Piyush Chawla","Punjab Kings","Delhi Capitals",1,0,1,"All",Inf,6
"Aavishkar Salvi",2011,"Ryan Harris","Punjab Kings","Delhi Capitals",1,0,1,"All",Inf,6
"Aavishkar Salvi",2011,"Shaun Marsh","Punjab Kings","Delhi Capitals",8,0,7,"All",Inf,6.85714285714286
"Aavishkar Salvi",2011,"Shikhar Dhawan","Deccan Chargers","Delhi Capitals",6,0,3,"All",Inf,12
"Abdul Samad",2020,"Ishan Kishan","Mumbai Indians","Sunrisers Hyderabad",2,0,2,"All",Inf,6
"Abdul Samad",2020,"Kedar Jadhav","Chennai Super Kings","Sunrisers Hyderabad",0,1,1,"All",0,0
"Abdul Samad",2020,"MS Dhoni","Chennai Super Kings","Sunrisers Hyderabad",24,0,14,"All",Inf,10.2857142857143
"Abdul Samad",2020,"Nicholas Pooran","Punjab Kings","Sunrisers Hyderabad",28,0,6,"All",Inf,28
"Abdul Samad",2020,"Quinton de Kock","Mumbai Indians","Sunrisers Hyderabad",25,0,10,"All",Inf,15
"Abdul Samad",2020,"Ravindra Jadeja","Chennai Super Kings","Sunrisers Hyderabad",10,0,7,"All",Inf,8.57142857142857
"Abdul Samad",2020,"Sam Curran","Chennai Super Kings","Sunrisers Hyderabad",7,0,2,"All",Inf,21
"Abdul Samad",2021,"Aiden Markram","Punjab Kings","Sunrisers Hyderabad",1,1,2,"All",1,3
"Abdul Samad",2021,"Deepak Hooda","Punjab Kings","Sunrisers Hyderabad",7,0,3,"All",Inf,14
"Abdul Samad",2021,"Harpreet Brar","Punjab Kings","Sunrisers Hyderabad",1,0,1,"All",Inf,6
"Abdul Samad",2022,"Deepak Hooda","Lucknow Super Giants","Sunrisers Hyderabad",2,0,3,"All",Inf,4
"Abdul Samad",2022,"KL Rahul","Lucknow Super Giants","Sunrisers Hyderabad",6,0,3,"All",Inf,12
"Abdur Razzak",2008,"Graeme Smith","Rajasthan Royals","Royal Challengers Bangalore",25,0,6,"All",Inf,25
"Abdur Razzak",2008,"Shane Watson","Rajasthan Royals","Royal Challengers Bangalore",3,0,5,"All",Inf,3.6
"Abdur Razzak",2008,"Swapnil Asnodkar","Rajasthan Royals","Royal Challengers Bangalore",1,0,1,"All",Inf,6
"Abhimanyu Mithun",2009,"Ajinkya Rahane","Mumbai Indians","Royal Challengers Bangalore",18,0,9,"All",Inf,12
"Abhimanyu Mithun",2009,"Jean-Paul Duminy","Mumbai Indians","Royal Challengers Bangalore",20,0,12,"All",Inf,10
"Abhimanyu Mithun",2009,"Sanath Jayasuriya","Mumbai Indians","Royal Challengers Bangalore",4,0,3,"All",Inf,8
"Abhimanyu Mithun",2010,"Daniel Vettori","Delhi Capitals","Royal Challengers Bangalore",2,0,2,"All",Inf,6
"Abhimanyu Mithun",2010,"David Warner","Delhi Capitals","Royal Challengers Bangalore",6,0,3,"All",Inf,12
"Abhimanyu Mithun",2010,"Gautam Gambhir","Delhi Capitals","Royal Challengers Bangalore",1,0,1,"All",Inf,6
"Abhimanyu Mithun",2010,"Kedar Jadhav","Delhi Capitals","Royal Challengers Bangalore",4,0,3,"All",Inf,8
"Abhimanyu Mithun",2010,"Paul Collingwood","Delhi Capitals","Royal Challengers Bangalore",20,0,7,"All",Inf,17.1428571428571
"Abhimanyu Mithun",2010,"Virender Sehwag","Delhi Capitals","Royal Challengers Bangalore",6,1,2,"All",6,18
"Abhimanyu Mithun",2011,"Abu Nechim","Mumbai Indians","Royal Challengers Bangalore",12,0,5,"All",Inf,14.4
"Abhimanyu Mithun",2011,"Adam Gilchrist","Punjab Kings","Royal Challengers Bangalore",20,0,10,"All",Inf,12
"Abhimanyu Mithun",2011,"Albie Morkel","Chennai Super Kings","Royal Challengers Bangalore",2,1,2,"All",2,6
"Abhimanyu Mithun",2011,"Ambati Rayudu","Mumbai Indians","Royal Challengers Bangalore",18,0,8,"All",Inf,13.5
"Abhimanyu Mithun",2011,"Brad Hodge","Kochi Tuskers Kerala","Royal Challengers Bangalore",4,0,4,"All",Inf,6
"Abhimanyu Mithun",2011,"Brendon McCullum","Kochi Tuskers Kerala","Royal Challengers Bangalore",11,0,3,"All",Inf,22
"Abhimanyu Mithun",2011,"Dinesh Karthik","Punjab Kings","Royal Challengers Bangalore",10,0,4,"All",Inf,15
"Abhimanyu Mithun",2011,"Harbhajan Singh","Mumbai Indians","Royal Challengers Bangalore",12,0,4,"All",Inf,18
"Abhimanyu Mithun",2011,"Irfan Pathan","Delhi Capitals","Royal Challengers Bangalore",9,0,4,"All",Inf,13.5
"Abhimanyu Mithun",2011,"James Hopes","Delhi Capitals","Royal Challengers Bangalore",6,1,6,"All",6,6
"Abhimanyu Mithun",2011,"Jesse Ryder","Pune Warriors","Royal Challengers Bangalore",14,0,8,"All",Inf,10.5
"Abhimanyu Mithun",2011,"MS Dhoni","Chennai Super Kings","Royal Challengers Bangalore",34,0,15,"All",Inf,13.6
"Abhimanyu Mithun",2011,"Manish Pandey","Pune Warriors","Royal Challengers Bangalore",3,0,6,"All",Inf,3
"Abhimanyu Mithun",2011,"Manoj Tiwary","Kolkata Knight Riders","Royal Challengers Bangalore",3,0,6,"All",Inf,3
"Abhimanyu Mithun",2011,"Matthew Wade","Delhi Capitals","Royal Challengers Bangalore",3,1,3,"All",3,6
"Abhimanyu Mithun",2011,"Michael Hussey","Chennai Super Kings","Royal Challengers Bangalore",12,0,6,"All",Inf,12
"Abhimanyu Mithun",2011,"Michael Klinger","Kochi Tuskers Kerala","Royal Challengers Bangalore",2,0,3,"All",Inf,4
"Abhimanyu Mithun",2011,"Murali Vijay","Chennai Super Kings","Royal Challengers Bangalore",10,0,6,"All",Inf,10
"Abhimanyu Mithun",2011,"Parthiv Patel","Kochi Tuskers Kerala","Royal Challengers Bangalore",7,0,3,"All",Inf,14
"Abhimanyu Mithun",2011,"Prasanth Parameswaran","Kochi Tuskers Kerala","Royal Challengers Bangalore",1,0,1,"All",Inf,6
"Abhimanyu Mithun",2011,"Praveen Kumar","Punjab Kings","Royal Challengers Bangalore",15,0,6,"All",Inf,15
"Abhimanyu Mithun",2011,"Rajagopal Sathish","Mumbai Indians","Royal Challengers Bangalore",1,0,1,"All",Inf,6
