"Batting_Team","Striker","Season","Bowling_Team","Runs","Dismissed","Balls","Stadium","Average","Strike_Rate"
"Chennai Super Kings","Abhinav Mukund",2008,"Rajasthan Royals",0,1,1,"All",0,0
"Chennai Super Kings","Albie Morkel",2008,"Deccan Chargers",41,0,31,"All",Inf,132.258064516129
"Chennai Super Kings","Albie Morkel",2008,"Delhi Capitals",58,2,31,"All",29,187.096774193548
"Chennai Super Kings","Albie Morkel",2008,"Mumbai Indians",5,1,4,"All",5,125
"Chennai Super Kings","Albie Morkel",2008,"Punjab Kings",7,0,6,"All",Inf,116.666666666667
"Chennai Super Kings","Albie Morkel",2008,"Rajasthan Royals",129,3,86,"All",43,150
"Chennai Super Kings","Albie Morkel",2008,"Royal Challengers Bangalore",1,1,5,"All",1,20
"Chennai Super Kings","Albie Morkel",2009,"Deccan Chargers",17,1,12,"All",17,141.666666666667
"Chennai Super Kings","Albie Morkel",2009,"Delhi Capitals",19,1,18,"All",19,105.555555555556
"Chennai Super Kings","Albie Morkel",2009,"Kolkata Knight Riders",21,0,10,"All",Inf,210
"Chennai Super Kings","Albie Morkel",2009,"Punjab Kings",2,0,2,"All",Inf,100
"Chennai Super Kings","Albie Morkel",2009,"Rajasthan Royals",4,0,1,"All",Inf,400
"Chennai Super Kings","Albie Morkel",2009,"Royal Challengers Bangalore",34,2,27,"All",17,125.925925925926
"Chennai Super Kings","Albie Morkel",2010,"Deccan Chargers",46,1,30,"All",46,153.333333333333
"Chennai Super Kings","Albie Morkel",2010,"Delhi Capitals",1,2,7,"All",0.5,14.2857142857143
"Chennai Super Kings","Albie Morkel",2010,"Mumbai Indians",15,1,6,"All",15,250
"Chennai Super Kings","Albie Morkel",2010,"Punjab Kings",26,0,20,"All",Inf,130
"Chennai Super Kings","Albie Morkel",2010,"Rajasthan Royals",90,2,46,"All",45,195.652173913043
"Chennai Super Kings","Albie Morkel",2010,"Royal Challengers Bangalore",20,2,22,"All",10,90.9090909090909
"Chennai Super Kings","Albie Morkel",2011,"Deccan Chargers",19,1,6,"All",19,316.666666666667
"Chennai Super Kings","Albie Morkel",2011,"Kochi Tuskers Kerala",22,0,14,"All",Inf,157.142857142857
"Chennai Super Kings","Albie Morkel",2011,"Kolkata Knight Riders",45,0,39,"All",Inf,115.384615384615
"Chennai Super Kings","Albie Morkel",2011,"Mumbai Indians",3,1,4,"All",3,75
"Chennai Super Kings","Albie Morkel",2011,"Pune Warriors",0,1,4,"All",0,0
"Chennai Super Kings","Albie Morkel",2011,"Rajasthan Royals",5,0,4,"All",Inf,125
"Chennai Super Kings","Albie Morkel",2011,"Royal Challengers Bangalore",44,3,31,"All",14.6666666666667,141.935483870968
"Chennai Super Kings","Albie Morkel",2012,"Deccan Chargers",15,1,12,"All",15,125
"Chennai Super Kings","Albie Morkel",2012,"Delhi Capitals",2,1,4,"All",2,50
"Chennai Super Kings","Albie Morkel",2012,"Kolkata Knight Riders",13,0,8,"All",Inf,162.5
"Chennai Super Kings","Albie Morkel",2012,"Mumbai Indians",6,2,11,"All",3,54.5454545454545
"Chennai Super Kings","Albie Morkel",2012,"Pune Warriors",3,0,3,"All",Inf,100
"Chennai Super Kings","Albie Morkel",2012,"Punjab Kings",22,2,17,"All",11,129.411764705882
"Chennai Super Kings","Albie Morkel",2012,"Rajasthan Royals",18,0,6,"All",Inf,300
"Chennai Super Kings","Albie Morkel",2012,"Royal Challengers Bangalore",28,1,7,"All",28,400
"Chennai Super Kings","Albie Morkel",2013,"Mumbai Indians",10,1,10,"All",10,100
"Chennai Super Kings","Albie Morkel",2013,"Pune Warriors",13,1,11,"All",13,118.181818181818
"Chennai Super Kings","Albie Morkel",2013,"Punjab Kings",23,1,16,"All",23,143.75
"Chennai Super Kings","Ambati Rayudu",2018,"Delhi Capitals",91,2,53,"All",45.5,171.698113207547
"Chennai Super Kings","Ambati Rayudu",2018,"Kolkata Knight Riders",60,2,43,"All",30,139.53488372093
"Chennai Super Kings","Ambati Rayudu",2018,"Mumbai Indians",68,2,54,"All",34,125.925925925926
"Chennai Super Kings","Ambati Rayudu",2018,"Punjab Kings",50,2,38,"All",25,131.578947368421
"Chennai Super Kings","Ambati Rayudu",2018,"Rajasthan Royals",24,2,17,"All",12,141.176470588235
"Chennai Super Kings","Ambati Rayudu",2018,"Royal Challengers Bangalore",114,2,78,"All",57,146.153846153846
"Chennai Super Kings","Ambati Rayudu",2018,"Sunrisers Hyderabad",195,2,119,"All",97.5,163.865546218487
"Chennai Super Kings","Ambati Rayudu",2019,"Delhi Capitals",30,1,27,"All",30,111.111111111111
"Chennai Super Kings","Ambati Rayudu",2019,"Kolkata Knight Riders",26,2,42,"All",13,61.9047619047619
"Chennai Super Kings","Ambati Rayudu",2019,"Mumbai Indians",43,3,45,"All",14.3333333333333,95.5555555555556
"Chennai Super Kings","Ambati Rayudu",2019,"Punjab Kings",22,1,17,"All",22,129.411764705882
"Chennai Super Kings","Ambati Rayudu",2019,"Rajasthan Royals",58,2,55,"All",29,105.454545454545
"Chennai Super Kings","Ambati Rayudu",2019,"Royal Challengers Bangalore",57,2,71,"All",28.5,80.2816901408451
"Chennai Super Kings","Ambati Rayudu",2019,"Sunrisers Hyderabad",46,1,46,"All",46,100
"Chennai Super Kings","Ambati Rayudu",2020,"Delhi Capitals",45,0,25,"All",Inf,180
"Chennai Super Kings","Ambati Rayudu",2020,"Kolkata Knight Riders",68,2,47,"All",34,144.68085106383
