"Bowling_Team","Bowler","Season","Batting_Team","Runs","Wickets","Balls","Stadium","Average","Economy"
"Chennai Super Kings","Adam Milne",2022,"Kolkata Knight Riders",19,0,15,"All",Inf,7.6
"Chennai Super Kings","Albie Morkel",2008,"Deccan Chargers",63,3,48,"All",21,7.875
"Chennai Super Kings","Albie Morkel",2008,"Delhi Capitals",75,2,48,"All",37.5,9.375
"Chennai Super Kings","Albie Morkel",2008,"Kolkata Knight Riders",25,0,24,"All",Inf,6.25
"Chennai Super Kings","Albie Morkel",2008,"Mumbai Indians",44,0,18,"All",Inf,14.6666666666667
"Chennai Super Kings","Albie Morkel",2008,"Punjab Kings",52,3,48,"All",17.3333333333333,6.5
"Chennai Super Kings","Albie Morkel",2008,"Rajasthan Royals",70,4,54,"All",17.5,7.77777777777778
"Chennai Super Kings","Albie Morkel",2008,"Royal Challengers Bangalore",70,5,48,"All",14,8.75
"Chennai Super Kings","Albie Morkel",2009,"Deccan Chargers",49,2,36,"All",24.5,8.16666666666667
"Chennai Super Kings","Albie Morkel",2009,"Delhi Capitals",73,2,48,"All",36.5,9.125
"Chennai Super Kings","Albie Morkel",2009,"Kolkata Knight Riders",39,0,18,"All",Inf,13
"Chennai Super Kings","Albie Morkel",2009,"Mumbai Indians",31,1,24,"All",31,7.75
"Chennai Super Kings","Albie Morkel",2009,"Punjab Kings",36,1,18,"All",36,12
"Chennai Super Kings","Albie Morkel",2009,"Rajasthan Royals",45,3,42,"All",15,6.42857142857143
"Chennai Super Kings","Albie Morkel",2009,"Royal Challengers Bangalore",51,4,54,"All",12.75,5.66666666666667
"Chennai Super Kings","Albie Morkel",2010,"Deccan Chargers",56,1,42,"All",56,8
"Chennai Super Kings","Albie Morkel",2010,"Delhi Capitals",42,0,34,"All",Inf,7.41176470588235
"Chennai Super Kings","Albie Morkel",2010,"Kolkata Knight Riders",20,1,24,"All",20,5
"Chennai Super Kings","Albie Morkel",2010,"Mumbai Indians",46,1,42,"All",46,6.57142857142857
"Chennai Super Kings","Albie Morkel",2010,"Punjab Kings",71,3,48,"All",23.6666666666667,8.875
"Chennai Super Kings","Albie Morkel",2010,"Rajasthan Royals",102,4,48,"All",25.5,12.75
"Chennai Super Kings","Albie Morkel",2010,"Royal Challengers Bangalore",68,1,48,"All",68,8.5
"Chennai Super Kings","Albie Morkel",2011,"Deccan Chargers",38,3,24,"All",12.6666666666667,9.5
"Chennai Super Kings","Albie Morkel",2011,"Delhi Capitals",36,1,18,"All",36,12
"Chennai Super Kings","Albie Morkel",2011,"Kochi Tuskers Kerala",17,0,12,"All",Inf,8.5
"Chennai Super Kings","Albie Morkel",2011,"Kolkata Knight Riders",46,0,30,"All",Inf,9.2
"Chennai Super Kings","Albie Morkel",2011,"Mumbai Indians",19,1,24,"All",19,4.75
"Chennai Super Kings","Albie Morkel",2011,"Pune Warriors",28,3,24,"All",9.33333333333333,7
"Chennai Super Kings","Albie Morkel",2011,"Punjab Kings",38,1,18,"All",38,12.6666666666667
"Chennai Super Kings","Albie Morkel",2011,"Rajasthan Royals",45,3,42,"All",15,6.42857142857143
"Chennai Super Kings","Albie Morkel",2011,"Royal Challengers Bangalore",114,3,78,"All",38,8.76923076923077
"Chennai Super Kings","Albie Morkel",2012,"Deccan Chargers",36,1,30,"All",36,7.2
"Chennai Super Kings","Albie Morkel",2012,"Delhi Capitals",67,2,54,"All",33.5,7.44444444444444
"Chennai Super Kings","Albie Morkel",2012,"Kolkata Knight Riders",62,2,48,"All",31,7.75
"Chennai Super Kings","Albie Morkel",2012,"Mumbai Indians",85,2,66,"All",42.5,7.72727272727273
"Chennai Super Kings","Albie Morkel",2012,"Pune Warriors",22,0,12,"All",Inf,11
"Chennai Super Kings","Albie Morkel",2012,"Punjab Kings",57,4,45,"All",14.25,7.6
"Chennai Super Kings","Albie Morkel",2012,"Rajasthan Royals",19,0,18,"All",Inf,6.33333333333333
"Chennai Super Kings","Albie Morkel",2012,"Royal Challengers Bangalore",37,2,24,"All",18.5,9.25
"Chennai Super Kings","Albie Morkel",2013,"Delhi Capitals",45,4,42,"All",11.25,6.42857142857143
"Chennai Super Kings","Albie Morkel",2013,"Kolkata Knight Riders",36,0,24,"All",Inf,9
"Chennai Super Kings","Albie Morkel",2013,"Mumbai Indians",38,3,36,"All",12.6666666666667,6.33333333333333
"Chennai Super Kings","Albie Morkel",2013,"Pune Warriors",20,0,18,"All",Inf,6.66666666666667
"Chennai Super Kings","Albie Morkel",2013,"Punjab Kings",20,0,24,"All",Inf,5
"Chennai Super Kings","Andrew Flintoff",2009,"Delhi Capitals",50,0,24,"All",Inf,12.5
"Chennai Super Kings","Andrew Flintoff",2009,"Mumbai Indians",44,1,24,"All",44,11
"Chennai Super Kings","Andrew Flintoff",2009,"Royal Challengers Bangalore",11,1,18,"All",11,3.66666666666667
"Chennai Super Kings","Ankit Rajpoot",2013,"Mumbai Indians",25,1,18,"All",25,8.33333333333333
"Chennai Super Kings","Ankit Rajpoot",2013,"Punjab Kings",10,0,6,"All",Inf,10
"Chennai Super Kings","Ashish Nehra",2014,"Mumbai Indians",34,2,24,"All",17,8.5
"Chennai Super Kings","Ashish Nehra",2014,"Punjab Kings",75,3,42,"All",25,10.7142857142857
"Chennai Super Kings","Ashish Nehra",2014,"Royal Challengers Bangalore",33,3,24,"All",11,8.25
"Chennai Super Kings","Ashish Nehra",2015,"Delhi Capitals",25,3,24,"All",8.33333333333333,6.25
"Chennai Super Kings","Ashish Nehra",2015,"Kolkata Knight Riders",74,1,48,"All",74,9.25
"Chennai Super Kings","Ashish Nehra",2015,"Mumbai Indians",137,4,90,"All",34.25,9.13333333333333
"Chennai Super Kings","Ashish Nehra",2015,"Punjab Kings",33,3,42,"All",11,4.71428571428571
"Chennai Super Kings","Ashish Nehra",2015,"Rajasthan Royals",61,0,48,"All",Inf,7.625
"Chennai Super Kings","Ashish Nehra",2015,"Royal Challengers Bangalore",57,10,72,"All",5.7,4.75
"Chennai Super Kings","Ashish Nehra",2015,"Sunrisers Hyderabad",62,1,48,"All",62,7.75
"Chennai Super Kings","Ben Hilfenhaus",2012,"Deccan Chargers",31,1,24,"All",31,7.75
"Chennai Super Kings","Ben Hilfenhaus",2012,"Delhi Capitals",44,4,42,"All",11,6.28571428571429
"Chennai Super Kings","Ben Hilfenhaus",2012,"Kolkata Knight Riders",51,3,42,"All",17,7.28571428571428
"Chennai Super Kings","Ben Hilfenhaus",2012,"Mumbai Indians",79,3,48,"All",26.3333333333333,9.875
