name,dob,batting_style,bowling_style,playing_role,country
Doug Bracewell,28/09/1990,Right hand Bat,Right arm Fast medium,Bowler,New Zealand
Manpreet Gony,04/01/1984,Right hand Bat,Right arm Medium,Bowler,India
Ray Price,12/06/1976,Right hand Bat,Slow Left arm Orthodox,Bowler,Zimbabwe
Pinal Shah,03/11/1987,Right hand Bat,,Wicketkeeper Batter,India
Basil Thampi,11/09/1993,Right hand Bat,Right arm Fast medium,Bowler,India
Travis Head,29/12/1993,Left hand Bat,Right arm Offbreak,Top order Batter,Australia
Shivam Dube,26/06/1993,Left hand Bat,Right arm Medium,Allrounder,India
Anureet Singh,02/03/1988,Right hand Bat,Right arm Medium,Bowler,India
Anuj Rawat,17/10/1999,Left hand Bat,,Wicketkeeper Batter,India
Marco Jansen,01/05/2000,Right hand Bat,Left arm Medium fast,Bowling Allrounder,South Africa
Ankit Soni,02/08/1993,Right hand Bat,Legbreak,Allrounder,India
Aiden Blizzard,27/06/1984,Left hand Bat,Left arm Medium,Batter,Australia
Narayan Jagadeesan,24/12/1995,Right hand Bat,,Wicketkeeper Batter,India
Ryan McLaren,09/02/1983,Left hand Bat,Right arm Medium fast,Allrounder,South Africa
Hanuma Vihari,13/10/1993,Right hand Bat,Right arm Offbreak,Batting Allrounder,India
Adil Rashid,17/02/1988,Right hand Bat,Legbreak,Bowler,England
Gnaneswara Rao,25/08/1984,Right hand Bat,Right arm Medium,Allrounder,India
Tushar Deshpande,15/05/1995,Left hand Bat,Right arm Medium,Bowler,India
Eklavya Dwivedi,22/07/1988,Right hand Bat,,Wicketkeeper,India
Anmolpreet Singh,28/03/1998,Right hand Bat,Right arm Offbreak,Batter,India
Beuran Hendricks,08/06/1990,Left hand Bat,Left arm Fast medium,Bowler,South Africa
Chris Jordan,04/10/1988,Right hand Bat,Right arm Fast medium,Bowler,England
Tilak Varma,08/11/2002,Left hand Bat,Right arm Offbreak,Batting Allrounder,India
Anil Kumble,17/10/1970,Right hand Bat,Legbreak Googly,Bowler,India
Eoin Morgan,10/09/1986,Left hand Bat,Right arm Medium,Middle order Batter,England
Naman Ojha,20/07/1983,Right hand Bat,,Wicketkeeper Batter,India
Ramnaresh Sarwan,23/06/1980,Right hand Bat,Legbreak,Batter,West Indies
Munaf Patel,12/07/1983,Right hand Bat,Right arm Medium fast,Bowler,India
Yuzvendra Chahal,23/07/1990,Right hand Bat,Legbreak Googly,Bowler,India
KC Cariappa,13/04/1994,Right hand Bat,Legbreak,Bowler,India
Shaun Pollock,16/07/1973,Right hand Bat,Right arm Fast medium,Allrounder,South Africa
Biplab Samantray,14/12/1988,Right hand Bat,Right arm Medium,Allrounder,India
Quinton de Kock,17/12/1992,Left hand Bat,,Wicketkeeper Batter,South Africa
Tymal Mills,12/08/1992,Right hand Bat,Left arm Fast,Bowler,England
Rahul Chahar,04/08/1999,Right hand Bat,Legbreak Googly,Bowler,India
Michael Lumb,12/02/1980,Left hand Bat,Right arm Medium,Top order Batter,England
Akila Dananjaya,04/10/1993,Left hand Bat,"Right arm Offbreak, Legbreak",Allrounder,Sri Lanka
Ronit More,02/02/1992,Right hand Bat,Right arm Medium,Bowler,India
Lakshmipathy Balaji,27/09/1981,Right hand Bat,Right arm Medium fast,Bowler,India
Dwayne Smith,12/04/1983,Right hand Bat,Right arm Medium,Allrounder,West Indies
Sam Curran,03/06/1998,Left hand Bat,Left arm Medium fast,Allrounder,England
Yogesh Nagar,06/01/1990,Right hand Bat,Right arm Offbreak,Allrounder,India
Mahipal Lomror,16/11/1999,Left hand Bat,Slow Left arm Orthodox,Allrounder,India
Jamaluddin Syed Mohammad,03/06/1983,Left hand Bat,Slow Left arm Orthodox,Bowler,India
David Wiese,18/05/1985,Right hand Bat,Right arm Medium fast,Allrounder,Namibia
Prayas Ray Barman,25/10/2002,Right hand Bat,Legbreak Googly,Bowler,India
AB de Villiers,17/02/1984,Right hand Bat,Right arm Medium,Wicketkeeper Batter,South Africa
Laxmi Shukla,06/05/1981,Right hand Bat,Right arm Medium,Allrounder,India
Shalabh Srivastava,22/09/1981,Right hand Bat,Left arm Fast medium,Bowler,India
Nathan McCullum,01/09/1980,Right hand Bat,Right arm Offbreak,Bowler,New Zealand
Ben Laughlin,03/10/1982,Right hand Bat,Right arm Fast medium,Bowler,Australia
Davy Jacobs,04/11/1982,Right hand Bat,Right arm Medium,Wicketkeeper Batter,South Africa
Tim David,16/03/1996,Right hand Bat,Right arm Offbreak,Middle order Batter,Australia
Lungi Ngidi,29/03/1996,Right hand Bat,Right arm Fast medium,Bowler,South Africa
Shrikant Mundhe,27/10/1988,Right hand Bat,Right arm Medium,Allrounder,India
Brad Hodge,29/12/1974,Right hand Bat,Right arm Offbreak,Top order Batter,Australia
Cameron White,18/08/1983,Right hand Bat,Legbreak Googly,Middle order Batter,Australia
Dominic Thornely,01/10/1978,Right hand Bat,"Right arm Medium, Right arm Offbreak",Top order Batter,Australia
Tirumalasetti Suman,15/12/1983,Right hand Bat,Right arm Offbreak,Batter,India
Scott Styris,10/07/1975,Right hand Bat,Right arm Medium,Allrounder,New Zealand
Rilee Rossouw,09/10/1989,Left hand Bat,Right arm Offbreak,Top order Batter,South Africa
Shivnarine Chanderpaul,16/08/1974,Left hand Bat,Legbreak,Batter,West Indies
